,appid,name,developer,publisher,score_rank,positive,negative,userscore,owners,average_forever,average_2weeks,median_forever,median_2weeks,price,initialprice,discount,ccu,platforms,release_date,categories,dlc,ccu,languages,genres,tags,Review_rating
0,308180,Jacob Jones and the Bigfoot Mystery : Episode 2,Lucid Games Ltd,Lucid Games Ltd,,24,3,0,0 .. 20 k,0,0,0,0,3.99,399,0,0,['windows'],"23 Sep, 2014","['Single-player', 'Steam Achievements', 'Stats']",[],0,['English'],Adventure,"['Adventure', 'Puzzle']",0.8888888888888888
1,1186960,Cowboys vs Hipsters,Dream Universe Games LLC,Dream Universe Games LLC,,6,2,0,0 .. 20 k,0,0,0,0,0.0,0,0,0,"['windows', 'mac', 'linux']","9 Dec, 2019",['Single-player'],[],0,['English'],"Casual, Free to Play, Indie, Strategy","['Casual', 'Free to Play', 'Strategy', 'Indie', 'Satire']",0.75
2,581370,Drizzlepath: Glass,Tonguç Bodur,Tonguç Bodur,,107,63,0,0 .. 20 k,0,0,0,0,3.99,399,0,0,['windows'],"14 Feb, 2017","['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Partial Controller Support', 'Steam Cloud']",[],0,"['English', 'German', 'Turkish', 'Italian']","Adventure, Casual, Indie, Simulation","['Adventure', 'Indie', 'Casual', 'Walking Simulator', 'Atmospheric', 'First-Person', 'Female Protagonist', 'Exploration', 'Story Rich', 'Great Soundtrack', 'Mystery', 'Narration', 'Singleplayer', 'Relaxing', 'Experience', '3D', 'Beautiful', 'Colorful', 'Realistic', 'Nature']",0.6294117647058823
3,2167870,A Bit of Tactics,KreamLand,KreamLand,,15,2,0,0 .. 20 k,0,0,0,0,4.99,499,0,0,['windows'],"19 Jan, 2023","['Single-player', 'Steam Achievements', 'Steam Cloud']",[],0,['English'],"Indie, Strategy","['Turn-Based Tactics', 'Rogue-like', 'Inventory Management', 'Turn-Based Combat', 'Loot', 'Replay Value', 'Puzzle', 'Minimalist', 'Relaxing', 'Strategy', '2D', 'Fantasy', 'Tactical', 'Pixel Graphics', 'Colorful', 'Cartoony', 'Rogue-lite', 'Turn-Based', 'Cute', 'Isometric']",0.8823529411764706
4,1273440,OverDrift Festival,OverDrift Crew,OverDrift Crew,,625,163,0,0 .. 20 k,0,0,0,0,29.99,2999,0,35,['windows'],"21 Dec, 2022","['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Cross-Platform Multiplayer', 'Partial Controller Support', 'Steam Cloud']","[1921830, 1921831, 1921832, 1921833, 2544050]",35,['English'],"Massively Multiplayer, Racing, Simulation, Sports","['Racing', 'Simulation', 'Automobile Sim', 'Open World', 'Realistic', 'Sports', 'Driving', 'Multiplayer', '6DOF', 'PvP', 'Transportation', 'Massively Multiplayer', 'Physics', 'Singleplayer', '3D']",0.7931472081218274
5,806610,Trivia Vault Basketball Trivia,Ripknot Systems,Ripknot Systems,,41,33,0,0 .. 20 k,0,0,0,0,9.99,999,0,0,['windows'],"3 Mar, 2018","['Single-player', 'Steam Achievements']",[],0,['English'],"Action, Casual","['Casual', 'Action', 'Trivia', 'Text-Based', 'Indie', 'Relaxing', '2D', 'Singleplayer', 'Replay Value', 'Family Friendly', 'Word Game', 'Sports', 'Basketball', 'Logic', ""1990's"", '1980s', 'Time Management', 'Point & Click', 'Story Rich', 'Strategy']",0.5540540540540541
6,840710,Trivia Vault: Tennis Trivia,Ripknot Systems,Ripknot Systems,,28,22,0,0 .. 20 k,0,0,0,0,9.99,999,0,3,['windows'],"19 Apr, 2018","['Single-player', 'Steam Achievements']",[],3,['English'],"Action, Casual, Simulation","['Tennis', 'Casual', 'Simulation', 'Action', 'Trivia', 'Puzzle', 'Indie', 'Word Game', 'Singleplayer', 'Replay Value', 'Logic', 'Text-Based', 'Time Management', '1980s', ""1990's"", 'Choices Matter', 'Family Friendly', 'Relaxing', 'Sports', 'Point & Click']",0.56
7,652510,ESCAPE Room: Reality,Team Neetbytes,Team Neetbytes,,14,1,0,0 .. 20 k,0,0,0,0,8.99,899,0,0,"['windows', 'mac']","20 Jun, 2017","['Single-player', 'Steam Achievements', 'Full controller support']",[],0,['English'],"Casual, Indie, RPG","['Indie', 'Puzzle', 'Investigation', 'Mystery', 'Detective', 'Visual Novel', 'JRPG', 'Story Rich', 'Casual', 'Pixel Graphics', '2D', 'Anime', 'RPG', 'Survival', 'Difficult', 'Exploration', 'Singleplayer', 'Point & Click', 'RPGMaker', 'Hidden Object']",0.9333333333333333
8,840290,Pendula Swing Episode 1 - Tired and Retired,Valiant Game Studio AB,Valiant Game Studio AB,,47,22,0,0 .. 20 k,0,0,0,0,0.0,0,0,0,"['windows', 'mac']","15 Aug, 2018","['Single-player', 'Steam Achievements', 'Steam Cloud']",[],0,['English'],"Adventure, Casual, Indie, RPG","['Indie', 'Adventure', 'Casual', 'Female Protagonist', 'Story Rich', 'RPG', 'LGBTQ+', 'Point & Click', 'Lore-Rich', 'Alternate History', 'Fantasy', 'Episodic', 'Romance', 'Relaxing', 'Narration', 'Noir', 'Atmospheric', 'CRPG', 'Soundtrack', 'Dating Sim']",0.6811594202898551
9,1364890,Increase World,Fabian.L,Naytics,,9,7,0,0 .. 20 k,0,0,0,0,6.99,699,0,0,['windows'],"4 Nov, 2020","['Single-player', 'Steam Achievements', 'Partial Controller Support']",[],0,"['French', 'English']","Indie, Simulation, Strategy","['Simulation', 'Strategy', 'First-Person', 'Indie', 'Sandbox', 'Isometric', '3D', 'Cute', 'Top-Down', 'Agriculture', 'Automation', 'Relaxing', 'Crafting', 'Economy', 'Choices Matter', 'Trading', 'Singleplayer', 'Building', 'Base-Building', 'City Builder']",0.5625
10,896840,Call of Da Wild,Julian Henley,Indie Retro Games,,47,34,0,0 .. 20 k,0,0,0,0,0.0,0,0,0,['windows'],"5 Aug, 2018","['Single-player', 'Partial Controller Support']",[],0,['English'],"Action, Adventure, Casual, Free to Play, Indie","['Free to Play', 'Indie', 'Action', 'Casual', 'Adventure', 'Nudity', 'Sexual Content', 'Psychological Horror']",0.5802469135802469
11,843870,Card Games Mega Collection,Gunnar Games,Gunnar Games,,18,12,0,0 .. 20 k,0,0,0,0,6.99,699,0,13,['windows'],"13 Jun, 2018",['Single-player'],[],13,['English'],Casual,"['Casual', 'Card Game', 'Family Friendly', 'Singleplayer', 'Solitaire', '2D', 'Multiplayer', 'Gambling', 'Relaxing']",0.6
12,833150,Hungry Fish Evolution,Umnyasha Games,Umnyasha Games,,12,19,0,0 .. 20 k,0,0,0,0,0.99,199,50,0,['windows'],"11 Apr, 2018","['Single-player', 'Steam Achievements', 'Steam Leaderboards']",[],0,"['English', 'Russian']","Action, Adventure, Casual, Indie, RPG, Simulation","['Action', 'RPG', 'Indie', 'Simulation', 'Adventure', 'Casual']",0.3870967741935484
13,716040,Hide and go boom,Partial Reality,Partial Reality,,27,8,0,0 .. 20 k,0,0,0,0,0.0,0,0,0,"['windows', 'mac', 'linux']","17 Feb, 2018","['Multi-player', 'PvP', 'Online PvP', 'Shared/Split Screen PvP', 'Shared/Split Screen', 'Cross-Platform Multiplayer', 'Full controller support', 'Remote Play Together']",[],0,['English'],"Action, Casual, Indie, Early Access","['Action', 'Indie', 'Early Access', 'Casual']",0.7714285714285715
14,354280,ChaosTower,CashcowGames,CashcowGames,,16,3,0,0 .. 20 k,0,0,0,0,4.99,499,0,0,['windows'],"23 Feb, 2016","['Single-player', 'Steam Achievements', 'Steam Cloud']",[],0,"['English', 'German']","Action, Casual, Indie, Simulation","['Building', 'Puzzle', 'Physics', 'Destruction', 'Difficult', 'Tower Defense', 'Simulation', 'Family Friendly', 'Relaxing', 'Resource Management', 'Singleplayer', '2.5D', 'Cartoony', 'Action', 'Funny', '2D', 'LEGO', 'Stylized', 'Education', 'Casual']",0.8421052631578947
15,2460730,Future Offline,Lost Guardian Games,Lost Guardian Games,,2,1,0,0 .. 20 k,0,0,0,0,4.99,499,0,0,['windows'],"3 Jul, 2023",['Single-player'],[],0,['English'],RPG,"['RPG', 'Point & Click', 'Clicker', 'Exploration', '2D', ""1990's"", 'Atmospheric', 'Crafting', 'Fantasy', 'Futuristic', 'Magic', 'Mystery', 'Nature', 'Old School', 'Post-apocalyptic', 'Sci-fi', 'Tactical', 'Combat', 'Singleplayer', 'Nostalgia']",0.6666666666666666
16,1500350,Until Sunset,Demo,14BitsStudio,,9,1,0,0 .. 20 k,0,0,0,0,1.99,199,0,0,"['windows', 'mac']","18 Jan, 2021",['Single-player'],[],0,"['English', 'Portuguese - Brazil']","Action, Adventure, Indie","['Stealth', 'Puzzle', 'Dark', 'Action', 'Adventure', 'Survival', 'Dark Fantasy', 'Story Rich', 'Action-Adventure', '3D', 'Isometric', 'Indie', 'Violent', 'Colorful', 'Singleplayer', 'Top-Down', 'Co-op', 'Multiplayer', 'Local Multiplayer']",0.9
