,appid,name,developer,publisher,score_rank,positive,negative,userscore,owners,average_forever,average_2weeks,median_forever,median_2weeks,price,initialprice,discount,ccu,platforms,release_date,categories,dlc,ccu,languages,genres,tags,Review_rating
0,799270,Looney Rally,BeshevGames,BeshevGames,,3,6,0,0 .. 20 k,0,0,0,0,2.99,299,0,0,"['windows', 'mac']","17 Feb, 2018","['Single-player', 'Partial Controller Support', 'Steam Leaderboards']",[],0,['English'],"Indie, Racing, Sports","['Racing', 'Sports', 'Indie']",0.3333333333333333
1,816580,LOVE Obsession,Megaton,Megaton,,3,5,0,0 .. 20 k,0,0,0,0,11.99,1199,0,0,['windows'],"6 May, 2018","['Single-player', 'Tracked Controller Support', 'VR Only']",[],0,['English'],"Casual, Indie, Simulation","['Nudity', 'Sexual Content', 'Casual', 'Simulation', 'Indie', 'Horror', 'Thriller', 'VR', 'VR Only']",0.375
2,1104030,Vermin Hunter,Inturn Games,Inturn Games,,3,1,0,0 .. 20 k,0,0,0,0,2.99,299,0,0,['windows'],"25 Oct, 2019","['Single-player', 'Full controller support']",[],0,"['English', 'French', 'German', 'Portuguese - Brazil', 'Russian', 'Simplified Chinese']","Action, Adventure, Casual, Indie, Simulation","['Action', 'Indie', 'Casual', 'Simulation', 'Adventure', 'Third-Person Shooter', 'Hunting', 'Shooter']",0.75
3,1097690,Gladiator: Road to the Colosseum,Hosted Games,Hosted Games,,3,8,0,0 .. 20 k,0,0,0,0,5.99,599,0,0,"['windows', 'mac', 'linux']","8 Aug, 2019","['Single-player', 'Steam Achievements', 'Captions available', 'Steam Cloud']",[],0,['English'],"Adventure, Indie, RPG","['Adventure', 'RPG', 'Indie', 'Text-Based']",0.2727272727272727
4,810250,RACING GAME,Green Cheese Games,Green Cheese Games,,3,1,0,0 .. 20 k,0,0,0,0,3.99,399,0,0,"['windows', 'linux']","13 Sep, 2019","['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Steam Achievements', 'Partial Controller Support', 'Steam Cloud']",[],0,['English'],"Casual, Racing","['Racing', 'Casual']",0.75
5,1161510,Lithium Inmate 39 Relapsed Edition,Stoneball L.L.C.,Stoneball L.L.C.,,3,1,0,0 .. 20 k,0,0,0,0,9.99,999,0,0,['windows'],"4 Nov, 2019","['Single-player', 'Steam Achievements', 'Partial Controller Support']",[],0,"['English', 'French', 'Italian', 'German', 'Russian', 'Spanish - Latin America', 'Portuguese - Portugal', 'Spanish - Spain', 'Portuguese - Brazil']","Action, Adventure, Indie","['Action', 'Indie', 'Adventure', 'Gore', 'Violent']",0.75
6,1555780,鸭子达奇 Duck Duchy,ShuiMUMU,ShuiMUMUdeMa,,3,0,0,0 .. 20 k,0,0,0,0,2.99,299,0,0,['windows'],"25 Mar, 2021",['Single-player'],[],0,['English'],"Adventure, Casual, Indie","['Pixel Graphics', 'Casual', '2D Platformer', 'Singleplayer', 'Side Scroller', 'Platformer', 'Adventure', 'Cute', '2D', 'Rogue-lite', 'Linear', 'Indie', 'Funny', 'Comedy', 'Cartoon', 'Retro']",1.0
7,685120,Geometry World,Eder Gabriel,Eder Gabriel,,4,0,0,0 .. 20 k,0,0,0,0,0.99,99,0,0,['windows'],"19 Sep, 2017","['Single-player', 'Steam Achievements']",[],0,['English'],"Casual, Indie","['Indie', 'Casual']",1.0
8,751170,Driving Theory Test UK 2017/18 - Driving Test Success,Imagitech,Focus Multimedia,,4,1,0,0 .. 20 k,0,0,0,0,0.0,0,0,0,['windows'],"15 Dec, 2017",[],[],0,"['English', 'Arabic', 'Polish']","Education, Software Training","['Education', 'Software Training']",0.8
9,957930,Intelligence: Underwater Kingdom,Laush Dmitriy Sergeevich,Laush Studio,,4,2,0,0 .. 20 k,0,0,0,0,3.99,399,0,0,['windows'],"24 Oct, 2018","['Single-player', 'Steam Achievements']",[],0,['English'],"Casual, Indie","['Puzzle', 'Underwater', 'Fishing', 'Card Game', 'Tabletop', '2D', 'Relaxing', 'Casual', 'Simulation', 'Logic', 'Family Friendly', 'Atmospheric', 'Singleplayer', 'Indie', 'Music']",0.6666666666666666
