,appid,name,developer,publisher,score_rank,positive,negative,userscore,owners,average_forever,average_2weeks,median_forever,median_2weeks,price,initialprice,discount,ccu,platforms,release_date,categories,dlc,ccu,languages,genres,tags,Review_rating
0,1766650,Funny Card,HotFoodGames,HotFoodGames,,6,1,0,0 .. 20 k,0,0,0,0,0.99,99,0,0,['windows'],"1 Nov, 2021","['Single-player', 'Steam Achievements']",[],0,"['English', 'Russian']",Indie,"['Puzzle', 'Indie', 'Tabletop', 'Card Game', 'Cute', 'Casual', 'Pixel Graphics', 'Family Friendly', 'Singleplayer']",0.8571428571428571
1,1772270,Flappy Octane,"NomadApps, ncj","NomadApps, ncj",,6,0,0,0 .. 20 k,0,0,0,0,0.0,0,0,0,['windows'],"1 Nov, 2021","['Single-player', 'Steam Achievements', 'Steam Leaderboards']",[],0,['English'],"Casual, Indie, Early Access","['Casual', 'Arcade', 'Platformer', '2D Platformer', 'Precision Platformer', '2D', 'Procedural Generation', 'Indie', 'Early Access', 'Singleplayer']",1.0
2,1789440,Ani Leaving Sirius,e2gamestudio,e2gamestudio,,6,0,0,0 .. 20 k,0,0,0,0,4.99,499,0,0,"['windows', 'mac']","8 Nov, 2021","['Single-player', 'Steam Achievements']",[],0,['English'],"Action, Adventure, Casual, Indie","['Action', 'Casual', 'Adventure', '2D Platformer', 'Action-Adventure', 'Metroidvania', 'Platformer', 'Precision Platformer', 'Rogue-lite', '2D', 'Atmospheric', 'Hand-drawn', 'Colorful', 'Cute', 'Family Friendly', 'Resource Management', 'Tabletop', 'Singleplayer', 'Indie']",1.0
3,1777010,GDO Masters,Dropkick,Dropkick,,6,0,0,0 .. 20 k,0,0,0,0,9.99,999,0,0,['windows'],"4 Nov, 2021","['Single-player', 'Multi-player', 'PvP', 'Shared/Split Screen PvP', 'Shared/Split Screen', 'Remote Play Together']",[],0,['English'],Action,"['Action', ""Beat 'em up"", '3D Fighter', 'Memes', 'Spectacle fighter', 'Martial Arts', 'Combat', '3D', '3D Platformer', 'Singleplayer', 'PvP', 'Multiplayer']",1.0
4,1816900,Aberration,TiernanGames,TiernanGames,,6,1,0,0 .. 20 k,0,0,0,0,4.99,499,0,0,['windows'],"17 Jan, 2022",['Single-player'],[],0,['English'],"Casual, Indie","['Casual', 'Point & Click', '3D', 'Atmospheric', 'Stylized', 'Crime', 'Logic', 'Singleplayer', 'Dark', 'Indie', 'Detective', 'Investigation', 'Story Rich', 'Linear']",0.8571428571428571
5,1412260,Kombo King,Icuzo,Icuzo,,6,0,0,0 .. 20 k,0,0,0,0,0.99,99,0,0,"['windows', 'mac']","31 Dec, 2021","['Single-player', 'Steam Achievements', 'Full controller support']",[],0,"['English', 'Japanese', 'Korean', 'Simplified Chinese', 'Spanish - Spain', 'Russian', 'Spanish - Latin America']","Action, Indie","['Side Scroller', 'Precision Platformer', '2D Platformer', 'Hack and Slash', '3D Platformer', ""Beat 'em up"", 'Martial Arts', 'Boxing', 'Tutorial', 'Platformer', '2D Fighter', 'Arcade', '3D Fighter', 'Action-Adventure', 'Character Action Game', '2.5D', '2D', 'RPG', '3D', 'Comic Book']",1.0
6,1846850,Exploria,Maghilux,Maghilux,,6,3,0,0 .. 20 k,0,0,0,0,4.99,499,0,0,['windows'],"27 Jan, 2022","['Single-player', 'Steam Achievements']",[],0,['English'],RPG,"['RPG', 'Adventure', 'Action RPG', 'Action-Adventure', 'Exploration', '3D', 'Dark Fantasy', 'Emotional', 'Fantasy', 'Medieval', 'Nature', 'Character Customization', 'Combat', 'Singleplayer']",0.6666666666666666
7,1854830,消失的纪元   The Lost Era,尹得龙,尹得龙,,6,1,0,0 .. 20 k,0,0,0,0,3.99,399,0,0,['windows'],"21 Jan, 2022",['Single-player'],[],0,['Simplified Chinese'],"Action, Adventure, Casual, Indie, Strategy","['Casual', 'Adventure', 'Action', 'Strategy', '2D Fighter', 'Action-Adventure', 'Shooter', 'Rhythm', 'Puzzle', '2D Platformer', 'Real Time Tactics', 'Wargame', 'Exploration', '2D', 'Pixel Graphics', 'Anime', 'Third Person', 'Drama', 'Historical', 'Retro']",0.8571428571428571
8,1857780,Cursed Quest,Pattern J Games,Pattern J Games,,6,0,0,0 .. 20 k,0,0,0,0,0.0,0,0,0,['windows'],"23 Mar, 2022",['Single-player'],[],0,['English'],"Action, Adventure, Indie","['2D Platformer', 'Puzzle', 'Difficult', 'Dark', 'Mystery', 'Sci-fi', 'Action-Adventure', 'Adventure', 'Puzzle-Platformer', 'Atmospheric', 'Action', 'Platformer', 'Exploration', 'Colorful', 'Post-apocalyptic', 'Retro', 'Indie', 'Ambient', 'Singleplayer', 'Stylized']",1.0
9,1895760,Coral Drive,Happy Daram Inc.,Happy Daram Inc.,,6,1,0,0 .. 20 k,0,0,0,0,1.99,199,0,0,['windows'],"10 Mar, 2022",['Single-player'],[],0,"['English', 'Korean']",,"['Visual Novel', 'Conversation', 'Puzzle', 'Indie', 'Text-Based', 'Simulation', '2D Platformer', 'Romance', 'Sci-fi', 'Futuristic', 'Management', 'Multiple Endings', 'Resource Management', 'Puzzle-Platformer', 'Collectathon', '2D', 'Cartoon', 'Dark Humor', 'Singleplayer', 'Pixel Graphics']",0.8571428571428571
10,1880690,Familiar,Damsel Stone,Damsel Stone,,6,0,0,0 .. 20 k,0,0,0,0,5.99,599,0,0,['windows'],"19 Apr, 2022","['Single-player', 'Steam Achievements', 'Full controller support']",[1971620],0,['English'],"Adventure, Indie","['Adventure', 'Cats', 'Puzzle', 'Platformer', 'Relaxing', 'Logic', 'Stylized', 'Atmospheric', '2D Platformer', 'Collectathon', 'Puzzle-Platformer', 'Hand-drawn', '2D', 'Cute', 'Mystery', 'Surreal', 'Conversation', 'Multiple Endings', 'Singleplayer', 'Story Rich']",1.0
