,appid,name,developer,publisher,score_rank,positive,negative,userscore,owners,average_forever,average_2weeks,median_forever,median_2weeks,price,initialprice,discount,ccu,platforms,release_date,categories,dlc,ccu,languages,genres,tags,Review_rating
0,1271740,Magical Swordmaiden,LunaSoft,"Kagura Games, MangaGamer",,91,26,0,0 .. 20 k,0,0,0,0,19.99,1999,0,0,['windows'],"18 Dec, 2020","['Single-player', 'Steam Cloud']",[],0,"['English', 'Simplified Chinese', 'Japanese']","Action, Indie, RPG","['RPG', 'Indie', 'Female Protagonist', 'Sexual Content', 'Action', 'Anime', 'JRPG', 'Nudity', 'Hack and Slash', 'Memes', 'RPGMaker', 'Mature']",0.7777777777777778
1,1257200,False Myth,fushidara tei,Kagura Games,,362,47,0,0 .. 20 k,0,0,0,0,24.99,2499,0,2,['windows'],"19 Feb, 2021","['Single-player', 'Steam Trading Cards', 'Steam Cloud']",[],2,"['English', 'Japanese', 'Simplified Chinese']","Indie, RPG","['RPG', 'Indie', 'Sexual Content', 'Anime', 'JRPG', 'Nudity', 'Female Protagonist', 'Pixel Graphics', 'Adventure', 'Multiple Endings', 'Memes', 'Mature', 'Hentai']",0.8850855745721271
2,1371330,Vessels,Local Space Survey Corps,"Local Space Survey Corps, LLC",,90,3,0,0 .. 20 k,0,0,0,0,3.99,399,0,0,"['windows', 'mac', 'linux']","8 Dec, 2020",['Single-player'],[],0,['English'],"Adventure, Indie","['Narrative', 'Exploration', 'Mystery', 'Atmospheric', 'Adventure', 'Conversation', 'Indie', 'Psychological', 'Drama', 'Choices Matter', 'Sci-fi', 'Space', 'Multiple Endings', 'Puzzle', 'Philosophical', 'Story Rich', 'Supernatural', 'Dark', 'Singleplayer', 'First-Person']",0.967741935483871
3,1761780,Creepy Tale 3: Ingrid Penance,Creepy Brothers,"Creepy Brothers, Silkey Games",,290,14,0,0 .. 20 k,0,0,0,0,9.99,999,0,13,"['windows', 'mac', 'linux']","9 Mar, 2023","['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Remote Play Together']",[2310120],13,"['English', 'Russian', 'German', 'Spanish - Spain', 'Traditional Chinese', 'Simplified Chinese', 'Spanish - Latin America', 'Japanese']","Adventure, Indie","['Dark', 'Singleplayer', 'Horror', 'Narration', 'Escape Room', 'Puzzle', 'Drama', 'Mystery', 'Point & Click', 'Supernatural', 'Atmospheric', 'Psychological Horror', 'Adventure', 'Story Rich', 'Hand-drawn', 'Indie', 'RPG', '2D', 'Side Scroller', 'Puzzle-Platformer']",0.9539473684210527
4,561970,REALITY,Grey Reality Studios,Grey Reality Studios,,65,35,0,0 .. 20 k,0,0,0,0,0.0,0,0,0,['windows'],"30 Nov, 2016",['Single-player'],[],0,['English'],"Adventure, Free to Play, Indie","['Free to Play', 'Horror', 'Indie', 'Adventure']",0.65
5,441280,Pharaoh Rebirth+,"KROBON station, Vaka Game Magazine",Vaka Game Magazine,,294,23,0,0 .. 20 k,0,0,0,0,9.99,999,0,0,['windows'],"17 Mar, 2016","['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Partial Controller Support', 'Steam Cloud']",[],0,"['English', 'Japanese']","Action, Adventure, Indie","['Action', 'Adventure', 'Indie', 'Metroidvania', 'Platformer', 'Singleplayer', '2D', 'Pixel Graphics', 'Great Soundtrack', 'Side Scroller']",0.9274447949526814
6,868980,DEEP SPACE WAIFU: NEKOMIMI,Neko Climax Studios,Neko Climax Studios,100,362,6,98,0 .. 20 k,0,0,0,0,3.99,399,0,3,['windows'],"18 Dec, 2018","['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Partial Controller Support', 'Steam Cloud']",[1001620],3,['English'],"Action, Casual, Indie","['Nudity', 'Sexual Content', 'Action', 'Casual', 'Indie', 'Anime', 'Bullet Hell']",0.9836956521739131
7,1588410,Hot Spring Hero,EXAMGAMES,OTAKU Plan,,118,17,0,0 .. 20 k,0,0,0,0,18.99,1899,0,2,['windows'],"8 Apr, 2022",['Single-player'],[],2,"['English', 'Japanese', 'Simplified Chinese']","Adventure, Casual, RPG","['NSFW', 'Mystery Dungeon', 'Exploration', 'Nudity', 'Turn-Based Tactics', 'Sexual Content', 'Hack and Slash', 'JRPG', 'RPG', 'Fishing', 'Cute', 'Funny', 'Story Rich', 'Turn-Based Combat', 'Casual', 'Anime', 'Fantasy', 'Adventure', 'Singleplayer', 'Dungeon Crawler']",0.8740740740740741
8,292760,Rise of Prussia Gold,Ageod,Slitherine Ltd.,,29,13,0,0 .. 20 k,0,0,0,0,19.99,1999,0,0,['windows'],"7 May, 2014","['Single-player', 'Multi-player']",[],0,"['English', 'French', 'German', 'Spanish - Spain']",Strategy,"['Strategy', 'Historical', 'Wargame', 'Grand Strategy', 'Turn-Based', 'Turn-Based Strategy', 'Singleplayer', 'Multiplayer', 'Replay Value']",0.6904761904761905
9,718730,One Strike,Retro Reactor,Retro Reactor,,65,5,0,0 .. 20 k,0,0,0,0,4.99,499,0,0,"['windows', 'mac']","3 Nov, 2017","['Single-player', 'Multi-player', 'PvP', 'Shared/Split Screen PvP', 'Shared/Split Screen', 'Steam Achievements', 'Full controller support', 'Remote Play Together']",[1193370],0,['English'],"Action, Casual, Indie","['Action', 'Indie', 'Casual', 'Violent', 'Fighting', '2D Fighter', 'Retro', 'Gore']",0.9285714285714286
10,360400,Zombie Quarantine,Tobop Productions,Tobop Productions,,8,3,0,0 .. 20 k,0,0,0,0,0.99,99,0,0,['windows'],"23 Jun, 2017","['Single-player', 'Steam Achievements', 'Steam Trading Cards']",[],0,['English'],"Casual, Strategy","['Casual', 'Strategy', 'Zombies', 'Singleplayer', 'Puzzle', 'Tower Defense', 'Point & Click', 'Clicker', 'Time Management', '3D', 'Top-Down', 'Dark Humor', 'Choices Matter', 'Management', 'Blood']",0.7272727272727273
11,1388130,Religion inc God Simulator,GameFirst,GameFirst,,76,20,0,0 .. 20 k,0,0,0,0,4.99,499,0,0,"['windows', 'mac']","16 Oct, 2020",['Single-player'],[],0,"['English', 'French', 'German', 'Spanish - Spain', 'Portuguese - Portugal', 'Russian', 'Thai', 'Korean', 'Turkish']","Casual, Indie, Simulation, Strategy, Early Access","['Early Access', 'Strategy', 'Simulation', 'Experimental', 'God Game', 'RTS', 'Choose Your Own Adventure', '3D', 'Top-Down', 'Isometric', 'Hand-drawn', 'Stylized', 'Colorful', 'Alternate History', 'Faith', 'Story Rich', 'Historical', 'Medieval', 'Philosophical', 'PvE']",0.7916666666666666
12,1217610,Pro Player Life,BloodBrothers Studios,BloodBrothers Studios,,85,33,0,0 .. 20 k,0,0,0,0,2.99,299,0,1,['windows'],"23 Oct, 2020","['Single-player', 'Steam Achievements']",[],1,"['English', 'Portuguese - Brazil']","Casual, Indie, Simulation, Sports","['Casual', 'Simulation', 'e-sports', 'Isometric', 'Singleplayer', 'Indie', 'Sports']",0.7203389830508474
13,2116970,StarStruck,Strawberrytail,Strawberrytail,,1,0,0,0 .. 20 k,0,0,0,0,11.99,1199,0,0,['windows'],"31 Jan, 2023",['Single-player'],[],0,['English'],"Action, Adventure, Casual, Indie, RPG, Simulation, Early Access","['RPG', 'Visual Novel', 'Choose Your Own Adventure', 'Choices Matter', 'Adventure', 'Story Rich', 'Fantasy', 'Space', 'Sci-fi', 'Narration', 'Conversation', 'Interactive Fiction', 'Colorful', '2D', 'Text-Based', 'Female Protagonist', 'Singleplayer', 'Early Access', 'Action', 'Indie']",1.0
14,2181640,人类动物园 Human Zoo,土豆火锅,冷笑黑妖,,65,3,0,0 .. 20 k,0,0,0,0,3.99,399,0,2,['windows'],"26 Oct, 2022","['Single-player', 'Steam Achievements', 'Steam Cloud']",[2345610],2,"['English', 'Not supported', 'Simplified Chinese']","Adventure, Indie, Early Access","['Early Access', 'Exploration', 'Fantasy', 'Anime', 'Dark Fantasy', 'Psychological Horror', 'Horror', 'Philosophical', 'Surreal', 'Puzzle', 'Dystopian ', 'Post-apocalyptic', 'Dark', 'Psychedelic', 'RPG', '2D', 'JRPG', 'Story Rich', 'Adventure', 'Multiple Endings']",0.9558823529411765
