,appid,name,developer,publisher,score_rank,positive,negative,userscore,owners,average_forever,average_2weeks,median_forever,median_2weeks,price,initialprice,discount,ccu,platforms,release_date,categories,dlc,ccu,languages,genres,tags,Review_rating
0,1692390,Another Cat in Dungeons,Day Art's Games,Day Art's Games,,11,0,0,0 .. 20 k,0,0,0,0,1.99,199,0,0,['windows'],"12 Aug, 2021","['Single-player', 'Steam Achievements']",[],0,['English'],"Casual, Indie, Strategy","['Casual', 'Strategy', 'Cats', 'Logic', 'Puzzle', 'Mystery Dungeon', 'Board Game', 'Cute', '3D', 'Indie', 'Minimalist', 'Atmospheric', 'Relaxing', 'Singleplayer']",1.0
1,1219730,The Manse on Soracca,MoonMuse Entertainment Studio,MoonMuse Entertainment Studio,,12,0,0,0 .. 20 k,0,0,0,0,4.99,499,0,0,['windows'],"26 Jan, 2020",['Single-player'],[1358240],0,['English'],Adventure,"['Adventure', 'Horror', 'Lovecraftian', 'Indie', 'Pixel Graphics', 'Mystery', 'Multiple Endings', 'Survival Horror']",1.0
2,911100,Memetown USA,Josh Moody,Blasted Science,,13,0,0,0 .. 20 k,0,0,0,0,4.2,420,0,0,['windows'],"30 Aug, 2018",['Single-player'],[],0,['English'],"Adventure, Casual, Indie, RPG","['Casual', 'Adventure', 'Indie', 'RPG', 'Memes']",1.0
3,895860,WitchAction,"SouzaiSoftSugar, そうざいそふとSugar",AnelaGamesStudio,,13,3,0,0 .. 20 k,0,0,0,0,9.99,999,0,1,['windows'],"21 Nov, 2018","['Single-player', 'Steam Achievements', 'Steam Cloud']",[],1,"['Japanese', 'English', 'Simplified Chinese', 'Traditional Chinese']","Action, Adventure, Casual, Indie","['Action', 'Indie', 'Casual', 'Adventure', 'Anime', 'Top-Down Shooter', 'Female Protagonist', 'Cute', 'Difficult', '2D', 'Great Soundtrack', 'Story Rich', 'Atmospheric', 'Singleplayer', 'Colorful', 'Cartoon', 'Comedy', 'Fantasy', '2.5D', 'Music']",0.8125
4,985620,Space Captain McCallery - Episode 2: Pilgrims in Purple Moss,Renegade Sector Games,Renegade Sector Games,,13,2,0,0 .. 20 k,0,0,0,0,4.99,499,0,0,"['windows', 'mac']","14 Mar, 2019","['Single-player', 'Steam Achievements', 'Partial Controller Support']",[],0,['English'],"Action, Adventure, Indie","['Indie', 'Action', 'Adventure', 'Retro', 'Third Person', 'Exploration', 'Sci-fi', 'Singleplayer', 'Difficult', 'Action-Adventure', 'Inventory Management', 'Colorful', '3D', 'Atmospheric', 'Pixel Graphics', 'Shooter', 'Surreal', 'Survival', '3D Platformer']",0.8666666666666667
5,1679930,Mini Golf Worlds VR,Maple Hill Games,Maple Hill Games,,14,0,0,0 .. 20 k,0,0,0,0,4.99,499,0,0,['windows'],"11 Jan, 2022","['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Tracked Controller Support', 'VR Only']",[],0,['English'],"Indie, Sports","['Sports', 'Mini Golf', 'VR', 'Immersive', 'Multiplayer', '3D', 'First-Person', 'Physics', 'Singleplayer', 'Indie', 'Golf', 'PvP', 'Arcade', 'VR Only']",1.0
6,1115760,Singaria,Tactic Forge,Tactic Forge,,16,0,0,0 .. 20 k,0,0,0,0,0.0,0,0,0,['windows'],"2 Aug, 2019","['Single-player', 'Steam Achievements']",[],0,"['English', 'Simplified Chinese', 'Traditional Chinese']","Action, Adventure, Indie, RPG","['Action', 'RPG', 'Indie', 'Adventure', 'Sexual Content', 'Story Rich', '2D']",1.0
7,1495460,Orange Santa,Anamik Majumdar,Anamik Majumdar,,16,2,0,0 .. 20 k,0,0,0,0,1.07,399,73,0,"['windows', 'linux']","8 Jan, 2021","['Single-player', 'Steam Achievements']",[],0,['English'],"Action, Adventure, Casual, Indie","['2D Platformer', 'Platformer', 'Retro', 'Side Scroller', 'Action', 'Adventure', 'Casual', 'Action-Adventure', 'Exploration', 'Shooter', '2D', 'Cartoon', 'Cartoony', 'Cute', 'Pixel Graphics', 'Funny', 'Old School', 'War', 'Singleplayer', 'Gore']",0.8888888888888888
8,1142760,Racing angle,Igor Kovalenko,Igor Kovalenko,,19,12,0,0 .. 20 k,0,0,0,0,1.99,199,0,0,['windows'],"19 Sep, 2019","['Single-player', 'Steam Achievements', 'Partial Controller Support']",[],0,"['English', 'Russian']","Action, Casual, Indie, Racing, Simulation","['Racing', 'Action', 'Indie', 'Casual', 'Simulation']",0.6129032258064516
9,1029220,Terraforming Earth,Lost Robots,Lost Robots,,25,0,0,0 .. 20 k,0,0,0,0,29.99,2999,0,0,"['windows', 'mac']","28 Aug, 2020","['Single-player', 'Multi-player', 'Co-op', 'Shared/Split Screen Co-op', 'Shared/Split Screen', 'Full controller support', 'Remote Play Together']",[],0,['English'],"Action, Adventure, Indie","['Indie', 'Action', 'Adventure', 'Robots', 'Puzzle-Platformer', 'Procedural Generation', 'Rogue-lite', 'Sci-fi', 'Local Co-Op', 'Replay Value', 'Family Friendly', 'Logic', 'Resource Management', 'Difficult', 'Perma Death', 'Rogue-like', 'Puzzle']",1.0
