,appid,name,developer,publisher,score_rank,positive,negative,userscore,owners,average_forever,average_2weeks,median_forever,median_2weeks,price,initialprice,discount,ccu,platforms,release_date,categories,dlc,ccu,languages,genres,tags,Review_rating
0,1068910,Submarine Attack!,Alexey Kropotin,Alexey Kropotin,,10,3,0,0 .. 20 k,0,0,0,0,2.99,299,0,0,['windows'],"17 May, 2019","['Single-player', 'Steam Leaderboards']",[],0,['English'],"Action, Indie","['Action', 'Indie', 'Submarine']",0.7692307692307693
1,1359870,VEGTERIA - Vegetable Shop Simulator,DNA ARMY GAMING,DNA ARMY GAMING,,10,27,0,0 .. 20 k,0,0,0,0,0.99,99,0,0,['windows'],"15 Jul, 2020",['Single-player'],[],0,['English'],"Adventure, Indie, Simulation","['Farming Sim', 'Farming', 'Simulation', 'Management', 'Time Management', 'Life Sim', 'Driving', 'Exploration', 'First-Person', 'Economy', 'Trading', 'Indie', 'Adventure', 'Physics', 'Singleplayer', 'Education', 'Sandbox', 'Walking Simulator', '3D Platformer', 'Choose Your Own Adventure']",0.2702702702702703
2,1482530,GeometryBricks,Marcin Gardyjan,Marcin Gardyjan,,10,0,0,0 .. 20 k,0,0,0,0,1.99,199,0,0,['windows'],"8 Jun, 2021","['Single-player', 'Full controller support']",[],0,"['English', 'Polish']","Action, Casual, Strategy","['Action', 'Casual', 'Puzzle', 'Arcade', 'Tabletop', 'Trivia', 'Sokoban', 'Puzzle-Platformer', 'Abstract', 'Isometric', 'Pixel Graphics', 'Top-Down', 'Futuristic', 'Atmospheric', 'Logic', 'Tactical', 'Grid-Based Movement', 'Singleplayer', 'Strategy']",1.0
3,1515340,Lazy Postman,ImperiumGame,ImperiumGame,,10,6,0,0 .. 20 k,0,0,0,0,1.99,199,0,0,['windows'],"26 Jan, 2021",['Single-player'],[],0,['English'],Indie,"['Runner', 'Racing', 'Casual', 'Walking Simulator', 'Survival', '3D', 'Top-Down', 'Indie', 'Dark Humor', 'Singleplayer']",0.625
4,1604840,Super Fowlst 2,Thomas K. Young,Thomas K. Young,,10,1,0,0 .. 20 k,0,0,0,0,3.99,399,0,0,['windows'],"2 May, 2021","['Single-player', 'Steam Achievements', 'Partial Controller Support']",[],0,['English'],"Action, Indie","['2D Platformer', 'Rogue-lite', 'Platformer', 'Action', 'Arcade', 'Rogue-like', '2D', 'Cute', 'Funny', 'Controller', 'Procedural Generation', 'Indie', 'Gore', 'Cartoony', 'Pixel Graphics', 'Loot', ""1990's"", 'Singleplayer']",0.9090909090909091
5,1747310,Catana,Adept Studios GD,Alawar Entertainment,,10,1,0,0 .. 20 k,0,0,0,0,6.99,699,0,0,['windows'],"10 Nov, 2021","['Single-player', 'Steam Achievements', 'Steam Cloud']",[],0,"['English', 'German', 'Russian']","Casual, Indie, Strategy","['Strategy', 'Match 3', 'Casual', 'Tactical', 'Puzzle', 'Tutorial', 'Cute', 'Colorful', 'Demons', 'Ninja', 'Indie', 'Comedy', 'Combat', 'Grid-Based Movement', 'Singleplayer']",0.9090909090909091
6,1904640,Al-Qadim: The Genie's Curse,Cyberlore Studios,SNEG,,10,1,0,0 .. 20 k,0,0,0,0,5.99,599,0,0,['windows'],"29 Mar, 2022","['Single-player', 'Steam Cloud']",[],0,"['English', 'French', 'German', 'Spanish - Spain']","Action, RPG","['RPG', 'Action', 'Fantasy', ""1990's"", 'Old School', 'Retro', 'Dungeons & Dragons']",0.9090909090909091
7,1967390,Lenny Loosejocks in Space,Ezone PTY LTD,Ezone PTY LTD,,10,0,0,0 .. 20 k,0,0,0,0,19.99,1999,0,0,['windows'],"1 Nov, 2022",['Single-player'],[],0,['English'],"Adventure, Indie","['Point & Click', 'Adventure', 'Puzzle', 'Casual', 'Exploration', '2D', 'Cartoon', 'Nostalgia', 'Pixel Graphics', 'Colorful', 'Comedy', 'Funny', 'Family Friendly', ""1990's"", 'Space', 'Aliens', 'Multiple Endings', 'Singleplayer', 'Old School', 'Wholesome']",1.0
8,2010440,Lost Dream: Memories,Morning Shift Studios,Morning Shift Studios,,10,5,0,0 .. 20 k,0,0,0,0,3.99,399,0,0,"['windows', 'linux']","8 Jul, 2022","['Single-player', 'Steam Achievements', 'Full controller support', 'Captions available']",[],0,['English'],"Adventure, Casual, Indie","['Adventure', 'Walking Simulator', 'Cute', '3D Platformer', '3D', 'Third Person', 'Casual', 'Relaxing', 'Cats', 'Dog', 'Controller', 'Abstract', 'Cartoony', 'Colorful', 'Stylized', 'Nature', 'Cinematic', 'Medieval', 'Linear', 'Singleplayer']",0.6666666666666666
9,2101480,Drunk: Relapsed,Team Tyrant,Team Tyrant,,10,1,0,0 .. 20 k,0,0,0,0,9.99,999,0,0,['windows'],"4 Nov, 2022","['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Cloud', 'Steam Leaderboards']",[],0,['English'],Action,"['Precision Platformer', 'Difficult', '3D Platformer', 'Adventure', 'Funny', 'Psychological Horror', 'Platformer', 'Physics', 'Singleplayer', 'Stylized', '3D', 'Third Person', 'Parody ', 'Controller', 'Linear', 'Action', 'Colorful', 'Tactical', 'Comedy', 'Replay Value']",0.9090909090909091
