,appid,name,developer,publisher,score_rank,positive,negative,userscore,owners,average_forever,average_2weeks,median_forever,median_2weeks,price,initialprice,discount,ccu,platforms,release_date,categories,dlc,ccu,languages,genres,tags,Review_rating
0,1332760,Nienix: Cosmic Warfare,HolmCom,HolmCom,,222,32,0,20 k .. 50 k,0,0,0,0,14.99,1999,25,0,"['windows', 'mac', 'linux']","24 Mar, 2023","['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'LAN PvP', 'Co-op', 'Online Co-op', 'LAN Co-op', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Full controller support', 'Steam Cloud']",[],0,"['English', 'Simplified Chinese', 'Russian', 'Catalan']","Action, Adventure, Indie, RPG","['Looter Shooter', 'Top-Down Shooter', 'Bullet Hell', 'Flight', 'PvE', 'PvP', 'Shooter', 'Action RPG', 'Character Customization', 'RPG', '2D', 'Top-Down', 'Controller', 'Open World', 'Procedural Generation', 'Loot', 'Sci-fi', 'Space', 'Adventure', 'Action']",0.8740157480314961
1,576060,Faraway Islands,bocoboc,bocoboc,,5,5,0,20 k .. 50 k,0,0,0,0,3.99,399,0,0,['windows'],"13 Dec, 2020","['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Cloud']",[],0,"['English', 'Czech']","Action, Adventure, Indie","['Open World Survival Craft', 'Pixel Graphics', 'Top-Down', 'Building', 'Adventure', 'Exploration', 'Survival', 'Mining', 'Action', 'Crafting', '2D', 'Point & Click', 'Arcade', 'Action-Adventure', 'Retro', 'Relaxing', 'Procedural Generation', 'Fishing', 'Character Customization', 'Cooking']",0.5
2,730360,Sharecare VR 2017,"Sharecare, Inc.","Sharecare, Inc.",,57,2,0,20 k .. 50 k,0,0,0,0,0.0,0,0,2,['windows'],Oct 2017,['VR Only'],[],2,['English'],Education,"['Medical Sim', 'Education', 'VR', 'VR Only']",0.9661016949152542
3,260510,World Basketball Tycoon,,Strategy First,,16,89,0,20 k .. 50 k,0,0,0,0,2.99,299,0,0,['windows'],"18 Nov, 2013",['Single-player'],[],0,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Greek', 'Polish', 'Portuguese - Portugal', 'Russian', 'Turkish']",,"['Simulation', 'Management', 'Basketball', 'Sports']",0.1523809523809524
4,2086580,Hiddens Awakening,ITDL Games,ITDL Games,,2,0,0,20 k .. 50 k,0,0,0,0,0.0,0,0,0,['windows'],"19 Aug, 2022","['Single-player', 'Steam Achievements']",[],0,"['English', 'French']","Indie, Strategy","['Strategy', 'Stealth', 'Turn-Based Tactics', 'Tabletop', 'Fantasy', 'Top-Down', 'Puzzle', 'Turn-Based Strategy', 'Colorful', '3D', 'Conspiracy', 'Logic', 'Mystery', 'Medieval', 'Nature', 'Tactical', 'PvE', 'Singleplayer', 'Indie']",1.0
5,804730,Third Front: WWII,Hamsters Gaming,Hamsters Gaming,,222,135,0,20 k .. 50 k,0,0,0,0,7.99,799,0,1,['windows'],"11 May, 2018","['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud']",[],1,"['English', 'Russian', 'French', 'Italian', 'German', 'Spanish - Spain', 'Portuguese - Brazil', 'Danish', 'Polish', 'Turkish', 'Czech', 'Swedish', 'Japanese', 'Simplified Chinese', 'Ukrainian']","Indie, Strategy","['Strategy', 'Indie', 'World War II', 'Card Game', 'War', 'Military', 'Turn-Based Strategy', 'Turn-Based', 'Tactical', 'Singleplayer', 'Historical', 'Turn-Based Combat', 'Alternate History', 'Early Access', 'Turn-Based Tactics']",0.6218487394957983
6,682350,Gnome Light,Palfrey Games,PalfreyGames,,6,17,0,20 k .. 50 k,0,0,0,0,0.99,99,0,0,['windows'],"31 Jul, 2017",['Single-player'],[],0,['English'],"Action, Adventure, Casual, Indie","['Adventure', 'Indie', 'Casual', 'Action', 'Great Soundtrack', 'Fantasy', 'Third Person', 'Story Rich', 'Puzzle', 'Exploration', 'Funny', 'Singleplayer', 'Stylized', 'Dark', 'Replay Value', 'Family Friendly', 'Hidden Object', 'Difficult']",0.2608695652173913
7,559620,Outlaws + A Handful of Missions,LucasArts,"Lucasfilm, Disney",,513,29,0,20 k .. 50 k,0,0,0,0,5.99,599,0,2,['windows'],"16 Nov, 2018","['Single-player', 'Steam Cloud']",[],2,['English'],Action,"['Action', 'Western', 'FPS', 'Shooter', 'First-Person', 'Classic', 'Retro', 'Singleplayer', 'Great Soundtrack', 'Soundtrack', 'Adventure']",0.9464944649446494
8,2145000,Twilight Of The Gods,Sheriff Games,Sheriff Games,,2,0,0,20 k .. 50 k,0,0,0,0,9.99,999,0,0,['windows'],"8 Dec, 2022",['Single-player'],[],0,['English'],"Action, Adventure, RPG","['Action', 'Medieval', 'Exploration', 'Singleplayer', 'RPG', 'Tactical RPG', 'Action-Adventure', 'Strategy RPG', 'PvE', 'Action RPG', 'Combat', '3D', 'Surreal', 'Story Rich', 'Fantasy', 'Adventure', 'War', 'Physics']",1.0
9,2337360,Story of the Olivia,Uğur ÇELİK,Uğur ÇELİK,,0,3,0,20 k .. 50 k,0,0,0,0,4.99,499,0,0,['windows'],"23 Mar, 2023",['Single-player'],[],0,['English'],"Action, Adventure, Indie, Early Access","['Early Access', 'Action', 'Adventure', 'Action-Adventure', 'Action RPG', 'Shooter', 'Hero Shooter', 'Exploration', 'Choose Your Own Adventure', 'Wargame', '3D', 'Realistic', 'Colorful', 'Third Person', 'Alternate History', 'America', 'Military', 'Horses', 'Atmospheric', 'Hunting']",0.0
10,1576240,The Shadow of Yidhra,WhitePeach, WhitePeach,,711,35,0,20 k .. 50 k,0,0,0,0,6.04,1099,45,7,['windows'],"15 Apr, 2021",['Single-player'],[1608380],7,"['English', 'Japanese', 'Simplified Chinese']","Action, Indie, RPG","['Action', 'RPG', '2D Fighter', 'Sexual Content', 'Shooter', 'Action-Adventure', 'Action RPG', '2D Platformer', 'JRPG', 'Looter Shooter', '2D', 'Anime', 'Top-Down Shooter', 'Tactical RPG', 'Cute', 'Zombies', 'Colorful', 'Female Protagonist', 'Drama', 'Sci-fi']",0.953083109919571
11,1709450,Grim Tales: The Heir Collector's Edition,Elephant Games,Big Fish Games,,12,2,0,20 k .. 50 k,0,0,0,0,9.99,999,0,1,['windows'],"30 Jul, 2021",['Single-player'],[],1,['English'],"Adventure, Casual","['Hidden Object', 'Puzzle', 'Point & Click', 'Female Protagonist', 'Detective', 'Casual', 'Linear', 'Story Rich', 'Colorful', 'Fantasy', 'Magic', 'Atmospheric', 'Investigation', 'Adventure', 'Mystery', 'Dark', 'Singleplayer']",0.8571428571428571
12,666100,Shooty Fruity,nDreams / Near Light,nDreams ,,191,20,0,20 k .. 50 k,0,0,0,0,19.99,1999,0,0,['windows'],"18 Jan, 2018","['Single-player', 'Steam Achievements', 'Tracked Controller Support', 'VR Only']",[],0,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Japanese', 'Russian']","Action, Simulation","['Action', 'Simulation', 'VR', 'Singleplayer', 'Shooter', 'Colorful', ""Shoot 'Em Up"", 'Comedy', 'First-Person', 'Funny', 'America', 'Atmospheric', 'Futuristic', 'VR Only']",0.9052132701421801
13,966680,Red Matter,Vertical Robot,Vertical Robot,,830,88,0,20 k .. 50 k,0,0,0,0,24.99,2499,0,4,['windows'],"10 Nov, 2018","['Single-player', 'Steam Achievements', 'Tracked Controller Support', 'VR Only', 'Steam Cloud']",[],4,"['English', 'French', 'Spanish - Spain']","Adventure, Indie","['VR', 'Puzzle', 'Adventure', 'Sci-fi', 'Exploration', 'Mystery', 'Atmospheric', 'Story Rich', 'Great Soundtrack', 'Cold War', 'Horror', 'Action-Adventure', 'Singleplayer', 'Indie', 'Casual', 'Walking Simulator', 'Immersive Sim', '3D', 'Beautiful', 'Cinematic', 'VR Only']",0.9041394335511983
14,409280,Blue Sheep,Noetic Games,Noetic Games,,21,21,0,20 k .. 50 k,0,0,0,0,1.99,199,0,1,"['windows', 'mac', 'linux']","31 Mar, 2016","['Single-player', 'Full controller support']",[],1,['English'],"Action, Adventure, Indie","['Adventure', 'Action', 'Indie', 'Female Protagonist', 'Platformer']",0.5
15,681820,(Chinese PaladinSword and Fairy 4),"Softstar Technology (Shanghai) Co., Ltd.","Beijing New Era Network Technology Co., Ltd.",99,492,108,81,20 k .. 50 k,0,0,0,0,5.99,599,0,41,,,,,41,['Simplified Chinese'],RPG,"['RPG', 'Classic', 'Great Soundtrack', 'Story Rich', 'Turn-Based']",0.82
16,294710,Putt-Putt and Pep's Dog on a Stick,Humongous Entertainment,"Humongous Entertainment, Nightdive Studios",,47,11,0,20 k .. 50 k,0,0,0,0,4.99,499,0,0,"['windows', 'mac', 'linux']","1 May, 2014","['Single-player', 'Steam Cloud']",[],0,"['English', 'Dutch']","Adventure, Casual","['Adventure', 'Casual', 'Family Friendly', 'Point & Click']",0.8103448275862069
17,2172260,The Complex: Expedition,pgWave.,pgWave.,,708,56,0,20 k .. 50 k,0,0,0,0,9.99,999,0,17,['windows'],"17 Jul, 2023",['Single-player'],[],17,['English'],"Action, Adventure, Simulation, Early Access","['Horror', 'Exploration', 'Realistic', 'Singleplayer', 'Story Rich', 'Action', 'Psychological Horror', 'Mystery', 'Adventure', 'Simulation', 'Cinematic', 'Immersive Sim', 'First-Person', '3D', ""1990's"", 'Atmospheric', 'Thriller', 'Open World', 'Early Access', 'America']",0.9267015706806283
18,703210,My Little Worms,For Kids,For Kids,,24,21,0,20 k .. 50 k,0,0,0,0,1.99,199,0,0,"['windows', 'mac', 'linux']","22 Sep, 2017","['Single-player', 'Steam Achievements']",[],0,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Portuguese - Brazil', 'Greek', 'Simplified Chinese', 'Portuguese - Portugal', 'Russian', 'Turkish', 'Japanese']","Casual, Indie","['Indie', 'Casual']",0.5333333333333333
