,appid,name,developer,publisher,score_rank,positive,negative,userscore,owners,average_forever,average_2weeks,median_forever,median_2weeks,price,initialprice,discount,ccu,platforms,release_date,categories,dlc,ccu,languages,genres,tags,Review_rating
0,569640,ZombieFight VR,"Beijing Elysium Interactive Technology Co.,Ltd.","Beijing Elysium Interactive Technology Co.,Ltd.",,32,28,0,0 .. 20 k,0,0,0,0,19.99,1999,0,1,['windows'],"15 Jun, 2017","['Single-player', 'Tracked Controller Support', 'VR Only']",[],1,"['English', 'Simplified Chinese', 'Traditional Chinese']","Action, Adventure, RPG","['Action', 'Adventure', 'RPG', 'Zombies', 'VR', 'VR Only']",0.5333333333333333
1,889320,The Plant,Aventy's team,Aventy's team,,32,6,0,0 .. 20 k,0,0,0,0,0.0,0,0,0,['windows'],"23 Jul, 2018",['Single-player'],[],0,"['English', 'Not supported', 'Russian']","Casual, Indie, Early Access","['Indie', 'Early Access', 'Casual', 'Visual Novel', 'Choose Your Own Adventure', 'Singleplayer', 'Choices Matter', '2D', 'Atmospheric', 'Short', 'Replay Value', 'Interactive Fiction', 'Cute', 'Relaxing']",0.8421052631578947
2,333350,Cults and Daggers,Chaphat,Chaphat,,33,18,0,0 .. 20 k,0,0,0,0,29.99,2999,0,0,"['windows', 'mac']","12 Feb, 2015",['Single-player'],[],0,['English'],Strategy,"['Strategy', 'Turn-Based Strategy', 'Grand Strategy']",0.6470588235294118
3,416180,Gun Bombers,Antti Vaihia,Antti Vaihia,,39,5,0,0 .. 20 k,0,0,0,0,3.99,399,0,0,['windows'],"21 Sep, 2016","['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'LAN PvP', 'Co-op', 'Online Co-op', 'LAN Co-op', 'Steam Achievements', 'Steam Workshop', 'Stats', 'Steam Leaderboards', 'Includes level editor']",[],0,['English'],"Action, Indie, Strategy","['Strategy', 'Multiplayer', 'PvP', 'Real-Time', 'Top-Down Shooter', 'Bullet Hell', 'Top-Down', '2D', 'Action', 'Tactical', 'Mining', 'Co-op', 'Online Co-Op', 'Singleplayer', 'Indie', 'Violent', 'Arcade', 'Shooter', 'Real Time Tactics', 'Early Access']",0.8863636363636364
4,708640,Nudist Beach Survival Simulator,Tornado Games,Sunday's Games,,42,8,0,0 .. 20 k,0,0,0,0,1.99,199,0,0,['windows'],"28 Sep, 2017","['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Cloud', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play on TV']",[],0,['English'],"Adventure, Indie, RPG, Simulation","['Simulation', 'Indie', 'RPG', 'Nudity', 'Adventure', 'Sexual Content', 'Pixel Graphics']",0.84
5,771010,Containment,Finite Reflection Studios,Finite Reflection Studios,,42,8,0,0 .. 20 k,0,0,0,0,1.99,199,0,0,"['windows', 'mac', 'linux']","9 Feb, 2018","['Single-player', 'Steam Achievements', 'Steam Cloud', 'Stats', 'Steam Leaderboards']",[],0,"['English', 'Spanish - Spain', 'German', 'French', 'Spanish - Latin America']","Casual, Indie, Simulation, Strategy","['Casual', 'Strategy', 'Indie', 'Simulation', 'Puzzle', 'Singleplayer', 'Turn-Based Strategy', 'Level Editor', 'Great Soundtrack', 'Short', 'Turn-Based', 'Cute', 'Difficult', 'Replay Value', 'Ambient', 'Cartoony', 'Minimalist', '2D', 'Colorful', 'Logic']",0.84
6,764990,"Whack the Serial Killer 20 Ways plus Neighbour, Burglars...",Whack It,Whack It,,43,7,0,0 .. 20 k,0,0,0,0,0.0,0,0,0,['windows'],"6 Apr, 2018",['Single-player'],[],0,['English'],Action,"['Action', 'Gore', 'Violent']",0.86
7,2118910,The Chaput's Baby,Gundes,Gundes,,43,5,0,0 .. 20 k,0,0,0,0,2.99,299,0,0,['windows'],"26 Sep, 2022","['Single-player', 'Steam Achievements', 'Partial Controller Support']",[],0,"['English', 'Portuguese - Brazil', 'Spanish - Latin America', 'Spanish - Spain', 'German', 'Turkish']","Action, Adventure, Indie","['Horror', 'Supernatural', 'Mystery', 'Demons', 'Dark', 'Psychological Horror', 'First-Person', 'Psychological', 'Survival Horror', 'Thriller', '3D', 'Female Protagonist', 'Lore-Rich', 'Story Rich', 'Adventure', 'Action', 'Singleplayer', 'Survival', 'Puzzle', 'Surreal']",0.8958333333333334
8,534720,Tornuffalo,RealityRig,RealityRig,,44,4,0,0 .. 20 k,0,0,0,0,0.99,99,0,0,['windows'],"12 Dec, 2016","['Single-player', 'Tracked Controller Support', 'VR Only']","[574730, 622110]",0,['English'],Action,"['Action', 'VR', 'VR Only']",0.9166666666666666
9,1823570,Age of Valakas: Vietnam,LuftWaffel, LuftWaffel,,45,7,0,0 .. 20 k,0,0,0,0,1.99,199,0,0,['windows'],"13 May, 2022",['Single-player'],[],0,"['Russian', 'English']","Action, Indie","['Action', 'Platformer', 'Shooter', '2D Platformer', 'Side Scroller', '2D', 'War', 'Historical', 'Gore', 'Physics', 'Violent', 'Indie', 'Singleplayer', 'Wargame', 'Blood']",0.8653846153846154
