,appid,name,developer,publisher,score_rank,positive,negative,userscore,owners,average_forever,average_2weeks,median_forever,median_2weeks,price,initialprice,discount,ccu,platforms,release_date,categories,dlc,ccu,languages,genres,tags,Review_rating
0,1214360,SKYE,DeCoded Production,Breda University of Applied Sciences,,1129,95,0,100 k .. 200 k,0,0,0,0,0.0,0,0,0,['windows'],"18 Jun, 2020","['Single-player', 'Steam Achievements', 'Partial Controller Support']",[],0,['English'],"Adventure, Casual, Free to Play, Indie, Racing","['Indie', 'Free to Play', 'Racing', 'Adventure', 'Flight', 'Casual', 'Relaxing', 'Exploration', 'Beautiful', 'Experience', 'Emotional', 'Early Access', 'Multiplayer', 'Singleplayer']",0.9223856209150327
1,1245560,Roots of Pacha,Soda Den,Soda Den,,1959,149,0,100 k .. 200 k,0,0,0,0,24.99,2499,0,296,"['windows', 'mac', 'linux']","25 Apr, 2023","['Single-player', 'Multi-player', 'Co-op', 'Online Co-op', 'Steam Achievements', 'Full controller support', 'Steam Cloud']",[2504760],296,"['English', 'French', 'German', 'Portuguese - Brazil', 'Russian', 'Simplified Chinese', 'Spanish - Spain']","Indie, RPG, Simulation","['Pixel Graphics', 'Farming Sim', 'Life Sim', 'Romance', 'RPG', 'Building', 'Exploration', 'Agriculture', 'Relaxing', 'Crafting', 'Sandbox', 'Simulation', 'Cute', 'Cozy', 'Online Co-Op', 'Controller', 'Co-op', 'Singleplayer', 'Character Customization', 'Multiplayer']",0.9293168880455408
2,321840,Rising Angels: Reborn,IDHAS Studios,Sekai Project,,469,114,0,100 k .. 200 k,0,0,0,0,0.0,0,0,0,"['windows', 'mac', 'linux']","12 Sep, 2014",['Single-player'],[],0,['English'],"Adventure, Casual, Free to Play, Indie, Simulation","['Free to Play', 'Visual Novel', 'Anime', 'Indie', 'Adventure', 'Simulation', 'Casual', 'Female Protagonist', 'Sci-fi', 'Mature', 'Nudity', 'Romance', 'Singleplayer', 'LGBTQ+', 'RPG', 'Otome']",0.8044596912521441
3,3390,Feeding Frenzy 2 Deluxe,"PopCap Games, Inc.","PopCap Games, Inc., Electronic Arts",,1648,50,0,100 k .. 200 k,0,0,0,0,4.99,499,0,20,['windows'],"30 Aug, 2006",['Single-player'],[],20,['English'],Casual,"['Casual', 'Arcade', 'Singleplayer', 'Underwater', '2D', 'Family Friendly', 'Action', 'Psychological Horror', 'Nostalgia']",0.9705535924617197
4,307580,Technobabylon,Technocrat Games,Wadjet Eye Games,,1351,76,0,100 k .. 200 k,0,0,0,0,14.99,1499,0,2,"['windows', 'mac', 'linux']",May 2015,"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Captions available', 'Steam Cloud', 'Commentary available']",[1934600],2,['English'],"Adventure, Indie","['Adventure', 'Point & Click', 'Cyberpunk', 'Indie', 'Pixel Graphics', 'Sci-fi', 'Singleplayer', 'Story Rich', 'Female Protagonist', 'Atmospheric', 'LGBTQ+', '2D', 'Mystery', 'Retro', 'Futuristic', 'Great Soundtrack']",0.9467414155571128
5,1106770,Shepherd of Light,Bad Seahorse,John Paul the Great Catholic University,,712,36,0,100 k .. 200 k,0,0,0,0,0.0,0,0,1,"['windows', 'mac']","4 Sep, 2019",['Single-player'],[],1,['English'],Free to Play,"['Free to Play', 'Puzzle', 'Indie']",0.9518716577540107
6,484900,Aven Colony,Mothership Entertainment LLC,Team17 Digital Ltd,,1751,596,0,100 k .. 200 k,0,0,0,0,4.49,2999,85,31,['windows'],"25 Jul, 2017","['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud']","[645900, 685820]",31,"['English', 'French', 'German', 'Spanish - Spain', 'Russian', 'Simplified Chinese', 'Italian']","Indie, Simulation, Strategy","['Colony Sim', 'City Builder', 'Strategy', 'Simulation', 'Sci-fi', 'Base-Building', 'Indie', 'Space', 'Singleplayer', 'Survival', 'Resource Management', 'Management', 'Sandbox']",0.746058798466127
7,1465070,Legendary Tales,Urban Wolf Games Inc.,Urban Wolf Games Inc.,,1498,352,0,100 k .. 200 k,0,0,0,0,34.99,3499,0,13,['windows'],"8 Sep, 2021","['Single-player', 'Multi-player', 'Co-op', 'Online Co-op', 'Tracked Controller Support', 'VR Only']",[],13,['English'],"Action, Adventure, Indie, RPG, Simulation, Early Access","['VR', 'Online Co-Op', 'Swordplay', 'Gore', 'Action', 'Medieval', 'Fantasy', 'Magic', 'Adventure', 'Action RPG', 'RPG', 'Dark Fantasy', 'Combat', 'Action-Adventure', 'Souls-like', 'Dungeon Crawler', 'PvE', 'Early Access', 'Indie', 'Simulation', 'VR Only']",0.8097297297297297
8,1551920,Whisper Trip,Walnut LLC,Walnut LLC,,51,29,0,100 k .. 200 k,0,0,0,0,4.99,499,0,0,['windows'],"7 Oct, 2021","['Single-player', 'Multi-player', 'Co-op', 'Online Co-op', 'Steam Achievements', 'Partial Controller Support', 'Steam Cloud']",[],0,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Portuguese - Brazil', 'Traditional Chinese', 'Simplified Chinese', 'Korean', 'Polish', 'Russian', 'Japanese']","Action, Indie","['Action', 'Online Co-Op', 'Cyberpunk', 'Hack and Slash', 'Ninja', 'Sci-fi', 'Swordplay', 'Platformer', ""Beat 'em up"", 'Story Rich', 'Martial Arts', 'Spectacle fighter', 'Arcade', 'Third Person', 'Co-op Campaign', 'Stealth', 'Drama', 'Choose Your Own Adventure', 'Perma Death', '3D Fighter']",0.6375
9,46260,Star Wolves 3: Civil War,Elite Games Team,Fulqrum Publishing,,494,121,0,100 k .. 200 k,0,0,0,0,4.99,499,0,13,['windows'],"2 Mar, 2010","['Single-player', 'Steam Trading Cards', 'Steam Cloud']",[],13,"['English', 'Russian']","RPG, Strategy","['RPG', 'Strategy', 'Space', 'Sci-fi', 'Tactical']",0.8032520325203252
