,appid,name,developer,publisher,score_rank,positive,negative,userscore,owners,average_forever,average_2weeks,median_forever,median_2weeks,price,initialprice,discount,ccu,platforms,release_date,categories,dlc,ccu,languages,genres,tags,Review_rating
0,12500,PuzzleQuest: Challenge of the Warlords,Infinite Interactive,"D3Publisher of America, Inc.",,851,126,0,50 k .. 100 k,0,0,0,0,9.99,999,0,7,['windows'],"29 Jan, 2008","['Single-player', 'Multi-player', 'Steam Cloud']",[],7,['English'],Casual,"['Puzzle', 'Match 3', 'Casual', 'RPG', 'Fantasy', '2D', 'Addictive', 'Strategy', 'Singleplayer', 'Anime', 'Indie', 'Touch-Friendly', 'Adventure']",0.8710337768679631
1,1800650,Galaxy Citizen,Studio Baby,Baby Inc.,,10,4,0,50 k .. 100 k,0,0,0,0,0.0,0,0,0,['windows'],"6 Feb, 2022","['Single-player', 'Multi-player', 'MMO', 'Steam Achievements', 'In-App Purchases', 'Partial Controller Support', 'Stats']","[1801390, 1938610, 2002100, 2010130]",0,"['English', 'French', 'Japanese', 'German']","Action, Adventure, Massively Multiplayer, Simulation, Free to Play, Early Access","['Early Access', 'Free to Play', 'FPS', 'PvP', 'PvE', 'Open World', 'Sci-fi', 'First-Person', 'Shooter', 'Simulation', 'Massively Multiplayer', 'Action', 'Fantasy', 'Space', 'Singleplayer', 'Female Protagonist', 'Online Co-Op', 'Multiplayer', 'Co-op', 'Action-Adventure']",0.7142857142857143
2,588690,"Peace, Death!",AZAMATIKA,AZAMATIKA,,1891,120,0,50 k .. 100 k,0,0,0,0,4.99,499,0,3,['windows'],"24 Mar, 2017","['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Steam Leaderboards']","[609440, 751880]",3,"['English', 'Russian', 'Portuguese - Brazil', 'French', 'German', 'Ukrainian', 'Simplified Chinese', 'Spanish - Spain', 'Korean', 'Romanian']","Casual, Indie, Simulation","['Indie', 'Funny', 'Casual', 'Pixel Graphics', 'Simulation', 'Memes', '2D', 'Comedy', 'Dark Humor', 'Singleplayer', 'Retro', 'Great Soundtrack']",0.9403281949278965
3,342260,Nevermind,Flying Mollusk,Flying Mollusk,,326,93,0,50 k .. 100 k,0,0,0,0,19.99,1999,0,0,"['windows', 'mac']","29 Sep, 2015","['Single-player', 'Steam Achievements', 'Tracked Controller Support', 'VR Supported', 'Steam Trading Cards', 'Partial Controller Support', 'Steam Cloud']","[738850, 401860, 572750]",0,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Japanese', 'Korean', 'Portuguese - Brazil', 'Russian', 'Simplified Chinese', 'Traditional Chinese']","Adventure, Indie","['Adventure', 'Psychological Horror', 'Indie', 'Horror', 'Puzzle', 'Mystery', 'Surreal', 'Story Rich', 'Atmospheric', 'Thriller', 'First-Person', 'VR']",0.7780429594272077
4,632070,The Fidelio Incident,"Act 3 Games, LLC","Act 3 Games, LLC",,641,185,0,50 k .. 100 k,0,0,0,0,9.99,999,0,0,['windows'],"23 May, 2017","['Single-player', 'Steam Achievements', 'Full controller support']",[642540],0,['English'],"Adventure, Indie","['Walking Simulator', 'Adventure', 'Indie', 'Singleplayer', 'Great Soundtrack', 'Exploration', 'First-Person', 'Puzzle', 'Story Rich', 'Mystery', 'Thriller', 'Atmospheric']",0.7760290556900726
5,1583690,Elijah and the Out of this World Adventure,PDS Games,PDS Games,,8,0,0,50 k .. 100 k,0,0,0,0,3.99,399,0,1,"['windows', 'mac', 'linux']","24 Sep, 2021","['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Cloud']",[],1,"['English', 'Spanish - Spain', 'Japanese', 'Russian', 'Spanish - Latin America']","Action, Adventure, Indie, RPG","['Action', 'Adventure', 'RPG', 'Action Roguelike', 'Action RPG', 'Action-Adventure', ""Beat 'em up"", 'Rogue-like', 'Bullet Hell', 'Exploration', 'Hack and Slash', 'Metroidvania', 'Rogue-lite', '2D', 'Pixel Graphics', 'Top-Down', 'Aliens', 'Zombies', 'Funny', 'America']",1.0
6,1158450,GALAXIUM,"Tony Muñoz, Dario Carnelutti",Wulum LTD,,59,150,0,50 k .. 100 k,0,0,0,0,5.99,599,0,0,"['windows', 'mac']","15 Oct, 2019",['Single-player'],[],0,['English'],"Action, Casual, Indie","['Action', 'Indie', 'Casual', 'Space', 'Arcade']",0.2822966507177033
7,504380,Detective Hayseed - Hollywood,Zima software,Zima software,,124,4,0,50 k .. 100 k,0,0,0,0,14.99,1499,0,1,"['windows', 'mac']","7 Oct, 2016","['Single-player', 'Steam Achievements']",[],1,"['English', 'German', 'Czech']","Adventure, Indie, RPG","['Adventure', 'Indie', 'RPG', 'Point & Click', 'Comedy', 'Detective']",0.96875
8,1807750,封神榜2022,FC Maker,FC Maker,,859,78,0,50 k .. 100 k,0,0,0,0,9.99,999,0,0,['windows'],"6 Jan, 2022","['Single-player', 'Partial Controller Support']",[],0,"['English', 'Not supported', 'Simplified Chinese']","Adventure, Casual, Indie, RPG, Strategy","['RPG', 'JRPG', 'Mythology', 'Strategy', 'Story Rich', 'Turn-Based Combat', 'Turn-Based Strategy', 'Party-Based RPG', '2D Platformer', 'Tactical RPG', 'Drama', 'Pixel Graphics', 'Turn-Based Tactics', '2D', 'Cartoon', 'Cute', 'Hand-drawn', 'Retro', 'Relaxing', 'Funny']",0.9167556029882604
9,502400,Redactem,Elliott Jones,Conglomerate 5,,235,105,0,50 k .. 100 k,0,0,0,0,0.99,99,0,2,"['windows', 'mac']","1 Aug, 2016","['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards']",[],2,"['English', 'Russian', 'Simplified Chinese', 'Traditional Chinese']","Action, Casual, Indie, Strategy","['Casual', 'Indie', 'Action', 'Strategy', 'Puzzle-Platformer', 'Difficult', 'Platformer', 'Puzzle', '2D', 'Pixel Graphics', 'Parkour', '2D Platformer', 'Side Scroller', 'Minimalist', 'Time Manipulation', 'Physics', 'Singleplayer', 'Short']",0.6911764705882353
10,2065520,Endless Nightmare,"CHENGDU JIAYIHUYU TECHNOLOGY CO.,LT","CHENGDU JIAYIHUYU TECHNOLOGY CO.,LT",,7,2,0,50 k .. 100 k,0,0,0,0,15.99,1599,0,0,['windows'],"29 Sep, 2022",['Single-player'],[],0,"['English', 'Spanish - Spain', 'Russian', 'Simplified Chinese', 'Portuguese - Portugal']","Adventure, Casual","['Exploration', '3D Platformer', 'Puzzle-Platformer', 'Dungeon Crawler', 'Puzzle', '3D', 'First-Person', 'Horror', 'Detective', 'Story Rich', 'Casual', 'Multiple Endings', 'Realistic', 'Thriller', 'Drama', 'Adventure', 'Mystery', 'Modern', 'Survival Horror', 'Singleplayer']",0.7777777777777778
11,1295700,Nitroverse,TheNilusss,TheNilusss,,7,1,0,50 k .. 100 k,0,0,0,0,4.99,499,0,0,['windows'],"11 Feb, 2022","['Single-player', 'Steam Achievements', 'Stats']",[],0,['English'],"Action, Indie, Early Access","['Action Roguelike', 'Bullet Hell', 'Hack and Slash', 'Top-Down Shooter', 'Rogue-lite', 'Perma Death', '2D', 'Isometric', 'Procedural Generation', 'Gun Customization', 'Action', 'Sci-fi', 'Space', 'Crafting', 'Dark', 'Old School', 'Inventory Management', 'Resource Management', 'Singleplayer', 'Early Access']",0.875
12,286810,Hard Truck Apocalypse: Rise Of Clans / Ex Machina: Meridian 113,Targem Games,ESDigital Games,,552,185,0,50 k .. 100 k,0,0,0,0,5.99,599,0,3,['windows'],"14 Mar, 2014","['Single-player', 'Multi-player', 'Steam Trading Cards']",[],3,"['English', 'Russian']","Action, Racing","['Action', 'Automobile Sim', 'Post-apocalyptic', 'Racing', 'Open World', 'Atmospheric', 'Adventure', 'Classic', 'RPG', 'Indie', 'Cult Classic', 'Multiplayer', 'Driving']",0.7489823609226595
13,467010,Fall of Civilization,"Luke Dodds, Midnight Forge LTD","Luke Dodds, Midnight Forge LTD",,52,83,0,50 k .. 100 k,0,0,0,0,0.0,0,0,1,['windows'],"19 Sep, 2016","['Single-player', 'Steam Achievements', 'Steam Trading Cards']",[],1,['English'],"Adventure, Simulation, Strategy, Early Access","['Early Access', 'Strategy', 'Adventure', 'Simulation']",0.3851851851851852
14,645790,Home Wars,Insane Dreamers,Insane Dreamers,,722,206,0,50 k .. 100 k,0,0,0,0,9.99,999,0,5,['windows'],"13 Jun, 2017","['Single-player', 'Steam Trading Cards']",[],5,['English'],"Action, Indie, Strategy","['Strategy', 'Shooter', 'RTS', 'FPS', 'War', 'Sandbox', 'Wargame', 'Military', 'Grand Strategy', 'Action RTS', 'Base-Building', 'Real Time Tactics', 'Resource Management', 'Turn-Based Strategy', 'Tactical', 'Action', 'Funny', 'Spectacle fighter', 'Third-Person Shooter', 'Atmospheric']",0.7780172413793104
15,1395850,Home and Dungeon,Manufacture,OTAKU Plan,,246,33,0,50 k .. 100 k,0,0,0,0,16.99,1699,0,2,['windows'],"2 Oct, 2020","['Single-player', 'Partial Controller Support', 'Steam Cloud']",[],2,"['Japanese', 'Simplified Chinese', 'English']",RPG,"['Anime', 'JRPG', 'Drama', 'RPG', 'Exploration', 'Mystery Dungeon', 'Nudity', 'Sexual Content', 'NSFW', 'Hentai', 'Mature', 'Cute', 'Adventure', 'Rogue-like', 'Funny', 'Dungeon Crawler', '2D', 'Fantasy', 'Survival', 'Story Rich']",0.8817204301075269
16,893740,Memory Trainer,Educational Games,Educational Games,,20,0,0,50 k .. 100 k,0,0,0,0,0.99,99,0,0,"['windows', 'mac', 'linux']","19 Jul, 2018","['Single-player', 'Steam Achievements']",[],0,['English'],"Casual, Indie","['Indie', 'Casual']",1.0
17,391140,Blast-off,Quad-Games,Quad-Games,,342,45,0,50 k .. 100 k,0,0,0,0,2.99,299,0,1,['windows'],"22 Jan, 2018","['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Stats', 'Steam Leaderboards']",[488120],1,"['English', 'Russian', 'Italian', 'French', 'German', 'Spanish - Spain', 'Hungarian', 'Turkish', 'Czech', 'Swedish', 'Simplified Chinese']","Action, Indie","['Action', 'Indie', 'Arcade', 'Futuristic', ""Shoot 'Em Up"", 'Space', 'Sci-fi', 'Replay Value', 'Bullet Hell', 'Great Soundtrack', 'Singleplayer', '2D', 'Physics', 'Time Manipulation', 'Real-Time', 'Gun Customization', 'Rogue-lite', 'Early Access', 'RPG', 'Hex Grid']",0.8837209302325582
18,330570,Noct,C3SK,Devolver Digital,,304,268,0,50 k .. 100 k,0,0,0,0,0.0,0,0,0,"['windows', 'mac', 'linux']","21 Oct, 2015","['Single-player', 'Multi-player', 'Cross-Platform Multiplayer', 'Partial Controller Support']",[],0,['English'],"Action, Indie, Early Access","['Indie', 'Action', 'Early Access', 'Survival Horror', 'Multiplayer', 'Horror', 'Top-Down Shooter', 'Top-Down', 'Atmospheric', 'Survival', 'Great Soundtrack', 'Pixel Graphics']",0.5314685314685315
19,390870,Circuit Breakers,Triverske,"Triverske, Excalibur Publishing",,61,46,0,50 k .. 100 k,0,0,0,0,6.99,699,0,0,"['windows', 'mac', 'linux']","17 Nov, 2015","['Single-player', 'Multi-player', 'PvP', 'Shared/Split Screen PvP', 'Co-op', 'Shared/Split Screen Co-op', 'Shared/Split Screen', 'Steam Achievements', 'Full controller support', 'Steam Leaderboards', 'Remote Play on TV', 'Remote Play Together']",[],0,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Dutch', 'Japanese']",Action,"['Bullet Hell', ""Shoot 'Em Up"", 'Top-Down Shooter', 'Twin Stick Shooter', 'Shooter', 'Arcade', 'Action RPG', '2D', 'Top-Down', 'Cyberpunk', 'Action', 'Pixel Graphics', 'Sci-fi', 'Score Attack', 'Retro', 'Futuristic', 'Old School', '4 Player Local', 'Co-op', 'Local Co-Op']",0.5700934579439252
20,1468370,Snow Strike,"Epyx, Inc.",Pixel Games UK,,1,1,0,50 k .. 100 k,0,0,0,0,3.99,399,0,0,['windows'],"11 Dec, 2020",['Single-player'],[],0,['English'],"Action, Simulation","['Flight', 'FPS', 'Action', 'Retro', 'Simulation', '3D', 'Military', 'Jet', 'Shooter', 'First-Person', 'Snow', 'Vehicular Combat', 'Pixel Graphics', 'Combat', 'Singleplayer']",0.5
21,353190,Bombshell,Slipgate Ironworks™,3D Realms,,228,165,0,50 k .. 100 k,0,0,0,0,34.99,3499,0,1,['windows'],"29 Jan, 2016","['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud']",[437580],1,['English'],"Action, Adventure","['Action', 'Adventure', 'Female Protagonist', 'Isometric', 'Twin Stick Shooter', 'Shooter', 'Sci-fi', 'Cyberpunk', 'Top-Down Shooter']",0.5801526717557252
