,appid,name,developer,publisher,score_rank,positive,negative,userscore,owners,average_forever,average_2weeks,median_forever,median_2weeks,price,initialprice,discount,ccu,platforms,release_date,categories,dlc,ccu,languages,genres,tags,Review_rating
0,772540,Battle Royale Trainer,Trickjump Games Ltd,Trickjump Games Ltd,,956,702,0,200 k .. 500 k,0,0,0,0,5.99,599,0,3,['windows'],"4 Jan, 2018","['Single-player', 'Steam Achievements']",[],3,"['English', 'Simplified Chinese', 'Korean']","Action, Adventure, Simulation","['Action', 'Shooter', 'Simulation', 'Multiplayer', 'Third Person', 'Battle Royale', 'Adventure', 'FPS', 'Third-Person Shooter', 'First-Person', 'Sniper', 'Survival', 'Singleplayer']",0.5765983112183354
1,453850,Dear RED - Extended,Lee Sang,Sometimes You,,243,116,0,200 k .. 500 k,0,0,0,0,0.71,299,76,1,['windows'],"12 Apr, 2016","['Single-player', 'Steam Achievements', 'Steam Trading Cards']",[],1,['English'],"Indie, RPG","['Indie', 'RPG', 'RPGMaker', 'Visual Novel', 'Short']",0.6768802228412256
2,245490,Trials Fusion,"RedLynx, in collaboration with  Ubisoft Shanghai, Ubisoft Kiev",Ubisoft,,1499,689,0,200 k .. 500 k,0,0,0,0,19.99,1999,0,14,['windows'],"24 Apr, 2014","['Single-player', 'Multi-player', 'In-App Purchases', 'Partial Controller Support']","[287330, 381840, 355770, 311550, 311551, 326170, 337740, 337750]",14,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Dutch', 'Japanese', 'Portuguese - Brazil', 'Russian', 'Simplified Chinese']",Racing,"['Racing', 'Multiplayer', 'Singleplayer', 'Physics', 'Local Multiplayer', 'Sports', 'Futuristic', 'Platformer', 'Action', 'Funny', '2.5D', 'Difficult', 'Level Editor', 'Competitive', '2D', 'Casual', 'Arcade', 'Simulation', 'Great Soundtrack', 'Adventure']",0.6851005484460695
3,311120,The Stalin Subway: Red Veil,Orion Games,ESDigital Games,,250,285,0,200 k .. 500 k,0,0,0,0,2.99,299,0,0,['windows'],"24 Oct, 2014","['Single-player', 'Steam Trading Cards']",[],0,"['English', 'Russian']",Action,"['Action', 'FPS', 'Female Protagonist', 'Shooter', 'First-Person', 'Singleplayer']",0.4672897196261682
4,821880,Idol Manager,Glitch Pitch,PLAYISM,,3002,409,0,200 k .. 500 k,0,0,0,0,19.99,1999,0,66,"['windows', 'mac', 'linux']","26 Jul, 2021","['Single-player', 'Steam Achievements', 'Steam Workshop', 'Steam Cloud']",[],66,"['English', 'Japanese', 'Russian', 'Simplified Chinese', 'Portuguese - Brazil']","Indie, Simulation, Strategy","['Management', 'Simulation', 'Anime', 'Sexual Content', 'Strategy', 'Visual Novel', 'Indie', 'Economy', 'Moddable', 'Romance', 'Cute', 'Mature', 'Replay Value', 'Nudity', 'Singleplayer', 'Hentai', 'Comedy', 'Nonlinear', 'Point & Click', 'Dark Comedy']",0.8800938141307535
5,301120,Eastside Hockey Manager,Sports Interactive,SEGA,,1086,184,0,200 k .. 500 k,0,0,0,0,19.99,1999,0,216,['windows'],"1 Dec, 2015","['Single-player', 'Multi-player', 'Steam Workshop']",[],216,['English'],"Simulation, Sports","['Hockey', 'Sports', 'Simulation', 'Management', 'Singleplayer', 'Strategy', 'Early Access']",0.8551181102362204
6,2379390,Tom Clancy’s Rainbow Six Extraction,Ubisoft Montreal,Ubisoft,,910,477,0,200 k .. 500 k,0,0,0,0,39.99,3999,0,98,['windows'],"15 Jun, 2023","['Single-player', 'Multi-player', 'Co-op', 'Online Co-op', 'Cross-Platform Multiplayer', 'In-App Purchases']","[2429110, 2379450]",98,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Arabic', 'Simplified Chinese', 'Traditional Chinese', 'Korean', 'Spanish - Latin America', 'Japanese', 'Polish', 'Portuguese - Brazil', 'Russian', 'Thai', 'Turkish']",Action,"['Action', 'FPS', 'Online Co-Op', 'PvE', 'Shooter', 'First-Person', 'Team-Based', 'Gun Customization', 'Realistic', 'Military', 'Demons', 'Sci-fi', 'Stealth', 'Co-op', 'Aliens', 'Singleplayer', 'Multiplayer', 'Violent', 'Extraction Shooter', 'Zombies']",0.6560922855082912
7,1971650,OCTOPATH TRAVELER II,"Square Enix, ACQUIRE Corp.",Square Enix,,7348,314,0,200 k .. 500 k,0,0,0,0,59.99,5999,0,1511,['windows'],"24 Feb, 2023","['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud']",[],1511,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Japanese', 'Korean', 'Simplified Chinese', 'Traditional Chinese']",RPG,"['RPG', 'Turn-Based', 'JRPG', 'Party-Based RPG', '2.5D', 'Open World', 'Choices Matter', 'Story Rich', 'Cute', 'Turn-Based Combat', 'Strategy', 'Anime', 'Fantasy', 'Casual', 'Pixel Graphics', 'Magic', 'Atmospheric', 'Adventure', 'Emotional', 'Singleplayer']",0.9590185330200992
8,1230170,Gunsmith Simulator: Prologue,GameHunters,PlayWay S.A.,,1047,185,0,200 k .. 500 k,0,0,0,0,0.0,0,0,30,['windows'],"10 May, 2023",['Single-player'],[],30,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Traditional Chinese', 'Simplified Chinese', 'Spanish - Latin America', 'Japanese', 'Korean', 'Polish', 'Portuguese - Portugal', 'Portuguese - Brazil', 'Russian', 'Turkish']",Simulation,"['Free to Play', 'Simulation', 'Gun Customization', 'Education', 'Singleplayer', 'Realistic', 'Military', 'Puzzle', 'Indie', 'First-Person', 'America', 'Atmospheric', 'Relaxing', 'Shooter', 'Historical', 'Management', 'Inventory Management', 'FPS', 'Minigames', 'Action']",0.8498376623376623
9,407230,Legend of Mysteria RPG,Labyrinthine,Senpai Studios,,551,229,0,200 k .. 500 k,0,0,0,0,0.55,199,72,9,['windows'],"9 Oct, 2015","['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Captions available', 'Steam Cloud']",[],9,['English'],"Action, Adventure, Indie, RPG","['Anime', 'RPG', 'RPGMaker', 'Indie', 'Adventure', 'Action', 'Pixel Graphics', '2D', 'Singleplayer', 'JRPG', 'Fantasy', ""Shoot 'Em Up"", 'Puzzle', 'Casual', 'Turn-Based', 'Open World', 'Survival', 'Horror', 'Great Soundtrack', 'Exploration']",0.7064102564102565
