,appid,name,developer,publisher,score_rank,positive,negative,userscore,owners,average_forever,average_2weeks,median_forever,median_2weeks,price,initialprice,discount,ccu,platforms,release_date,categories,dlc,ccu,languages,genres,tags,Review_rating
0,278100,"RIVE: Wreck, Hack, Die, Retry!",Two Tribes,Two Tribes Publishing,,783,142,0,100 k .. 200 k,0,0,0,0,14.99,1499,0,1,"['windows', 'mac', 'linux']","13 Sep, 2016","['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Captions available', 'Steam Cloud', 'Steam Leaderboards']",[],1,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Dutch', 'Portuguese - Brazil', 'Japanese', 'Korean', 'Russian', 'Simplified Chinese', 'Traditional Chinese', 'Turkish']",Action,"['Action', 'Twin Stick Shooter', 'Arcade', 'Side Scroller', 'Indie', ""Shoot 'Em Up"", 'Platformer', 'Shooter', 'Bullet Hell', 'Difficult', '2D', 'Singleplayer', 'Robots']",0.8464864864864865
1,1070580,Drift86,RewindApp,RewindApp,,5076,448,0,100 k .. 200 k,0,0,0,0,0.99,199,50,17,['windows'],"19 Nov, 2019","['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Steam Achievements', 'Steam Trading Cards', 'Partial Controller Support', 'Steam Leaderboards']","[1810090, 2162500]",17,"['English', 'French', 'Spanish - Spain', 'Spanish - Latin America']","Casual, Indie, Racing","['Racing', 'Automobile Sim', 'Multiplayer', 'Casual', 'Indie', 'Arcade', 'Singleplayer', 'Third Person', 'Simulation', 'Controller', 'Relaxing', 'Retro', 'Colorful', 'Great Soundtrack', 'Short', 'Action', 'Score Attack', 'Local Multiplayer', 'Family Friendly', 'Runner']",0.9188993482983345
2,33130,Zombie Shooter,Sigma Team Inc.,Sigma Team Inc.,,860,179,0,100 k .. 200 k,0,0,0,0,4.99,499,0,2,['windows'],"27 May, 2009",['Single-player'],[],2,"['English', 'Russian']","Action, Indie, RPG","['Zombies', 'Shooter', 'Action RPG', 'Action', 'Blood', 'Gore', ""Shoot 'Em Up"", 'Horror', 'RPG', 'Arcade', 'Singleplayer', 'Top-Down Shooter', 'Indie', '2D', 'Rogue-lite', 'Twin Stick Shooter', 'Survival', 'Isometric', 'CRPG', 'Inventory Management']",0.8277189605389798
3,385370,Radiator 2: Anniversary Edition,Robert Yang,Robert Yang,,2468,399,0,100 k .. 200 k,0,0,0,0,0.0,0,0,2,"['windows', 'mac', 'linux']","16 Jun, 2016","['Single-player', 'Steam Achievements', 'Full controller support', 'Captions available']",[],2,"['English', 'French', 'German', 'Spanish - Spain', 'Russian', 'Japanese', 'Portuguese - Portugal', 'Portuguese - Brazil', 'Traditional Chinese', 'Korean', 'Simplified Chinese', 'Italian', 'Czech']","Action, Casual, Free to Play, Indie, Simulation","['Sexual Content', 'Nudity', 'Mature', 'Free to Play', 'LGBTQ+', 'Simulation', 'Indie', 'Funny', 'Action', 'Singleplayer', 'NSFW', 'Open World', 'Adventure', 'Story Rich', 'FPS']",0.8608301360306941
4,351290,SURVIVAL: Postapocalypse Now,TB Games,TB Games,,5053,3923,0,100 k .. 200 k,0,0,0,0,14.99,1499,0,2,['windows'],"3 Dec, 2019","['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Steam Achievements']","[446090, 1082370]",2,"['English', 'Russian', 'German']","Action, Adventure, Indie, Massively Multiplayer, Simulation","['Open World Survival Craft', 'Survival', 'Multiplayer', 'Open World', 'Post-apocalyptic', 'FPS', 'Crafting', 'Action', 'Adventure', 'Zombies', 'Massively Multiplayer', 'Early Access', 'Building', 'PvP', 'First-Person', 'Co-op', 'Simulation', 'Shooter', 'Sandbox', 'Indie']",0.562945632798574
5,1178160,Blackjack Championship,BBstudio Inc.,BBstudio Inc.,,584,303,0,100 k .. 200 k,0,0,0,0,0.0,0,0,65,"['windows', 'mac']","25 Aug, 2020","['Multi-player', 'PvP', 'Online PvP', 'Cross-Platform Multiplayer', 'In-App Purchases']",[],65,['English'],"Free to Play, Indie, Massively Multiplayer, Sports","['Free to Play', 'Massively Multiplayer', 'Indie', 'Sports', 'Multiplayer', 'Strategy', 'Gambling', 'Simulation', 'Card Game']",0.6583990980834273
6,1038370,Trials of Fire,Whatboy Games,Whatboy Games,,2560,380,0,100 k .. 200 k,0,0,0,0,19.99,1999,0,20,['windows'],"9 Apr, 2021","['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Workshop', 'Steam Cloud', 'Steam Leaderboards']","[1594250, 1594260]",20,"['English', 'Simplified Chinese', 'Russian', 'Polish', 'Spanish - Latin America', 'French', 'Korean', 'German']","Indie, RPG, Strategy","['Card Battler', 'Turn-Based Tactics', 'Rogue-lite', 'Tactical RPG', 'Dungeon Crawler', 'Turn-Based', 'Perma Death', 'Roguelike Deckbuilder', 'Turn-Based Strategy', 'Card Game', 'Board Game', 'Rogue-like', 'RPG', 'Strategy', '2D', '3D', 'Story Rich', 'Deckbuilding', 'Procedural Generation', 'Turn-Based Combat']",0.8707482993197279
7,600480,Megaquarium,Twice Circled,Twice Circled,,2605,149,0,100 k .. 200 k,0,0,0,0,24.99,2499,0,60,"['windows', 'mac', 'linux']","13 Sep, 2018","['Single-player', 'Steam Achievements', 'Steam Workshop', 'Steam Cloud']","[1315300, 1339440, 2574770]",60,"['English', 'French', 'German', 'Spanish - Spain', 'Polish', 'Russian', 'Simplified Chinese', 'Portuguese - Brazil', 'Italian', 'Japanese']","Casual, Indie, Simulation, Strategy","['Casual', 'Simulation', 'Building', 'Sandbox', 'Creature Collector', 'Underwater', 'Cute', 'Management', 'Relaxing', 'Indie', 'Resource Management', 'Moddable', 'Economy', 'Family Friendly', 'Fishing', 'Strategy', 'Capitalism', 'Singleplayer', 'Isometric', '3D']",0.9458968772694263
8,918820,Headliner: NoviNews,Unbound Creations,Unbound Creations,,639,72,0,100 k .. 200 k,0,0,0,0,13.99,1399,0,4,"['windows', 'mac']","23 Oct, 2018","['Single-player', 'Steam Achievements', 'Full controller support']",[1158080],4,"['English', 'French', 'Japanese', 'Korean', 'Simplified Chinese']","Adventure, Indie, Simulation","['Political Sim', 'Interactive Fiction', 'Visual Novel', 'Political', 'Politics', 'Point & Click', 'Choices Matter', 'Story Rich', '2D', 'Multiple Endings', 'Conversation', 'Simulation', 'Dystopian ', 'Adventure', 'Singleplayer', 'Indie', 'Female Protagonist', 'Alternate History', 'Atmospheric', 'Funny']",0.8987341772151899
9,1940340,Darkest Dungeon II,Red Hook Studios,Red Hook Studios,,7734,2618,0,100 k .. 200 k,0,0,0,0,39.99,3999,0,789,['windows'],"8 May, 2023","['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Partial Controller Support', 'Steam Cloud']",[2393240],789,"['English', 'French', 'Italian', 'German', 'Czech', 'Polish', 'Portuguese - Brazil', 'Russian', 'Spanish - Latin America', 'Japanese', 'Korean', 'Simplified Chinese', 'Ukrainian']","Indie, RPG, Strategy","['Turn-Based Tactics', 'Dark Fantasy', 'Rogue-lite', 'Dungeon Crawler', 'Lovecraftian', 'Singleplayer', 'CRPG', 'Perma Death', 'Story Rich', '2D', 'Hand-drawn', 'Turn-Based', 'Rogue-like', 'Procedural Generation', 'Gothic', 'Party-Based RPG', 'Turn-Based Combat', 'Turn-Based Strategy', 'RPG', 'Stylized']",0.7471020092735703
10,277890,Shantae: Risky's Revenge - Director's Cut,WayForward,WayForward,,1207,207,0,100 k .. 200 k,0,0,0,0,9.99,999,0,4,['windows'],"15 Jul, 2014","['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Partial Controller Support', 'Steam Cloud']",[],4,['English'],"Action, Adventure, Indie","['Platformer', 'Female Protagonist', 'Metroidvania', 'Action', 'Pixel Graphics', 'Great Soundtrack', '2D', 'Indie', 'Singleplayer', 'Adventure', 'Anime', 'Cute', 'Funny', 'Retro', 'Side Scroller', 'Fantasy', 'Comedy', 'Sexual Content']",0.8536067892503536
11,1811140,SEARCH ALL - STEAMPUNK,Laush Dmitriy Sergeevich,Laush Studio,,35,2,0,100 k .. 200 k,0,0,0,0,2.99,299,0,0,['windows'],"20 Nov, 2021","['Single-player', 'Steam Achievements', 'Full controller support']",[],0,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Arabic', 'Bulgarian', 'Portuguese - Brazil', 'Hungarian', 'Vietnamese', 'Greek', 'Danish', 'Spanish - Latin America', 'Traditional Chinese', 'Simplified Chinese', 'Korean', 'Dutch', 'Norwegian', 'Polish', 'Portuguese - Portugal', 'Romanian', 'Russian', 'Thai', 'Turkish', 'Ukrainian', 'Finnish', 'Czech', 'Swedish', 'Japanese']","Casual, Indie","['Exploration', 'Trading Card Game', 'Flight', 'Clicker', 'Collectathon', 'Hidden Object', 'Puzzle', 'Interactive Fiction', 'Education', 'Point & Click', 'Card Game', 'Tabletop', 'Arcade', '2D', 'Cyberpunk', 'Lore-Rich', 'Casual', 'Steampunk', 'Hand-drawn', 'Family Friendly']",0.9459459459459459
12,1461600,Project Sparrow,Dids,Dids,,1048,125,0,100 k .. 200 k,0,0,0,0,12.99,1299,0,1,['windows'],"11 Mar, 2022","['Multi-player', 'PvP', 'Online PvP', 'Stats']",[],1,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Dutch', 'Japanese', 'Korean', 'Polish', 'Portuguese - Portugal', 'Portuguese - Brazil', 'Russian', 'Simplified Chinese', 'Turkish']","Action, Indie, Early Access","['Action', 'Archery', 'Multiplayer', 'PvP', 'Fantasy', 'Arena Shooter', 'Shooter', 'Third-Person Shooter', 'Sniper', 'Combat', 'Early Access', 'Third Person', 'Indie', '3D', 'Realistic', 'Singleplayer']",0.8934356351236147
13,327510,WASTED,Mr. Podunkian,Adult Swim Games,,861,269,0,100 k .. 200 k,0,0,0,0,12.99,1299,0,2,['windows'],"7 Jun, 2016","['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Captions available', 'Steam Cloud']",[],2,['English'],"Action, Indie, RPG","['Action Roguelike', 'Action', 'RPG', 'Indie', 'FPS', 'Post-apocalyptic', 'Rogue-lite', 'Rogue-like', 'Dungeon Crawler', 'Singleplayer', 'Funny', 'Comedy', '1980s', 'First-Person']",0.7619469026548673
