,appid,category,data_type,main_developer,main_publisher,name,owners,price_eur,release_date
0,1710270,[],music,G-MODE,G-MODE,KUUKIYOMI Original Soundtrack,0 .. 20 k,999,"10 Oct, 2021"
1,827730,"['Single-player', 'Online PvP', 'Online Co-op', 'Downloadable Content', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop', 'Includes level editor']",dlc,RaveyLarge,RaveyLarge,RPG World - The Creative Pack,0 .. 20 k,799,"26 Apr, 2018"
2,677150,"['Single-player', 'Online PvP', 'Online Co-op', 'Downloadable Content', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop', 'Includes level editor']",dlc,RaveyLarge,RaveyLarge,RPG World - Forgotten Lands,0 .. 20 k,399,"13 Jul, 2017"
3,723620,"['Single-player', 'Online PvP', 'Online Co-op', 'Downloadable Content', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop', 'Includes level editor']",dlc,RaveyLarge,RaveyLarge,RPG World - Scraplands,0 .. 20 k,399,"26 Apr, 2018"
4,754590,"['Single-player', 'Online PvP', 'Online Co-op', 'Downloadable Content', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop', 'Includes level editor']",dlc,RaveyLarge,RaveyLarge,RPG World - Frozen Kingdom,0 .. 20 k,399,"26 Apr, 2018"
5,774301,"['Single-player', 'Online PvP', 'Online Co-op', 'Downloadable Content', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop', 'Includes level editor']",dlc,RaveyLarge,RaveyLarge,RPG World - Epic Mounts,0 .. 20 k,399,"26 Apr, 2018"
6,885720,[],music,Nick Carella,Harpoon Games,First Feudal - OST and digital art pack,0 .. 20 k,499,"25 Jun, 2018"
7,2104580,['Additional High-Quality Audio'],music,Sluggerfly,Headup Publishing,Hell Pie Soundtrack,0 .. 20 k,249,"2 Sep, 2022"
8,2543420,"['Single-player', 'Downloadable Content', 'Steam Cloud']",dlc,SOFTSTAR ENTERTAINMENT,方块游戏(CubeGame),Xuan-Yuan Sword: Mists Beyond the Mountains (1999 Origin version),0 .. 20 k,,"22 Aug, 2023"
9,2388950,['Additional High-Quality Audio'],music,SOFTSTAR ENTERTAINMENT,Cube Game,Xuan-Yuan Sword: Mists Beyond the Mountains OST,0 .. 20 k,424,"25 Jul, 2023"
10,2333700,"['Single-player', 'Downloadable Content', 'Full controller support']",dlc,Boomer's Workshop,V Publishing,Sanctuary Saga - Monster Cosplay Skins,0 .. 20 k,399,"8 Mar, 2023"
11,2338190,[],music,Boomer's Workshop,V Publishing,Sanctuary Saga Soundtrack,0 .. 20 k,399,"8 Mar, 2023"
12,532000,"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud']",music,Santa Ragione,,Wheels of Aurelia Original Soundtrack,0 .. 20 k,499,"9 Apr, 2020"
13,1528380,"['Single-player', 'Downloadable Content']",dlc,DD-Consulting,DD-Consulting,Infinite Dungeon Crawler - Purchase Base Game,0 .. 20 k,239,"11 Jun, 2021"
14,1528381,"['Single-player', 'Downloadable Content']",dlc,DD-Consulting,DD-Consulting,Infinite Dungeon Crawler - The Frozen Expanse,0 .. 20 k,239,"11 Jun, 2021"
15,1528382,"['Single-player', 'Downloadable Content']",dlc,DD-Consulting,DD-Consulting,Infinite Dungeon Crawler - The Infernal Dungeons,0 .. 20 k,239,"11 Jun, 2021"
16,1646320,"['Single-player', 'Downloadable Content', 'Steam Achievements']",dlc,DD-Consulting,DD-Consulting,Infinite Dungeon Crawler - The Abysmal Furnaces,0 .. 20 k,239,"14 Sep, 2021"
17,1932080,"['Single-player', 'Downloadable Content']",dlc,DD-Consulting,DD-Consulting,Infinite Dungeon Crawler - The Caverns of Grimlock,0 .. 20 k,239,"12 Apr, 2022"
18,2411820,"['Single-player', 'Downloadable Content', 'Steam Achievements']",dlc,DD-Consulting,,Infinite Dungeon Crawler - The Swampy Isles,0 .. 20 k,299,"29 Jun, 2023"
19,865700,"['Single-player', 'Multi-player', 'Shared/Split Screen PvP', 'Co-op', 'Shared/Split Screen Co-op', 'Shared/Split Screen', 'Downloadable Content', 'Steam Achievements', 'Steam Trading Cards', 'Partial Controller Support', 'Steam Cloud']",dlc,Sköll Studio,Sköll Studio,Koloro - Digital Artbook and Wallpapers,0 .. 20 k,199,"29 Aug, 2019"
20,865701,[],music,Sköll Studio,Sköll Studio,Koloro - Original Soundtrack,0 .. 20 k,399,"29 Aug, 2019"
21,1429560,"['Single-player', 'Downloadable Content', 'Steam Cloud']",dlc,Happy Max,Happy Max,Live Empire-Animation pack,0 .. 20 k,,"29 Sep, 2020"
22,1406060,"['Single-player', 'Downloadable Content', 'Steam Achievements', 'In-App Purchases', 'Stats', 'Steam Leaderboards']",dlc,Rezzil,Rezzil,Rezzil Index / Lite - Color Combos,0 .. 20 k,399,"18 Jan, 2021"
23,393400,[],music,Funktronic Labs,Funktronic Labs,Nova-111: Original Soundtrack,0 .. 20 k,499,"1 Sep, 2015"
24,1713280,"['Single-player', 'Steam Achievements', 'Partial Controller Support']",music,Joshua Keith,Joshua Keith,Knight Bewitched Enhanced Edition - Soundtrack,0 .. 20 k,101,"5 Aug, 2021"
25,1713281,"['Single-player', 'Downloadable Content']",dlc,Joshua Keith,Joshua Keith,Knight Bewitched Enhanced Edition - Player's Guide,0 .. 20 k,99,"5 Aug, 2021"
