,appid,category,data_type,main_developer,main_publisher,name,owners,price_eur,release_date
0,513040,['Downloadable Content'],dlc,George Allan,Clockwork Pixels Ltd,Citadel 1986 OST,0 .. 20 k,,"17 Aug, 2016"
1,2193210,[],music,Bruce Belk,Bruce Belk,The Van Game Soundtrack - By Johnathon Orsi,0 .. 20 k,499,"28 Oct, 2022"
2,817880,"['Single-player', 'Downloadable Content', 'Steam Achievements', 'Steam Cloud']",dlc,Wholetone Games,,Oedipus Dating Sim Soundtrack,0 .. 20 k,99,"6 Mar, 2018"
3,564770,"['Single-player', 'Downloadable Content', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud', 'Stats', 'Steam Leaderboards']",dlc,Think On Labs,,Ship It - Official Soundtrack,0 .. 20 k,499,"1 Sep, 2017"
4,1614470,['Additional High-Quality Audio'],music,Boss Music Games,Vyersoft Corp,God of Riffs - Official Soundtrack (Early Access),0 .. 20 k,329,"27 Jul, 2021"
5,457830,[],music,Musicofmarkku.com,Draconus Entertainment Ltd,Hexters - Soundtrack,0 .. 20 k,699,"15 Dec, 2017"
6,814750,"['Single-player', 'Multi-player', 'Online PvP', 'Downloadable Content', 'Steam Achievements', 'In-App Purchases', 'Stats', 'Steam Leaderboards', 'Steam Turn Notifications']",dlc,Blueshift Media,,Linx Battle Arena - 24 Character Set,0 .. 20 k,159,"4 Feb, 2019"
7,417080,"['Single-player', 'Downloadable Content', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards']",dlc,Reminisce,,Soundtrack: The Invitation to HAVEN,0 .. 20 k,299,"16 Nov, 2015"
8,1593720,"['Single-player', 'Downloadable Content', 'Steam Achievements', 'Partial Controller Support', 'Steam Cloud']",dlc,Exe Create Inc.,KEMCO,Experience x3 - Alphadia Genesis 2,0 .. 20 k,499,"3 Jun, 2021"
9,1593721,"['Single-player', 'Downloadable Content', 'Steam Achievements', 'Partial Controller Support', 'Steam Cloud']",dlc,Exe Create Inc.,KEMCO,Damage x2 - Alphadia Genesis 2,0 .. 20 k,499,"3 Jun, 2021"
10,1593722,"['Single-player', 'Downloadable Content', 'Steam Achievements', 'Partial Controller Support', 'Steam Cloud']",dlc,Exe Create Inc.,KEMCO,Full Restore - Alphadia Genesis 2,0 .. 20 k,399,"3 Jun, 2021"
11,1246700,"['Single-player', 'Downloadable Content']",dlc,ABC d'la Mob,,Tractage aux portes 2 - Capitaine Douchebag Non-Censuré,0 .. 20 k,399,"2 Apr, 2020"
