,appid,category,data_type,main_developer,main_publisher,name,owners,price_eur,release_date
0,1921830,"['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Downloadable Content', 'Partial Controller Support']",dlc,OverDrift Crew,OverDrift Crew,OverDrift Festival - Premium Cars Pack#1,0 .. 20 k,819,"25 May, 2022"
1,1921831,"['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Downloadable Content', 'Partial Controller Support']",dlc,OverDrift Crew,OverDrift Crew,OverDrift Festival - Premium Cars Pack#2,0 .. 20 k,819,"25 May, 2022"
2,1921832,"['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Downloadable Content', 'Partial Controller Support']",dlc,OverDrift Crew,OverDrift Crew,OverDrift Festival - Premium Cars Pack#3,0 .. 20 k,819,"25 May, 2022"
3,1921833,"['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Downloadable Content', 'Partial Controller Support']",dlc,OverDrift Crew,OverDrift Crew,OverDrift Festival - Premium Cars Pack#4,0 .. 20 k,819,"25 May, 2022"
4,2544050,"['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Downloadable Content', 'Partial Controller Support', 'Steam Cloud']",dlc,OverDrift Crew,OverDrift Crew,OverDrift Festival - OverPass,0 .. 20 k,975,"13 Sep, 2023"
5,788400,[],music,shysaursoft,Pixeljam,Rex: Another Island OST,0 .. 20 k,199,"29 Jan, 2018"
6,735480,"['Single-player', 'Downloadable Content', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Leaderboards']",dlc,Black Forest Games,Accolade,Bubsy: The Woolies Strike Back Soundtrack,0 .. 20 k,,"31 Oct, 2017"
7,1882370,"['Single-player', 'Downloadable Content']",dlc,Strategic Simulations,SNEG,Pool of Radiance,0 .. 20 k,,"29 Mar, 2022"
8,1904520,"['Single-player', 'Downloadable Content']",dlc,Strategic Simulations,SNEG,Curse of the Azure Bonds,0 .. 20 k,,"29 Mar, 2022"
9,1904521,"['Single-player', 'Downloadable Content']",dlc,Strategic Simulations,SNEG,Secret of the Silver Blades,0 .. 20 k,,"29 Mar, 2022"
10,1904522,"['Single-player', 'Downloadable Content']",dlc,Strategic Simulations,SNEG,Pools of Darkness,0 .. 20 k,,"29 Mar, 2022"
11,1904523,"['Single-player', 'Downloadable Content']",dlc,Beyond Software,SNEG,Gateway to the Savage Frontier,0 .. 20 k,,"29 Mar, 2022"
12,1904524,"['Single-player', 'Downloadable Content']",dlc,Beyond Software,SNEG,Treasures of the Savage Frontier,0 .. 20 k,,"29 Mar, 2022"
13,1904525,"['Single-player', 'Downloadable Content']",dlc,Westwood Associates,SNEG,Hillsfar,0 .. 20 k,,"29 Mar, 2022"
14,1904526,"['Single-player', 'Downloadable Content']",dlc,MicroMagic,SNEG,Unlimited Adventures,0 .. 20 k,,"29 Mar, 2022"
15,443780,"['Single-player', 'Downloadable Content', 'Steam Achievements', 'Steam Trading Cards', 'Steam Leaderboards']",dlc,Zenisport,,String Theory Original Soundtrack,0 .. 20 k,299,"17 Feb, 2016"
16,2297400,['Additional High-Quality Audio'],music,Dr BLOC,Emperia Records,Straylight Soundtrack,0 .. 20 k,975,"30 Jan, 2023"
