,appid,category,data_type,main_developer,main_publisher,name,owners,price_eur,release_date
0,1210630,"['Single-player', 'Downloadable Content']",dlc,Mojiken,Mojiken,"DIVINATION - Fan Pack (Art Book, Wallpaper, Soundtrack)",0 .. 20 k,299,"17 Dec, 2019"
1,1110920,[],music,Orpheus's Dream Team,Orpheus's Dream Team,Orpheus's Dream - Original Soundtrack,0 .. 20 k,329,"15 Sep, 2019"
2,1676041,"['Single-player', 'Downloadable Content', 'In-App Purchases']",dlc,3X Entertainment Limited,Nutaku Publishing,Booty Calls - Lulu Furry Pack,0 .. 20 k,1679,"15 Nov, 2021"
3,1676042,"['Single-player', 'Downloadable Content', 'In-App Purchases']",dlc,3X Entertainment Limited,Nutaku Publishing,Booty Calls - Eva Elfie,0 .. 20 k,1679,"27 Sep, 2021"
4,1676043,"['Single-player', 'Downloadable Content', 'In-App Purchases']",dlc,3X Entertainment Limited,,Booty Calls - Miyu Pack,0 .. 20 k,1679,"22 Oct, 2021"
5,1676044,"['Single-player', 'Downloadable Content', 'In-App Purchases']",dlc,3X Entertainment Limited,Nutaku Publishing,Booty Calls - Eve Pack,0 .. 20 k,1679,"27 Jul, 2021"
6,1875030,[],music,Ultimo Games,Ultimo Games,Interstate Drifter 1999 Soundtrack,0 .. 20 k,79,"31 Jan, 2022"
7,501260,"['Single-player', 'Downloadable Content', 'Steam Achievements', 'Full controller support', 'Captions available', 'Steam Cloud']",dlc,Double Fine Productions,Adult Swim Games,Headlander - Soundtrack,0 .. 20 k,999,"25 Jul, 2016"
8,1278700,"['Single-player', 'Downloadable Content', 'Steam Achievements']",dlc,Moonlit S.A.,Ultimate Games S.A.,Deadliest Catch: The Game -  New Vessel 1,0 .. 20 k,,"25 Jul, 2020"
9,1768370,"['Single-player', 'Downloadable Content', 'Partial Controller Support']",dlc,MyACG Studio,MyACG Studio,Touhou Monster TD - Dr.Crino DLC,0 .. 20 k,399,"10 Nov, 2021"
10,1858560,"['Single-player', 'Downloadable Content', 'Steam Achievements', 'Partial Controller Support', 'Steam Cloud']",dlc,MyACG Studio,MyACG Studio,Touhou Monster TD ~ Nagae Iku DLC,0 .. 20 k,399,"14 Jan, 2022"
11,2062240,"['Single-player', 'Downloadable Content', 'Steam Achievements', 'Partial Controller Support', 'Steam Cloud']",dlc,MyACG Studio,MyACG Studio,Touhou Monster TD ~ Mokou DLC,0 .. 20 k,399,"30 Jul, 2022"
12,1595240,[],music,Dale Turner,Dale Turner,Astronarch Soundtrack,0 .. 20 k,499,"6 Apr, 2021"
13,602390,"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards']",music,Lapovich Team,Lapovich Team,Master of Mayhem Soundtrack,0 .. 20 k,99,"31 Mar, 2017"
14,610100,"['Single-player', 'Downloadable Content', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud', 'Stats', 'Steam Leaderboards']",dlc,rebel rabbit,rebel rabbit,64.0 Soundtrack,0 .. 20 k,,"17 Mar, 2017"
15,642510,"['Single-player', 'Downloadable Content']",dlc,Killerfish Games,,Cold Waters - Soundtrack,0 .. 20 k,999,"5 Jun, 2017"
16,1172130,"['Single-player', 'Downloadable Content', 'Steam Trading Cards', 'Steam Cloud']",dlc,Interactive Fate,Iceberg Interactive,Shortest Trip to Earth - Supporters Pack,0 .. 20 k,331,"23 Oct, 2019"
17,1392710,"['Single-player', 'Downloadable Content', 'Steam Trading Cards', 'Steam Cloud']",dlc,Interactive Fate,Iceberg Interactive,Shortest Trip to Earth - The Old Enemies,0 .. 20 k,366,"5 Nov, 2020"
18,335170,[],music,Pixeljam,Pixeljam,Potatoman OST & Supporter Pack,0 .. 20 k,199,"3 Dec, 2014"
19,2110620,"['Single-player', 'Multi-player', 'Shared/Split Screen', 'Downloadable Content', 'Steam Achievements', 'Steam Cloud', 'Remote Play Together']",dlc,Byzantine Games,Slitherine Ltd.,Field of Glory II: Swifter than Eagles,0 .. 20 k,1479,"16 Feb, 2023"
20,1004260,"['Single-player', 'Multi-player', 'Shared/Split Screen', 'Downloadable Content', 'Steam Achievements']",dlc,Byzantine Games,Slitherine Ltd.,Field of Glory II: Wolves at the Gate,0 .. 20 k,1479,"30 May, 2019"
21,876360,"['Single-player', 'Multi-player', 'Shared/Split Screen', 'Downloadable Content']",dlc,Byzantine Games,Slitherine Ltd.,Field of Glory II: Rise of Persia,0 .. 20 k,1479,"27 Sep, 2018"
22,801920,"['Single-player', 'Multi-player', 'Shared/Split Screen', 'Downloadable Content']",dlc,Byzantine Games,Slitherine Ltd.,Field of Glory II: Age of Belisarius,0 .. 20 k,1479,"7 Jun, 2018"
23,754790,"['Single-player', 'Multi-player', 'Shared/Split Screen', 'Downloadable Content', 'Steam Achievements']",dlc,Byzantine Games,Slitherine Ltd.,Field of Glory II: Legions Triumphant,0 .. 20 k,1479,"8 Mar, 2018"
24,737740,"['Single-player', 'Multi-player', 'Shared/Split Screen', 'Downloadable Content', 'Steam Achievements']",dlc,Byzantine Games,Slitherine Ltd.,Field of Glory II: Immortal Fire,0 .. 20 k,1479,"5 Dec, 2017"
25,1628050,"['Single-player', 'Downloadable Content']",dlc,DU&I,DU&I,Cats Organized Neatly - Paper Edition,0 .. 20 k,119,"7 Jul, 2021"
26,1338960,"['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Shared/Split Screen PvP', 'Co-op', 'Online Co-op', 'Shared/Split Screen Co-op', 'Shared/Split Screen', 'Downloadable Content', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards']",dlc,Milky Tea Studios,Milky Tea Studios,HyperBrawl Tournament - Homestars Founder Pack,0 .. 20 k,199,"20 Oct, 2020"
27,1338961,"['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Shared/Split Screen PvP', 'Co-op', 'Online Co-op', 'Shared/Split Screen Co-op', 'Shared/Split Screen', 'Downloadable Content', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards']",dlc,Milky Tea Studios,Milky Tea Studios,HyperBrawl Tournament - Cosmic Founder Pack,0 .. 20 k,199,"20 Oct, 2020"
28,1338962,"['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Shared/Split Screen PvP', 'Co-op', 'Online Co-op', 'Shared/Split Screen Co-op', 'Shared/Split Screen', 'Downloadable Content', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards']",dlc,Milky Tea Studios,Milky Tea Studios,HyperBrawl Tournament - Warrior Founder Pack,0 .. 20 k,199,"20 Oct, 2020"
29,1338963,"['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Shared/Split Screen PvP', 'Co-op', 'Online Co-op', 'Shared/Split Screen Co-op', 'Shared/Split Screen', 'Downloadable Content', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards']",dlc,Milky Tea Studios,Milky Tea Studios,HyperBrawl Tournament - Celebration Pack 1,0 .. 20 k,99,"20 Oct, 2020"
30,1338964,"['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Shared/Split Screen PvP', 'Co-op', 'Online Co-op', 'Shared/Split Screen Co-op', 'Shared/Split Screen', 'Downloadable Content', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards']",dlc,Milky Tea Studios,Milky Tea Studios,HyperBrawl Tournament - Celebration Pack 2,0 .. 20 k,99,"20 Oct, 2020"
31,2367830,"['Single-player', 'Downloadable Content', 'Steam Achievements', 'Steam Cloud']",dlc,Triple.B.Titles,Yogscast Games,Aces and Adventures - Luck of the Paw,0 .. 20 k,,"14 Apr, 2023"
32,368060,['Downloadable Content'],dlc,Access Games,PLAYISM,D4: SWERY's Choice Costume Set -4 Cups of Coffee-,0 .. 20 k,99,"5 Jun, 2015"
33,368061,['Downloadable Content'],dlc,Access Games,PLAYISM,D4: SWERY's Choice Costume Set -4 Bottles of Tequila-,0 .. 20 k,99,"5 Jun, 2015"
34,380910,"['Single-player', 'Downloadable Content', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud']",dlc,Access Games,PLAYISM,D4: In Game Document Full Unlock Key,0 .. 20 k,99,"3 Jul, 2015"
35,372510,[],music,Access Games,PLAYISM,D4: Mini Soundtrack,0 .. 20 k,399,"5 Jun, 2015"
36,372511,"['Single-player', 'Downloadable Content', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud']",dlc,Access Games,PLAYISM,D4: Special Art Book,0 .. 20 k,499,"5 Jun, 2015"
37,372512,"['Single-player', 'Downloadable Content', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud']",dlc,Access Games,PLAYISM,D4: Season One Voice Over Script,0 .. 20 k,499,"5 Jun, 2015"
38,373560,"['Single-player', 'Downloadable Content', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud']",dlc,Access Games,AGM PLAYISM,D4: Special Costume Set -12 Beers-,0 .. 20 k,299,"5 Jun, 2015"
39,384220,"['Single-player', 'Downloadable Content', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud']",dlc,Access Games,PLAYISM,D4: David's Costume Full Unlock Key,0 .. 20 k,199,"17 Jul, 2015"
40,384221,"['Single-player', 'Downloadable Content', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud']",dlc,Access Games,AGM PLAYISM,D4: Forrest's Costume Full Unlock Key,0 .. 20 k,99,"17 Jul, 2015"
41,384222,"['Single-player', 'Downloadable Content', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud']",dlc,Access Games,PLAYISM,D4: Amanda's Costume Full Unlock Key,0 .. 20 k,99,"17 Jul, 2015"
42,384223,"['Single-player', 'Downloadable Content', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud']",dlc,Access Games,PLAYISM,D4: Olivia's Costume Full Unlock Key,0 .. 20 k,99,"17 Jul, 2015"
43,384224,"['Single-player', 'Downloadable Content', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud']",dlc,Access Games,PLAYISM,D4: David's Beard Full Unlock Key,0 .. 20 k,199,"17 Jul, 2015"
44,384225,"['Single-player', 'Downloadable Content', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud']",dlc,Access Games,PLAYISM,D4: Hand Cursor Set　Vol.1,0 .. 20 k,299,"31 Jul, 2015"
45,384226,"['Single-player', 'Downloadable Content', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud']",dlc,Access Games,PLAYISM,D4: Hand Cursor Set　Vol.2,0 .. 20 k,299,"31 Jul, 2015"
46,384227,"['Single-player', 'Downloadable Content', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud']",dlc,Access Games,PLAYISM,D4: Hand Cursor Set　Vol.3,0 .. 20 k,299,"31 Jul, 2015"
47,1010210,[],music,Lingrimm,The Broken Horn,The Crown of Leaves - Official Soundtrack,0 .. 20 k,99,"7 Jan, 2019"
48,1160540,"['Single-player', 'Downloadable Content', 'Steam Trading Cards', 'Steam Cloud']",dlc,Lingrimm,The Broken Horn,The Crown of Leaves: Chapter 2,0 .. 20 k,159,"29 Mar, 2021"
49,1341810,"['Single-player', 'Downloadable Content', 'Steam Achievements', 'Partial Controller Support', 'Steam Cloud']",dlc,Studio V,VLG Publishing,Dry Drowning - Artbook,0 .. 20 k,499,"23 Jun, 2020"
50,1134490,"['Single-player', 'Downloadable Content', 'Steam Achievements', 'Partial Controller Support', 'Steam Cloud']",dlc,Studio V,VLG Publishing,Dry Drowning - Soundtrack,0 .. 20 k,569,"13 Aug, 2019"
51,498760,"['Single-player', 'Downloadable Content']",dlc,Snowbird Games,Snowbird Games,Blood and Gold Soundtrack,0 .. 20 k,399,"15 Sep, 2016"
52,659930,"['Single-player', 'Downloadable Content', 'Steam Trading Cards', 'Steam Workshop', 'Steam Cloud']",dlc,ORGS Studio,ORGS Studio,Blood and Gold — The Zombiest Adventures,0 .. 20 k,699,"22 Jun, 2017"
