,appid,category,data_type,main_developer,main_publisher,name,owners,price_eur,release_date
0,1795380,"['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'LAN PvP', 'Co-op', 'Online Co-op', 'LAN Co-op', 'Downloadable Content', 'Steam Workshop']",dlc,Prestosilver,Prestosilver,Infinite Progression - Classic Mode,0 .. 20 k,,"28 Feb, 2022"
1,2486490,[],music,Studio Primitive,Studio Primitive,Attack of the Karens Soundtrack,0 .. 20 k,254,"25 Sep, 2023"
2,2220720,"['Single-player', 'Multi-player', 'PvP', 'Shared/Split Screen PvP', 'Shared/Split Screen', 'Cross-Platform Multiplayer', 'Downloadable Content', 'Partial Controller Support']",dlc,D&D Dream,D&D Dream,Head Basketball - Samir of Morocco,0 .. 20 k,199,"11 Dec, 2022"
3,2224380,"['Single-player', 'Multi-player', 'PvP', 'Shared/Split Screen PvP', 'Shared/Split Screen', 'Cross-Platform Multiplayer', 'Downloadable Content']",dlc,D&D Dream,D&D Dream,Head Basketball - First Pack,0 .. 20 k,975,"11 Dec, 2022"
4,2224480,"['Single-player', 'Multi-player', 'PvP', 'Shared/Split Screen PvP', 'Shared/Split Screen', 'Cross-Platform Multiplayer', 'Downloadable Content']",dlc,D&D Dream,D&D Dream,Head Basketball - Second Pack,0 .. 20 k,975,"11 Dec, 2022"
5,2224490,"['Single-player', 'Multi-player', 'PvP', 'Shared/Split Screen PvP', 'Shared/Split Screen', 'Cross-Platform Multiplayer', 'Downloadable Content']",dlc,D&D Dream,D&D Dream,Head Basketball - Third Pack,0 .. 20 k,975,"11 Dec, 2022"
6,2224500,"['Single-player', 'Multi-player', 'PvP', 'Shared/Split Screen PvP', 'Shared/Split Screen', 'Cross-Platform Multiplayer', 'Downloadable Content']",dlc,D&D Dream,D&D Dream,Head Basketball - Fourth Pack,0 .. 20 k,975,"11 Dec, 2022"
7,2224501,"['Single-player', 'Multi-player', 'PvP', 'Shared/Split Screen PvP', 'Shared/Split Screen', 'Cross-Platform Multiplayer', 'Downloadable Content']",dlc,D&D Dream,D&D Dream,Head Basketball - Fifth Pack,0 .. 20 k,975,"11 Dec, 2022"
8,2224502,"['Single-player', 'Multi-player', 'PvP', 'Shared/Split Screen PvP', 'Shared/Split Screen', 'Cross-Platform Multiplayer', 'Downloadable Content']",dlc,D&D Dream,D&D Dream,Head Basketball - Sixth Pack,0 .. 20 k,975,"11 Dec, 2022"
9,2224503,"['Single-player', 'Multi-player', 'PvP', 'Shared/Split Screen PvP', 'Shared/Split Screen', 'Cross-Platform Multiplayer', 'Downloadable Content']",dlc,D&D Dream,D&D Dream,Head Basketball - Seventh Pack,0 .. 20 k,975,"11 Dec, 2022"
10,1230910,"['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Downloadable Content', 'Steam Achievements', 'Steam Workshop', 'Includes level editor']",dlc,Tenball,Tenball,Bigger Guns - Expansion Pack,0 .. 20 k,199,"23 Jan, 2020"
11,2182150,['Additional High-Quality Audio'],music,Sanguine Studios,Sanguine Studios,Beat the Machine: Rebooted - Soundtrack,0 .. 20 k,249,"22 Dec, 2022"
12,2189190,"['Single-player', 'Downloadable Content', 'Steam Achievements', 'Full controller support']",dlc,Sanguine Studios,,Beat the Machine: Rebooted - Invasion,0 .. 20 k,584,"19 Jun, 2023"
13,1671560,[],music,Winter Wolves,Winter Wolves,Love Notes Soundtrack - OST & Wallpapers,0 .. 20 k,499,"13 Dec, 2021"
14,1057260,"['Single-player', 'Downloadable Content']",dlc,REAL,ARTLINK,ItazuraVR SfW - Hair Twotail,0 .. 20 k,159,"1 Apr, 2019"
