,appid,category,data_type,main_developer,main_publisher,name,owners,price_eur,release_date
0,2310120,[],music,Creepy Brothers,Creepy Brothers,Creepy Tale 3: Ingrid Penance Soundtrack,0 .. 20 k,499,"9 Mar, 2023"
1,1001620,"['Single-player', 'Downloadable Content', 'Partial Controller Support']",dlc,Neko Climax Studios,Neko Climax Studios,Deep Space Waifu: Nekomimi - Soundtrack,0 .. 20 k,499,"18 Dec, 2018"
2,1193370,"['Single-player', 'Multi-player', 'PvP', 'Shared/Split Screen PvP', 'Shared/Split Screen', 'Downloadable Content', 'Full controller support']",dlc,Retro Reactor,,One Strike: Rise of the Dragons,0 .. 20 k,159,"11 Dec, 2019"
3,2345610,[],music,土豆火锅,冷笑黑妖,人类动物园原声集 Human Zoo OST,0 .. 20 k,399,"9 Mar, 2023"
4,1419810,[],music,Art in Heart,Raw Fury,GONNER2 Soundtrack,0 .. 20 k,399,"21 Oct, 2020"
5,646320,"['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Shared/Split Screen PvP', 'Shared/Split Screen', 'Downloadable Content', 'Steam Achievements', 'Partial Controller Support', 'Steam Leaderboards']",dlc,Satur Entertainment,Satur Entertainment,"Mind Maze - Campaign ""Triplex""",0 .. 20 k,399,"20 Jun, 2017"
6,646480,"['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Shared/Split Screen PvP', 'Shared/Split Screen', 'Downloadable Content', 'Steam Achievements', 'Partial Controller Support', 'Steam Leaderboards']",dlc,Satur Entertainment,Satur Entertainment,Mind Maze - Level pack for multiplayer,0 .. 20 k,399,"20 Jun, 2017"
7,629310,"['Single-player', 'Downloadable Content']",dlc,Tuttifrutti Interactive,Tuttifrutti Interactive,Darkarta: A Broken Heart's Quest CE - Music Pack,0 .. 20 k,659,"1 May, 2017"
8,699200,"['Single-player', 'Downloadable Content', 'Steam Achievements', 'Steam Trading Cards']",dlc,Tuttifrutti Interactive,Tuttifrutti Interactive,Darkarta - Collector Edition Upgrade DLC,0 .. 20 k,329,"1 Oct, 2018"
9,830740,"['Single-player', 'Downloadable Content', 'Steam Achievements']",dlc,"Nikita ""Ghost_RUS""",Ghost_RUS Games,Zhmyshenko Valery Albertovich - OST,0 .. 20 k,,"26 Apr, 2018"
10,1243840,"['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Cross-Platform Multiplayer', 'Downloadable Content']",dlc,Lock 'n Load Publishing,Lock 'n Load Publishing,Nations At War Digital: White Star Rising Battlepack 1,0 .. 20 k,819,Mar 2020
11,1243841,"['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Cross-Platform Multiplayer', 'Downloadable Content']",dlc,Lock 'n Load Publishing,Lock 'n Load Publishing,Nations At War Digital: White Star Rising Battlepack 2,0 .. 20 k,819,"25 Apr, 2020"
12,1246410,"['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Downloadable Content']",dlc,Lock 'n Load Publishing,Lock 'n Load Publishing,Nations At War Digital: Desert Heat Battlepack 1,0 .. 20 k,,Coming soon
13,1246411,"['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Downloadable Content']",dlc,Riveted Games,Lock 'n Load Publishing,Nations At War Digital: Desert Heat Battlepack 2,0 .. 20 k,,Coming soon
14,1246412,"['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Downloadable Content']",dlc,Lock 'n Load Publishing,Lock 'n Load Publishing,Nations At War Digital: Stalin's Triumph Battlepack 1,0 .. 20 k,,Coming soon
15,1246413,"['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Downloadable Content']",dlc,Lock 'n Load Publishing,Lock 'n Load Publishing,Nations At War Digital: Stalin's Triumph Battlepack 2,0 .. 20 k,,Coming soon
16,1932410,"['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Shared/Split Screen PvP', 'Shared/Split Screen', 'Downloadable Content', 'Steam Achievements', 'Full controller support', 'Remote Play Together']",dlc,dhamster,Mega Memecast,Mega Knockdown - Green Screen Jeremy,0 .. 20 k,,"29 Jul, 2022"
17,2090380,[],music,dhamster,"Counter Hit Studios, Mega Memecast",Mega Knockdown Original Soundtrack,0 .. 20 k,299,"30 Jul, 2022"
18,634040,"['Single-player', 'Multi-player', 'PvP', 'Shared/Split Screen PvP', 'Co-op', 'Shared/Split Screen Co-op', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud']",music,JanduSoft,JanduSoft,Caveman Warriors - Soundtrack,0 .. 20 k,499,"22 Sep, 2017"
19,711490,"['Single-player', 'Multi-player', 'PvP', 'Shared/Split Screen PvP', 'Co-op', 'Shared/Split Screen Co-op', 'Shared/Split Screen', 'Downloadable Content', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud']",dlc,JanduSoft,,Caveman Warriors - Artbook,0 .. 20 k,399,"22 Sep, 2017"
20,1246500,[],music,Rafael Langoni Smith,Martian Rex,Stone Story RPG Soundtrack,0 .. 20 k,682,"14 Feb, 2020"
21,1279710,"['Single-player', 'Downloadable Content', 'Steam Achievements', 'Full controller support', 'Steam Cloud', 'Remote Play on TV']",dlc,SOEDESCO,SOEDESCO,Truck Driver - USA Paint Jobs DLC,0 .. 20 k,299,"2 Jul, 2021"
22,1279711,"['Single-player', 'Downloadable Content', 'Steam Achievements', 'Full controller support', 'Steam Cloud', 'Remote Play on TV']",dlc,SOEDESCO,SOEDESCO,Truck Driver - France Paint Jobs DLC,0 .. 20 k,299,"2 Jul, 2021"
23,1279712,"['Single-player', 'Downloadable Content', 'Steam Achievements', 'Full controller support', 'Steam Cloud', 'Remote Play on TV']",dlc,SOEDESCO,SOEDESCO,Truck Driver - German Paint Jobs DLC,0 .. 20 k,299,"2 Jul, 2021"
24,1279713,"['Single-player', 'Downloadable Content', 'Steam Achievements', 'Full controller support', 'Steam Cloud', 'Remote Play on TV']",dlc,SOEDESCO,SOEDESCO,Truck Driver - UK Paint Jobs DLC,0 .. 20 k,299,"2 Jul, 2021"
25,1279714,"['Single-player', 'Downloadable Content', 'Steam Achievements', 'Full controller support', 'Remote Play on TV']",dlc,SOEDESCO,SOEDESCO,Truck Driver - Heading North,0 .. 20 k,,Coming soon
26,2440330,[],music,Mercat Games,FreeMind S.A.,Frigato: Shadows of the Caribbean Soundtrack,0 .. 20 k,319,"29 May, 2023"
27,1999020,"['Downloadable Content', 'Partial Controller Support']",dlc,LastSmile,SmileBoom Co.Ltd.,SMILE GAME BUILDER SMILE Characters Vol.1,0 .. 20 k,1249,"26 May, 2022"
28,645172,"['Downloadable Content', 'Partial Controller Support']",dlc,onecon,SmileBoom Co.Ltd.,SMILE GAME BUILDER Wonder World Model Pack,0 .. 20 k,1679,"1 Apr, 2021"
29,488100,['Downloadable Content'],dlc,spice+,SmileBoom Co.Ltd.,SMILE GAME BUILDER spice+ Japanese Style Model Pack,0 .. 20 k,819,"12 Feb, 2021"
30,1221500,"['Downloadable Content', 'Partial Controller Support']",dlc,SmileBoom Co.Ltd.,SmileBoom Co.Ltd.,SMILE GAME BUILDER Type-B Friends with Symbols,0 .. 20 k,,"28 Jan, 2020"
31,766450,"['Downloadable Content', 'Partial Controller Support']",dlc,SmileBoom Co.Ltd.,SmileBoom Co.Ltd.,SMILE GAME BUILDER Exporter for Unity,0 .. 20 k,7399,"19 Dec, 2017"
32,645180,"['Downloadable Content', 'Partial Controller Support']",dlc,SmileBoom Co.Ltd.,SmileBoom Co.Ltd.,SMILE GAME BUILDER 3D Character Editor,0 .. 20 k,999,"9 Aug, 2017"
33,525470,"['Single-player', 'Downloadable Content']",dlc,SmileBoom Co.Ltd.,,SMILE GAME BUILDER Modern City Resource Pack Vol.1,0 .. 20 k,999,"7 Sep, 2016"
