,appid,category,data_type,main_developer,main_publisher,name,owners,price_eur,release_date
0,1810090,"['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Downloadable Content', 'Steam Trading Cards', 'Partial Controller Support']",dlc,RewindApp,RewindApp,Drift86 - Car Pack,0 .. 20 k,139,"10 Nov, 2021"
1,2162500,"['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Downloadable Content', 'Steam Achievements', 'Steam Trading Cards', 'Partial Controller Support', 'Steam Leaderboards']",dlc,RewindApp,RewindApp,Drift86 - Map Pack,0 .. 20 k,139,"28 Oct, 2022"
2,446090,"['Multi-player', 'Downloadable Content', 'Steam Achievements']",dlc,TB Games,,Survival: Supporter Pack DLC,0 .. 20 k,399,"26 Apr, 2019"
3,1082370,"['Multi-player', 'Downloadable Content', 'Steam Achievements']",dlc,TB Games,,Survival: Special Forces Pack DLC,0 .. 20 k,819,"17 May, 2019"
4,1594250,[],music,Whatboy Games,Whatboy Games,Trials of Fire Soundtrack,0 .. 20 k,499,"9 Apr, 2021"
5,1594260,"['Single-player', 'Downloadable Content', 'Steam Achievements', 'Steam Cloud']",dlc,Whatboy Games,Whatboy Games,The Art of Ashe - Digital Artbook and Map,0 .. 20 k,239,"9 Apr, 2021"
6,1315300,"['Single-player', 'Downloadable Content', 'Steam Achievements', 'Steam Workshop', 'Steam Cloud']",dlc,Twice Circled,Twice Circled,Megaquarium: Freshwater Frenzy - Deluxe Expansion,0 .. 20 k,1179,"4 Jun, 2020"
7,1339440,"['Single-player', 'Downloadable Content', 'Steam Achievements', 'Steam Workshop', 'Steam Cloud']",dlc,Twice Circled,Twice Circled,Megaquarium: Architect's Collection,0 .. 20 k,779,"11 Nov, 2021"
8,2574770,"['Single-player', 'Downloadable Content', 'Steam Achievements', 'Steam Workshop', 'Steam Cloud']",dlc,Twice Circled,Twice Circled,Megaquarium: Deep Freeze - Deluxe Expansion,0 .. 20 k,,October 2023
9,1158080,[],music,Unbound Creations,,Headliner: NoviNews Official Soundtrack,0 .. 20 k,819,"24 Sep, 2019"
10,2393240,['Additional High-Quality Audio'],music,Red Hook Studios,Red Hook Studios,Darkest Dungeon® II: The Soundtrack,0 .. 20 k,975,"8 May, 2023"
11,45302,"['Single-player', 'Multi-player', 'Co-op', 'Downloadable Content']",dlc,Gaijin Entertainment Corporation,Gaijin Entertainment Corporation,Wings of Luftwaffe Add-on,0 .. 20 k,499,"19 Apr, 2010"
12,536241,"['Multi-player', 'MMO', 'Online PvP', 'Co-op', 'Online Co-op', 'Cross-Platform Multiplayer', 'Downloadable Content', 'Steam Trading Cards']",dlc,Frogdice,Frogdice,Founder's Package DLC,0 .. 20 k,5899,"7 Sep, 2017"
13,536240,"['Multi-player', 'MMO', 'Online PvP', 'Co-op', 'Online Co-op', 'Cross-Platform Multiplayer', 'Downloadable Content', 'Steam Trading Cards']",dlc,Frogdice,Frogdice,Citizen Package DLC,0 .. 20 k,3399,"7 Sep, 2017"
14,458100,"['MMO', 'Downloadable Content', 'Steam Achievements', 'In-App Purchases']",dlc,Cold Tea Studio,,Fantasy Tales Online - Frontier Pack,0 .. 20 k,1999,"5 May, 2016"
15,1582820,"['Single-player', 'Downloadable Content', 'Steam Achievements', 'Steam Cloud']",dlc,L. Stotch,L. Stotch,Coloring Game 4 – Cats & Dogs,0 .. 20 k,199,"26 Mar, 2021"
16,1582821,"['Single-player', 'Downloadable Content', 'Steam Achievements', 'Steam Cloud']",dlc,L. Stotch,L. Stotch,Coloring Game 4 – Cyberpunk,0 .. 20 k,199,"14 Apr, 2021"
17,1601290,"['Single-player', 'Downloadable Content', 'Steam Achievements', 'Steam Cloud']",dlc,L. Stotch,L. Stotch,Coloring Game 4 – Fantasy,0 .. 20 k,199,"14 Apr, 2021"
