,appid,category,data_type,main_developer,main_publisher,name,owners,price_eur,release_date
0,1431080,"['Single-player', 'Downloadable Content']",dlc,Kavorkaplay,Kavorkaplay,Space Love Delta +18 Patch,0 .. 20 k,,"5 Oct, 2020"
1,1541290,"['Single-player', 'Downloadable Content']",dlc,Angel Star Studios,Angel Star Studios,Karakuri-kun: A Japanese Study Guide,0 .. 20 k,79,"17 Nov, 2021"
2,1755640,"['Single-player', 'Downloadable Content']",dlc,JBO Media,Angel Star Studios,Japanomanic Magazine - Issue #1,0 .. 20 k,79,"10 Dec, 2021"
3,1001580,"['Single-player', 'Downloadable Content', 'Steam Achievements']",dlc,"Nikita ""Ghost_RUS""",Ghost_RUS Games,Flex Apocalypse Racing - OST,0 .. 20 k,99,"1 Jan, 2019"
4,364180,"['Single-player', 'Downloadable Content']",dlc,,,Goo Tunes (Super Goo Goo OST),0 .. 20 k,99,"16 Apr, 2015"
5,1024240,"['Single-player', 'Downloadable Content']",dlc,Blunt Weapon Damage,Void Calls,Ectolibrium Soundtrack,0 .. 20 k,239,"6 Feb, 2019"
6,1566320,[],music,Oobeye Masterminds,Oobeye Masterminds,Captain Coffer 2D Soundtrack,0 .. 20 k,,"7 Apr, 2021"
7,344970,"['Single-player', 'Shared/Split Screen', 'Downloadable Content', 'Full controller support']",dlc,Johnny Death Games,Red Fly Studio,Knight of the Hamsters Soundtrack,0 .. 20 k,199,"4 Nov, 2015"
8,591520,"['Single-player', 'Downloadable Content']",dlc,Raconteur Games,Raconteur Games,Evangeline™ Soundtrack,0 .. 20 k,399,"10 Feb, 2017"
9,856530,"['Single-player', 'Downloadable Content', 'Steam Achievements', 'Full controller support', 'Steam Leaderboards']",dlc,BUG-Studio,OraMonkey,Deep Space - Official OST,0 .. 20 k,159,"8 May, 2018"
10,2565690,[],music,Motor Strip Entertainment,Motor Strip Entertainment,Cave Confectioner Soundtrack,0 .. 20 k,99,"6 Sep, 2023"
11,908670,"['Single-player', 'Downloadable Content']",dlc,Laush Dmitriy Sergeevich,Laush Studio,Unmanned helicopter - OST,0 .. 20 k,99,"25 Jul, 2018"
