,appid,category,data_type,main_developer,main_publisher,name,owners,price_eur,release_date
0,1233090,"['Single-player', 'Downloadable Content', 'Steam Achievements']",dlc,KuKo,KuKo,Mommy - Artbook,0 .. 20 k,49,"27 Jan, 2020"
1,1132990,"['Single-player', 'Downloadable Content']",dlc,Guns Craft - Expansion Pack 1,,Guns Craft - Expansion Pack 1,0 .. 20 k,99,"1 Aug, 2019"
2,1218650,"['Single-player', 'Downloadable Content']",dlc,Guns Craft,,Guns Craft - Expansion Pack 2,0 .. 20 k,99,"1 Jan, 2020"
3,1816150,['Additional High-Quality Audio'],music,MeNic Games,Mastiff,Tinytopia Original Game Soundtrack,0 .. 20 k,399,"23 Dec, 2021"
4,616130,['Downloadable Content'],dlc,Muse Games,,Guns of Icarus Alliance Soundtrack,0 .. 20 k,399,"29 Mar, 2017"
5,616350,"['Single-player', 'Multi-player', 'Online PvP', 'Co-op', 'Downloadable Content']",dlc,Muse Games,,Guns of Icarus Alliance Costume Pack,0 .. 20 k,399,"29 Mar, 2017"
6,1687270,['Additional High-Quality Audio'],music,Binary Charm,Binary Charm,Shadows on the Vatican: Nightingale Soundtrack,0 .. 20 k,159,"10 Aug, 2021"
7,2110260,"['Single-player', 'Downloadable Content', 'Steam Trading Cards']",dlc,Boogygames Studios,,Red Fox and the Four Seasons - Design My Forest,0 .. 20 k,199,"5 Aug, 2022"
8,2136040,"['Single-player', 'Downloadable Content', 'Steam Trading Cards']",dlc,Boogygames Studios,,Red Fox and the Four Seasons - Design My Forest 2,0 .. 20 k,199,"30 Aug, 2022"
9,2171620,"['Single-player', 'Downloadable Content', 'Steam Trading Cards']",dlc,Boogygames Studios,,Red Fox and the Four Seasons - Typing Game,0 .. 20 k,199,"4 Oct, 2022"
10,1145170,"['Single-player', 'Downloadable Content']",dlc,Jigsaw Games,,Jigsaw Puzzle - Expansion Pack 1,0 .. 20 k,299,"2 Sep, 2019"
11,1158930,"['Single-player', 'Downloadable Content']",dlc,Jigsaw Games,,Jigsaw Puzzle - Expansion Pack 2,0 .. 20 k,199,"13 Sep, 2019"
12,1160170,"['Single-player', 'Downloadable Content']",dlc,Jigsaw Games,,Jigsaw Puzzle - Expansion Pack 3,0 .. 20 k,199,"17 Sep, 2019"
13,1160960,"['Single-player', 'Downloadable Content']",dlc,Jigsaw Games,,Jigsaw Puzzle - Expansion Pack 4,0 .. 20 k,199,"18 Sep, 2019"
14,1162260,"['Single-player', 'Downloadable Content']",dlc,Jigsaw Games,,Jigsaw Puzzle - Expansion Pack 5,0 .. 20 k,199,"19 Sep, 2019"
15,1184920,"['Single-player', 'Downloadable Content']",dlc,Jigsaw Games,,Jigsaw Puzzle - Expansion Pack 6,0 .. 20 k,199,"29 Oct, 2019"
16,1185210,"['Single-player', 'Downloadable Content']",dlc,Jigsaw Games,,Jigsaw Puzzle - Expansion Pack 7,0 .. 20 k,199,"29 Oct, 2019"
17,1185650,"['Single-player', 'Downloadable Content']",dlc,Jigsaw Games,,Jigsaw Puzzle - Expansion Pack 8,0 .. 20 k,199,"30 Oct, 2019"
18,1186420,"['Single-player', 'Downloadable Content']",dlc,Jigsaw Games,,Jigsaw Puzzle - Expansion Pack 9,0 .. 20 k,199,"30 Oct, 2019"
19,1187160,"['Single-player', 'Downloadable Content']",dlc,Jigsaw Games,,Jigsaw Puzzle - Expansion Pack 10,0 .. 20 k,199,"31 Oct, 2019"
20,2337590,"['Single-player', 'Downloadable Content', 'Steam Achievements']",dlc,Refugium Games,,Greyhill Incident - Found Footage Mode,0 .. 20 k,399,"9 Jun, 2023"
21,2337591,"['Single-player', 'Downloadable Content', 'Steam Achievements']",dlc,Refugium Games,Refugium Games,Greyhill Incident - Fan Pack,0 .. 20 k,399,"9 Jun, 2023"
22,2059580,"['Single-player', 'Multi-player', 'Co-op', 'Shared/Split Screen Co-op', 'Shared/Split Screen', 'Downloadable Content', 'Steam Achievements', 'Full controller support', 'Remote Play Together']",dlc,Sinned Games,Sinned Games,Miner Ultra Adventures 2 - Illuminati Trail,0 .. 20 k,199,"19 Aug, 2022"
23,934200,"['Single-player', 'Downloadable Content']",dlc,FURYU Corporation,"NIS America, Inc.",The Caligula Effect: Overdose - Digital Soundtrack,0 .. 20 k,499,"12 Mar, 2019"
24,934300,"['Single-player', 'Downloadable Content', 'Partial Controller Support']",dlc,FURYU Corporation,,The Caligula Effect: Overdose - Digital Art Book,0 .. 20 k,499,"12 Mar, 2019"
25,934310,"['Single-player', 'Downloadable Content', 'Partial Controller Support']",dlc,FURYU Corporation,"NIS America, Inc.",The Caligula Effect: Overdose - Casual Clothes Costume Set,0 .. 20 k,1499,"12 Mar, 2019"
26,934320,"['Single-player', 'Downloadable Content', 'Partial Controller Support']",dlc,FURYU Corporation,,The Caligula Effect: Overdose - Male Protagonist's Swimsuit Costume,0 .. 20 k,199,"12 Mar, 2019"
27,934321,"['Single-player', 'Downloadable Content', 'Partial Controller Support']",dlc,FURYU Corporation,,The Caligula Effect: Overdose - Female Protagonist's Swimsuit Costume,0 .. 20 k,199,"12 Mar, 2019"
28,934330,"['Single-player', 'Downloadable Content', 'Partial Controller Support']",dlc,FURYU Corporation,,The Caligula Effect: Overdose - Shogo's Swimsuit Costume,0 .. 20 k,199,"12 Mar, 2019"
29,934331,"['Single-player', 'Downloadable Content', 'Partial Controller Support']",dlc,FURYU Corporation,,The Caligula Effect: Overdose - Izuru's Swimsuit Costume,0 .. 20 k,199,"12 Mar, 2019"
30,934340,"['Single-player', 'Downloadable Content', 'Partial Controller Support']",dlc,FURYU Corporation,,The Caligula Effect: Overdose - Kotaro's Swimsuit Costume,0 .. 20 k,199,"12 Mar, 2019"
31,934341,"['Single-player', 'Downloadable Content', 'Partial Controller Support']",dlc,FURYU Corporation,,The Caligula Effect: Overdose - Kensuke's Swimsuit Costume,0 .. 20 k,199,"12 Mar, 2019"
32,934350,"['Single-player', 'Downloadable Content', 'Partial Controller Support']",dlc,FURYU Corporation,,The Caligula Effect: Overdose - Kotono's Swimsuit Costume,0 .. 20 k,199,"12 Mar, 2019"
33,934351,"['Single-player', 'Downloadable Content', 'Partial Controller Support']",dlc,FURYU Corporation,,The Caligula Effect: Overdose - Naruko's Swimsuit Costume,0 .. 20 k,199,"12 Mar, 2019"
34,934352,"['Single-player', 'Downloadable Content', 'Partial Controller Support']",dlc,FURYU Corporation,,The Caligula Effect: Overdose - Mifue's Swimsuit Costume,0 .. 20 k,199,"12 Mar, 2019"
35,934353,"['Single-player', 'Downloadable Content', 'Partial Controller Support']",dlc,FURYU Corporation,,The Caligula Effect: Overdose - Suzuna's Swimsuit Costume,0 .. 20 k,199,"12 Mar, 2019"
36,934360,"['Single-player', 'Downloadable Content', 'Partial Controller Support']",dlc,FURYU Corporation,,The Caligula Effect: Overdose - Eiji's Swimsuit Costume,0 .. 20 k,199,"12 Mar, 2019"
37,934361,"['Single-player', 'Downloadable Content', 'Partial Controller Support']",dlc,FURYU Corporation,,The Caligula Effect: Overdose - Ayana's Swimsuit Costume,0 .. 20 k,199,"12 Mar, 2019"
38,1039250,"['Single-player', 'Downloadable Content', 'Steam Achievements', 'Partial Controller Support', 'Steam Cloud']",dlc,FURYU Corporation,,The Caligula Effect: Overdose - Stigma Bundle,0 .. 20 k,,"12 Mar, 2019"
39,1182320,[],music,Double Dash Studios,Double Dash Studios,Sky Racket Original Soundtrack,0 .. 20 k,284,"7 Nov, 2019"
40,1829831,"['Single-player', 'Downloadable Content', 'Steam Achievements', 'Full controller support', 'Steam Cloud']",dlc,Roll7,Private Division,OlliOlli World: Finding the Flowzone,0 .. 20 k,999,"2 Nov, 2022"
41,1759190,"['Single-player', 'Downloadable Content', 'Full controller support']",dlc,Roll7,Private Division,"OlliOlli World ""Close Encounter Skate Deck""",0 .. 20 k,,"7 Feb, 2022"
42,1829830,"['Single-player', 'Downloadable Content', 'Steam Achievements', 'Full controller support', 'Steam Cloud']",dlc,Roll7,Private Division,OlliOlli World: VOID Riders,0 .. 20 k,999,"15 Jun, 2022"
43,1836410,"['Single-player', 'Downloadable Content', 'Full controller support']",dlc,Roll7,Private Division,OlliOlli World Expansion Pass,0 .. 20 k,1499,"7 Feb, 2022"
44,2072530,"['Single-player', 'Downloadable Content', 'Partial Controller Support', 'Steam Cloud']",dlc,RKTime,Chengdu longyuan Network Technology Co.Ltd,无名之辈6-11关,0 .. 20 k,499,"6 Jul, 2022"
45,2108850,[],music,Mercury Game Studio,Freedom Games,Tyrant's Blessing Soundtrack,0 .. 20 k,499,"8 Aug, 2022"
46,2351910,"['Single-player', 'Downloadable Content']",dlc,Boogygames Studios,,Childhood Dreams - Jigsaw Puzzle - Expansion Pack 1,0 .. 20 k,99,"23 Mar, 2023"
47,729410,"['Single-player', 'Downloadable Content', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards']",dlc,Ktulhu Solutions,,Lux Obscura Original Soundtrack,0 .. 20 k,299,"11 Oct, 2017"
48,665990,"['Single-player', 'Downloadable Content']",dlc,Schmidt Workshops,Schmidt Workshops,Anomalies - Sights and Sounds,0 .. 20 k,,"28 Jun, 2017"
49,696340,"['Single-player', 'Downloadable Content', 'Steam Trading Cards']",dlc,Schmidt Workshops,Schmidt Workshops,Anomalies - Music Collection,0 .. 20 k,79,"18 Aug, 2017"
50,1779580,"['Single-player', 'Downloadable Content', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud']",dlc,CUTE ANIME GIRLS,Tranquility games,My Cute Succubus  - Girls in Hell 18+,0 .. 20 k,,"22 Oct, 2021"
