,appid,category,data_type,main_developer,main_publisher,name,owners,price_eur,release_date
0,2296860,[],music,Smeeki,Plug In Digital,Each Other Soundtrack,0 .. 20 k,299,"17 Feb, 2023"
1,1718030,[],music,Michael Haapasaari,Michael Haapasaari,Winter Wastelands Soundtrack,0 .. 20 k,239,"16 Aug, 2021"
2,833420,"['Single-player', 'Multi-player', 'Shared/Split Screen PvP', 'Shared/Split Screen', 'Downloadable Content', 'Full controller support']",dlc,Table Flip Games,,Sure Footing: Official Soundtrack,0 .. 20 k,499,"30 Mar, 2018"
3,833450,"['Single-player', 'Shared/Split Screen PvP', 'Shared/Split Screen', 'Downloadable Content', 'Full controller support']",dlc,Table Flip Games,,Sure Footing: Deluxe Edition Content,0 .. 20 k,199,"30 Mar, 2018"
4,2432350,"['Single-player', 'Downloadable Content', 'Steam Achievements', 'In-App Purchases']",dlc,Disco Entertainment,Disco Entertainment,Tiny Tank:Dawn of Steel - Supporter Upgrade,0 .. 20 k,99,"15 May, 2023"
5,2377350,[],music,Pixel Licker LLC,Pixel Licker LLC,Slayin 2 Soundtrack,0 .. 20 k,499,"4 Apr, 2023"
6,2478460,"['Single-player', 'Multi-player', 'PvP', 'LAN PvP', 'Downloadable Content', 'Steam Achievements', 'Steam Workshop', 'Steam Cloud']",dlc,tetrahydrofuran,tetrahydrofuran,2D Dogfight - Lord of Sky,0 .. 20 k,99,"29 Jun, 2023"
7,2513760,"['Single-player', 'Multi-player', 'PvP', 'LAN PvP', 'Downloadable Content', 'Steam Achievements', 'Steam Workshop', 'Steam Cloud']",dlc,tetrahydrofuran,tetrahydrofuran,2D Dogfight - World War II (Aircrafts of Western Front),0 .. 20 k,99,"25 Sep, 2023"
8,1235660,['Single-player'],music,Cornutopia Software,Cornutopia Music,Flatspace (The Official Soundtrack),0 .. 20 k,975,"27 Mar, 2020"
9,1490540,"['Single-player', 'Downloadable Content', 'Steam Achievements']",dlc,Sonic-Alpha,NS,Poco In Dungeon - Pico In Cave,0 .. 20 k,,"21 Dec, 2020"
10,473110,[],music,TRIANGLE SERVICE,KOMODO,EXZEAL Original Soundtrack,0 .. 20 k,349,"14 Jul, 2016"
11,318830,['Downloadable Content'],dlc,Snake Hill Games,Snake Hill Games,Sprite Lamp - Pro upgrade,0 .. 20 k,4499,"25 Sep, 2014"
12,1071420,"['Single-player', 'Downloadable Content', 'Steam Achievements']",dlc,Heskira,Starship Studio,Wanna Run Again Soundtrack,0 .. 20 k,239,"26 Apr, 2019"
13,1534210,[],music,Eduardo Blanchard,,Dragon Mission Soundtrack,0 .. 20 k,159,"2 Feb, 2021"
14,1929220,"['Single-player', 'Downloadable Content', 'Steam Achievements']",dlc,Team Decaf,Team Decaf,Dimension Quest Pinball Event Pass - Valentines,0 .. 20 k,99,"9 Mar, 2022"
15,1929885,"['Single-player', 'Downloadable Content', 'Steam Achievements']",dlc,Team Decaf,Team Decaf,Dimension Quest Pinball Characters - Casey + Madrillda,0 .. 20 k,159,"21 Jun, 2022"
16,2442210,"['Single-player', 'Downloadable Content']",dlc,Cats on a Lilypad Studios,Cats on a Lilypad Studios,Moonflower - The Art and Lore Book,0 .. 20 k,689,"21 May, 2023"
17,1264101,"['Downloadable Content', 'Steam Achievements']",dlc,Simplode LLC,Simplode LLC,Simplode Suite - Hybrid Tiling Window Manager,0 .. 20 k,1079,"17 Sep, 2020"
18,1264102,"['Downloadable Content', 'Steam Achievements']",dlc,Simplode LLC,Simplode LLC,Simplode Suite - Chill Boost,0 .. 20 k,1199,"17 Sep, 2020"
19,1264103,"['Downloadable Content', 'Steam Achievements']",dlc,Simplode LLC,Simplode LLC,Simplode Suite - Audio Utilities,0 .. 20 k,599,"17 Sep, 2020"
20,1264104,['Downloadable Content'],dlc,Simplode LLC,Simplode LLC,Simplode Suite - Virtual Touch Screen,0 .. 20 k,1199,"17 Sep, 2020"
21,1264105,['Downloadable Content'],dlc,Simplode LLC,Simplode LLC,Simplode Suite - Capture and Clipboard Utilities,0 .. 20 k,499,"17 Sep, 2020"
22,1264106,"['Downloadable Content', 'Steam Achievements']",dlc,Simplode LLC,Simplode LLC,Simplode Suite - Mouse Accelerator,0 .. 20 k,599,"17 Sep, 2020"
23,1264110,['Downloadable Content'],dlc,Simplode LLC,Simplode LLC,Simplode Suite - Borderless Fullscreen,0 .. 20 k,114,"17 Sep, 2020"
24,1264111,"['Downloadable Content', 'Steam Achievements']",dlc,Simplode LLC,Simplode LLC,Simplode Suite - Glass Apps,0 .. 20 k,599,"17 Sep, 2020"
25,1264112,['Downloadable Content'],dlc,Simplode LLC,Simplode LLC,Simplode Suite - Beta Features,0 .. 20 k,,"29 Sep, 2020"
26,1264113,"['Downloadable Content', 'Steam Achievements']",dlc,Simplode LLC,Simplode LLC,Simplode Suite - Basic Window Management,0 .. 20 k,499,"17 Sep, 2020"
27,1264114,['Downloadable Content'],dlc,Simplode LLC,Simplode LLC,Simplode Suite - Color Grabber,0 .. 20 k,119,"17 Sep, 2020"
28,1291030,"['Downloadable Content', 'Steam Achievements']",dlc,Simplode LLC,Simplode LLC,Simplode Suite - Custom Menu,0 .. 20 k,,"29 Sep, 2020"
29,1291031,"['Downloadable Content', 'Steam Achievements']",dlc,Simplode LLC,Simplode LLC,Simplode Suite - Task Menu,0 .. 20 k,,"29 Sep, 2020"
30,1291032,"['Downloadable Content', 'Steam Achievements']",dlc,Simplode LLC,Simplode LLC,Simplode Suite - Core,0 .. 20 k,,"29 Sep, 2020"
31,1291033,"['Downloadable Content', 'Steam Achievements']",dlc,Simplode LLC,Simplode LLC,Simplode Suite - Mouse Utilities,0 .. 20 k,699,"17 Sep, 2020"
32,1291034,['Downloadable Content'],dlc,Simplode LLC,Simplode LLC,Simplode Suite - Keyboard Utilities,0 .. 20 k,599,"17 Sep, 2020"
33,1291035,"['Downloadable Content', 'Steam Achievements']",dlc,Simplode LLC,Simplode LLC,Simplode Suite - Magnifier Utilities,0 .. 20 k,499,"17 Sep, 2020"
34,1291036,['Downloadable Content'],dlc,Simplode LLC,Simplode LLC,Simplode Suite - Display Utilities,0 .. 20 k,599,"17 Sep, 2020"
35,1291037,['Downloadable Content'],dlc,Simplode LLC,Simplode LLC,Simplode Suite - Basic Power Management,0 .. 20 k,119,"17 Sep, 2020"
36,1291038,"['Downloadable Content', 'Steam Achievements']",dlc,Simplode LLC,Simplode LLC,Simplode Suite - Extras,0 .. 20 k,499,"17 Sep, 2020"
37,1403380,"['Downloadable Content', 'Steam Achievements']",dlc,Simplode LLC,Simplode LLC,Simplode Suite - Free Select,0 .. 20 k,,"29 Sep, 2020"
38,1404370,"['Downloadable Content', 'Steam Achievements']",dlc,Simplode LLC,Simplode LLC,Simplode Suite - Free,0 .. 20 k,,"29 Sep, 2020"
39,1432790,[],music,Bipolar Dawn,Meteorbyte Studios,World Soccer Strikers '91 Soundtrack,0 .. 20 k,239,"23 Oct, 2020"
40,1433760,"['Single-player', 'Downloadable Content']",dlc,Bipolar Dawn,Meteorbyte Studios,World Soccer Strikers '91 - Bonus Content,0 .. 20 k,,"23 Oct, 2020"
41,1825600,"['Single-player', 'Downloadable Content', 'Steam Cloud']",dlc,Hosted Games,Hosted Games,The Soul Stone War 2 – Web of Shadows,0 .. 20 k,79,"13 Jan, 2022"
42,1976020,"['Single-player', 'Downloadable Content', 'Steam Cloud']",dlc,Hosted Games,Hosted Games,The Soul Stone War 2 - Achievements Guide,0 .. 20 k,79,"16 Jun, 2022"
43,1267900,"['Single-player', 'Multi-player', 'PvP', 'Shared/Split Screen PvP', 'Shared/Split Screen', 'Downloadable Content', 'Steam Achievements', 'Full controller support']",dlc,3DClouds,Outright Games,Race With Ryan: Surprise Track Pack,0 .. 20 k,699,"4 May, 2020"
44,1303780,"['Single-player', 'Multi-player', 'PvP', 'Shared/Split Screen PvP', 'Shared/Split Screen', 'Downloadable Content', 'Steam Achievements', 'Full controller support']",dlc,3DClouds,Outright Games,Race with Ryan: Adventure Track Pack,0 .. 20 k,699,"15 Oct, 2020"
45,1359200,[],music,Bryce Summer,,Roundabout 3 Soundtrack,0 .. 20 k,159,"13 Jul, 2020"
46,268120,"['Single-player', 'Downloadable Content']",dlc,WaveDNA,,Liquid Rhythm Randomizer,0 .. 20 k,499,"28 Mar, 2014"
47,268121,"['Single-player', 'Downloadable Content']",dlc,WaveDNA,,Liquid Rhythm GrooveMover,0 .. 20 k,499,"28 Mar, 2014"
48,268122,"['Single-player', 'Downloadable Content']",dlc,WaveDNA,,Liquid Rhythm BeatWeaver,0 .. 20 k,499,"28 Mar, 2014"
49,268123,"['Single-player', 'Downloadable Content']",dlc,WaveDNA,,Liquid Rhythm BeatForm Shifter,0 .. 20 k,499,"28 Mar, 2014"
50,268124,"['Single-player', 'Downloadable Content']",dlc,,,Liquid Rhythm BeatForm Tumbler,0 .. 20 k,499,"28 Mar, 2014"
51,268125,"['Single-player', 'Downloadable Content']",dlc,WaveDNA,,Liquid Rhythm Push Control,0 .. 20 k,399,"5 May, 2014"
52,1369680,"['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Downloadable Content', 'Steam Achievements']",dlc,Rusimitu,Rusimitu,Attack of the Gigant Zombie vs Unity chan - LITE,0 .. 20 k,,"20 Jul, 2020"
53,1042580,"['Single-player', 'Downloadable Content']",dlc,Monster Mansion,Monster Mansion,Human Rights - Soundtrack,0 .. 20 k,79,"4 Apr, 2019"
54,473120,[],music,TRIANGLE SERVICE,KOMODO,TRIZEAL Original Soundtrack,0 .. 20 k,349,"7 Jul, 2016"
55,722880,"['Single-player', 'Downloadable Content', 'Steam Achievements', 'Steam Workshop', 'Steam Cloud', 'Includes level editor']",dlc,Pixel with Hat,,Senalux Level Pack 2,0 .. 20 k,,"16 Oct, 2017"
56,722881,"['Single-player', 'Downloadable Content', 'Steam Achievements', 'Steam Workshop', 'Steam Cloud', 'Includes level editor']",dlc,Pixel with Hat,,Senalux Level Pack 3,0 .. 20 k,,"16 Oct, 2017"
57,833730,"['Single-player', 'Downloadable Content', 'Steam Achievements', 'Steam Workshop', 'Steam Cloud', 'Includes level editor']",dlc,Pixel with Hat,,Senalux Level Pack 4,0 .. 20 k,,"31 Jan, 2019"
58,931420,"['Single-player', 'Downloadable Content']",dlc,Hidoi Games,Hidoi Games,Oops!!! I Slept With Your Mom OST,0 .. 20 k,79,"21 Sep, 2018"
59,2090330,[],music,Waraní Studios,Waraní Studios,THE ORIGIN: Blind Maid Soundtrack,0 .. 20 k,239,"19 Jul, 2022"
60,570430,"['Shared/Split Screen PvP', 'Shared/Split Screen', 'Downloadable Content']",dlc,"Atom Switch, Inc.","Atom Switch, Inc.",InfinitasDM - Adventurer's Kit,0 .. 20 k,1999,"14 Dec, 2016"
61,570010,"['Shared/Split Screen PvP', 'Shared/Split Screen', 'Downloadable Content']",dlc,"Atom Switch, Inc.","Atom Switch, Inc.",InfinitasDM - Teeth of The Bloodwolf,0 .. 20 k,699,"14 Dec, 2016"
62,682830,"['Shared/Split Screen PvP', 'Shared/Split Screen', 'Downloadable Content', 'Steam Cloud']",dlc,"Atom Switch, Inc.",,InfinitasDM - Expanded Fantasy Tokens,0 .. 20 k,,"20 Jul, 2017"
63,682840,"['Shared/Split Screen PvP', 'Shared/Split Screen', 'Downloadable Content', 'Steam Cloud']",dlc,"Atom Switch, Inc.",,InfinitasDM - Expanded Color Tokens,0 .. 20 k,,"20 Jul, 2017"
64,682850,"['Shared/Split Screen PvP', 'Shared/Split Screen', 'Downloadable Content', 'Steam Cloud']",dlc,"Atom Switch, Inc.",,InfinitasDM - Sci-Fi Tokens,0 .. 20 k,,"20 Jul, 2017"
65,1753190,['Additional High-Quality Audio'],music,Phantasma Digital,Phantasma Digital,Teabat! Soundtrack,0 .. 20 k,299,"23 Jun, 2022"
66,464860,"['Single-player', 'Downloadable Content']",dlc,BplusGames,OtakuMaker.com,Puzzle Box - Soundtrack OST,0 .. 20 k,499,"22 Apr, 2016"
67,500860,"['Single-player', 'Downloadable Content', 'Steam Achievements', 'Steam Trading Cards']",dlc,BplusGames,OtakuMaker.com,Puzzle Box - Level Pack DLC #1,0 .. 20 k,399,"13 Jul, 2016"
68,2090670,[],music,ehmprah,ehmprah,Blacken Slash – Original Soundtrack,0 .. 20 k,499,"22 Jul, 2022"
69,1815980,['Additional High-Quality Audio'],music,Airem,Airem,Hovercars 3077: Underground Soundtrack,0 .. 20 k,299,"19 May, 2022"
70,1110500,"['Single-player', 'Co-op', 'Shared/Split Screen Co-op', 'Shared/Split Screen', 'Steam Achievements', 'Full controller support', 'Steam Cloud', 'Steam Leaderboards']",music,Finite Reflection Studios,Finite Reflection Studios,TwinCop OST,0 .. 20 k,131,"27 Jun, 2019"
71,1164090,['Additional High-Quality Audio'],music,Cockroach Inc.,The Sleeping Machine,The Gateway Trilogy - Soundtrack,0 .. 20 k,399,"8 Apr, 2020"
72,2168910,"['Single-player', 'Downloadable Content']",dlc,Hunny Bunny Studio,Hunny Bunny Studio,Hot Cleopatra 18+ Adult Only Content,0 .. 20 k,,"1 Oct, 2022"
73,2230870,"['Single-player', 'Downloadable Content']",dlc,Hunny Bunny Studio,Hunny Bunny Studio,Cow Girl 2 Adult Only Content 18+,0 .. 20 k,,"5 Dec, 2022"
74,1439810,['Additional High-Quality Audio'],music,Sati Bros,Sati Bros,Astral Gunners Soundtrack,0 .. 20 k,259,"3 Dec, 2020"
75,1342450,[],music,Brok3nsite,Brok3nsite,Dawn of Fear Soundtrack,0 .. 20 k,819,"30 Oct, 2020"
76,2435570,[],music,Dracma Studios,,Candle Knight Soundtrack,0 .. 20 k,975,"6 Jun, 2023"
77,2435580,"['Single-player', 'Downloadable Content']",dlc,Dracma Studios,Dracma Studios,Candle Knight - Digital Art Book,0 .. 20 k,589,"31 May, 2023"
78,2398650,[],music,ViviLatvia,ViviLatvia,One Eleven Original Soundtrack,0 .. 20 k,299,"18 May, 2023"
79,2346600,"['Single-player', 'Downloadable Content', 'Steam Achievements', 'Partial Controller Support', 'Steam Cloud']",dlc,"Gemdrops, Inc.","Gemdrops, Inc.","Kizuna AI - Touch the Beat! DLC Costume 1: hello, world 2020",0 .. 20 k,499,"24 May, 2023"
80,2379840,"['Single-player', 'Downloadable Content', 'Steam Achievements', 'Tracked Controller Support', 'Partial Controller Support', 'Steam Cloud']",dlc,"Gemdrops, Inc.","Gemdrops, Inc.",Kizuna AI - Touch the Beat! DLC Costume 2: A.I. Party! 2018,0 .. 20 k,499,"24 May, 2023"
81,2426680,"['Single-player', 'Downloadable Content', 'Steam Achievements', 'Tracked Controller Support', 'Partial Controller Support', 'Steam Cloud']",dlc,"Gemdrops, Inc.","Gemdrops, Inc.","Kizuna AI - Touch the Beat! Additional Song ""DOGS HYNOME feat. #kzn"" + ""#kzn""",0 .. 20 k,499,"29 Jun, 2023"
82,651930,['Downloadable Content'],dlc,Johnny Ostad,Johnny Ostad,Shalnor Legends: Sacred Lands - Soundtrack,0 .. 20 k,499,"8 Feb, 2018"
83,2015660,[],music,Jason Newman,Cicada Soft,Triga Soundtrack,0 .. 20 k,199,"3 Jun, 2022"
84,2332300,[],music,Jagaimo Studios,Jagaimo Studios,Otome Legends Soundtrack,0 .. 20 k,,Coming soon
85,366190,"['Single-player', 'Downloadable Content', 'VR Support', 'Stats', 'Includes level editor']",dlc,Ambiera e.U.,Ambiera e.U.,CopperCube 5 - Professional Edition,0 .. 20 k,8499,"1 May, 2015"
86,1146490,"['Single-player', 'Multi-player', 'PvP', 'Shared/Split Screen PvP', 'Shared/Split Screen', 'Downloadable Content', 'Steam Achievements', 'Steam Cloud']",dlc,Ascend Digitally,Ascend Digitally,ATTACK OF THE EVIL POOP - Game Guide!,0 .. 20 k,,"21 Aug, 2019"
87,1147680,"['Single-player', 'Shared/Split Screen PvP', 'Shared/Split Screen', 'Downloadable Content', 'Steam Achievements', 'Steam Cloud']",dlc,Ascend Digitally,,ATTACK OF THE EVIL POOP - Full HD Wallpapers + Screenshots (+60 images),0 .. 20 k,,"22 Aug, 2019"
88,1696120,"['Single-player', 'Downloadable Content']",dlc,William at Oxford,William at Oxford,DIY Queen of the Ocean,0 .. 20 k,69,"14 Jul, 2021"
89,1719910,"['Single-player', 'Downloadable Content']",dlc,William at Oxford,William at Oxford,Foot washing and massage for DIY girls in VR,0 .. 20 k,105,"19 Aug, 2021"
90,1820010,"['Single-player', 'Downloadable Content']",dlc,William at Oxford,William at Oxford,DIY VR: VR Girl Mods Tool,0 .. 20 k,,"23 Nov, 2021"
91,2549140,"['Downloadable Content', 'Partial Controller Support']",dlc,GameCreator,GameCreator,GameCreator  - 言之叶 - Kotonoha,0 .. 20 k,251,"12 Aug, 2023"
92,2331200,"['Downloadable Content', 'Partial Controller Support']",dlc,GameCreator,GameCreator,GameCreator - ACT - 空之跃 - Jump of sky,0 .. 20 k,,"30 Mar, 2023"
