,appid,category,data_type,main_developer,main_publisher,name,owners,price_eur,release_date
0,287330,"['Single-player', 'Multi-player', 'Downloadable Content']",dlc,"RedLynx, in collaboration with  Ubisoft Shanghai",Ubisoft,Trials Fusion Season Pass,0 .. 20 k,1999,"24 Apr, 2014"
1,381840,"['Single-player', 'Multi-player', 'Downloadable Content', 'Partial Controller Support']",dlc,"RedLynx, in collaboration with  Ubisoft Shanghai, Ubisoft Kiev",Ubisoft,Trials Fusion - Awesome Level Max,0 .. 20 k,999,"15 Jul, 2015"
2,355770,"['Single-player', 'Multi-player', 'Downloadable Content', 'Partial Controller Support']",dlc,"RedLynx, in collaboration with  Ubisoft Shanghai, Ubisoft Kiev",Ubisoft,Trials Fusion - After the Incident,0 .. 20 k,499,"31 Mar, 2015"
3,311550,"['Single-player', 'Multi-player', 'Downloadable Content']",dlc,"RedLynx, in collaboration with  Ubisoft Shanghai, Ubisoft Kiev",Ubisoft,Trials Fusion - Riders of the Rustlands,0 .. 20 k,499,"29 Jul, 2014"
4,311551,"['Single-player', 'Multi-player', 'Downloadable Content']",dlc,"RedLynx, in collaboration with Ubisoft Shanghai, Ubisoft Kiev",Ubisoft,Trials Fusion - Empire of the Sky,0 .. 20 k,499,"19 Aug, 2014"
5,326170,"['Single-player', 'Downloadable Content', 'Partial Controller Support']",dlc,"RedLynx, in collaboration with  Ubisoft Shanghai, Ubisoft Kiev",Ubisoft,Trials Fusion - Welcome to the Abyss,0 .. 20 k,499,"7 Oct, 2014"
6,337740,"['Single-player', 'Multi-player', 'Downloadable Content', 'Partial Controller Support']",dlc,"RedLynx, in collaboration with  Ubisoft Shanghai, Ubisoft Kiev",Ubisoft,Trials Fusion - Fault One Zero,0 .. 20 k,499,"24 Feb, 2015"
7,337750,"['Single-player', 'Downloadable Content', 'Partial Controller Support']",dlc,"RedLynx, in collaboration with  Ubisoft Shanghai, Ubisoft Kiev",,Trials Fusion - Fire in the Deep,0 .. 20 k,499,"27 Jan, 2015"
8,2429110,"['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Cross-Platform Multiplayer', 'Downloadable Content', 'In-App Purchases']",dlc,Ubisoft Montreal,Ubisoft,Tom Clancy’s Rainbow Six® Extraction - HD Textures Pack,0 .. 20 k,,"11 Aug, 2023"
9,2379450,"['Single-player', 'Multi-player', 'Co-op', 'Online Co-op', 'Cross-Platform Multiplayer', 'Downloadable Content']",dlc,Ubisoft Montreal,Ubisoft,Tom Clancy’s Rainbow Six Extraction REACT Strike Pack,0 .. 20 k,1999,"15 Jun, 2023"
10,882270,"['Single-player', 'Downloadable Content']",dlc,Playsaurus,,Clicker Heroes 2 Soundtrack,0 .. 20 k,659,"17 Jul, 2018"
11,1556910,[],music,FireFly Studios,FireFly Studios,Stronghold: Warlords - OST Extended,0 .. 20 k,999,"12 May, 2023"
12,1615010,"['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Downloadable Content', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop', 'Steam Cloud', 'Includes level editor']",dlc,FireFly Studios,FireFly Studios,Stronghold: Warlords - The Art of War Campaign,0 .. 20 k,399,"18 May, 2021"
13,1615011,"['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Downloadable Content', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop', 'Steam Cloud', 'Includes level editor']",dlc,FireFly Studios,FireFly Studios,Stronghold: Warlords - The Mongol Empire Campaign,0 .. 20 k,399,"1 Sep, 2021"
14,1615012,"['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Downloadable Content', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop', 'Steam Cloud', 'Includes level editor']",dlc,FireFly Studios,FireFly Studios,Stronghold: Warlords - Rise of the Shogun Campaign,0 .. 20 k,399,"24 Nov, 2021"
15,1615013,"['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Downloadable Content', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop', 'Steam Cloud', 'Includes level editor']",dlc,FireFly Studios,FireFly Studios,Stronghold: Warlords - The Warrior Queen Campaign,0 .. 20 k,399,"25 Jan, 2022"
16,2071880,"['Single-player', 'Downloadable Content', 'Steam Achievements']",dlc,MXTreality,MXTreality,Adventure Climb VR - Brave the Elements Expansion Maps,0 .. 20 k,499,"18 Jul, 2022"
17,1411520,"['Single-player', 'Downloadable Content', 'Steam Achievements', 'Steam Cloud']",dlc,Wet Girl,Shoot Girl,Swaying Girl - Exciting,0 .. 20 k,,"7 Oct, 2020"
18,809930,"['Single-player', 'Shared/Split Screen PvP', 'Shared/Split Screen Co-op', 'Shared/Split Screen', 'Steam Achievements', 'Steam Trading Cards', 'Partial Controller Support']",music,"Jackbox Games, Inc.",,The Jackbox Party Pack 5 - Soundtrack,0 .. 20 k,499,"16 Oct, 2018"
19,259590,"['Single-player', 'Multi-player', 'Cross-Platform Multiplayer', 'Downloadable Content']",dlc,,Days of Wonder,Small World - Cursed!,0 .. 20 k,299,"11 Dec, 2013"
20,259591,"['Single-player', 'Multi-player', 'Cross-Platform Multiplayer', 'Downloadable Content']",dlc,,Days of Wonder,Small World - Grand Dames,0 .. 20 k,299,"11 Dec, 2013"
21,259592,"['Single-player', 'Multi-player', 'Cross-Platform Multiplayer', 'Downloadable Content']",dlc,Days of Wonder,Days of Wonder,Small World - Be not Afraid...,0 .. 20 k,299,"11 Dec, 2013"
22,1267510,"['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Shared/Split Screen PvP', 'Shared/Split Screen', 'Cross-Platform Multiplayer', 'Downloadable Content', 'Steam Trading Cards', 'Steam Turn Notifications', 'Remote Play Together']",dlc,Days of Wonder,Twin Sails Interactive,Small World - Royal Bonus,0 .. 20 k,299,"17 Jun, 2020"
23,1387630,"['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'LAN PvP', 'Shared/Split Screen PvP', 'Shared/Split Screen', 'Cross-Platform Multiplayer', 'Downloadable Content', 'Steam Trading Cards', 'Steam Turn Notifications', 'Remote Play Together']",dlc,Days of Wonder,Days of Wonder,Small World - A Spider's Web,0 .. 20 k,299,"10 Feb, 2021"
24,385870,"['Single-player', 'Downloadable Content', 'Steam Achievements', 'Full controller support']",dlc,Team Junkfish,Team Junkfish,Monstrum - Original Soundtrack,0 .. 20 k,499,"17 Jul, 2015"
25,351680,"['Single-player', 'Downloadable Content']",dlc,State of Play,State of Play,Lumino City - Soundtrack,0 .. 20 k,599,"27 Feb, 2015"
26,2511170,"['Single-player', 'Downloadable Content', 'Steam Achievements', 'Steam Workshop', 'Steam Cloud']",dlc,Gleamer Studio,Gleamer Studio,Settlement Survival - Tourism,0 .. 20 k,,"27 Jul, 2023"
27,1931130,"['Single-player', 'Downloadable Content', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop', 'Steam Cloud']",dlc,Washbear Studio,Washbear Studio,Parkasaurus - Sea Monsters,0 .. 20 k,689,"11 Aug, 2022"
