,appid,category,data_type,main_developer,main_publisher,name,owners,price_eur,release_date
0,2389960,"['Single-player', 'Downloadable Content', 'Steam Achievements', 'Steam Cloud', 'Stats', 'Steam Leaderboards']",dlc,CUTE ANIME GIRLS,Tranquility games,TSUNDERE MILFIN - Office Haram 18+,0 .. 20 k,,"17 May, 2023"
1,2389970,"['Single-player', 'Downloadable Content', 'Steam Achievements', 'Steam Cloud', 'Stats', 'Steam Leaderboards']",dlc,CUTE ANIME GIRLS,Tranquility games,TSUNDERE MILFIN - Artbook,0 .. 20 k,199,"17 May, 2023"
2,509200,"['Single-player', 'Downloadable Content']",dlc,"Axol Studio, LLC",,Blasting Agent: Ultimate Edition OST,0 .. 20 k,199,"17 Aug, 2016"
3,583260,[],music,BancyCo,,Alone With You - Official Soundtrack,0 .. 20 k,499,"9 Feb, 2017"
4,1582920,[],music,Pinel Games,Pinel Games,CATch the Stars Soundtrack,0 .. 20 k,79,"25 Mar, 2021"
5,1852560,['Downloadable Content'],dlc,Stardock,Stardock,Fences 4 - Multi-Device Upgrade,0 .. 20 k,1950,"24 Aug, 2022"
6,697350,"['Single-player', 'Downloadable Content', 'Full controller support']",dlc,Crian Soft S.A.,,Age of Barbarians: the Heavy Metal song,0 .. 20 k,99,"15 Sep, 2017"
7,747180,"['Single-player', 'Shared/Split Screen PvP', 'Shared/Split Screen', 'Downloadable Content', 'Steam Achievements', 'Steam Trading Cards', 'Partial Controller Support']",dlc,Crian Soft S.A.,,ARENA an Age of Barbarians story - Deathbringer,0 .. 20 k,199,"10 Nov, 2017"
8,868870,"['Single-player', 'Shared/Split Screen PvP', 'Shared/Split Screen', 'Downloadable Content', 'Steam Achievements', 'Steam Trading Cards', 'Partial Controller Support']",dlc,Crian Soft S.A.,,ARENA an Age of Barbarians story - She-Red,0 .. 20 k,199,"4 Jun, 2018"
9,2097330,['Additional High-Quality Audio'],music,Brickmade Productions,,Welcome To The Backrooms Soundtrack,0 .. 20 k,399,"3 Nov, 2022"
10,380640,[],music,Sleepy Studios,Sleepy Studios,Superstatic - Soundtrack,0 .. 20 k,299,"15 Sep, 2015"
