,appid,category,data_type,main_developer,main_publisher,name,owners,price_eur,release_date
0,1089580,"['Downloadable Content', 'Steam Workshop', 'Steam Cloud']",dlc,CCYY,CCYY,NB Desktop - Stream 直播,0 .. 20 k,,"27 May, 2019"
1,1089581,"['Downloadable Content', 'Steam Workshop', 'Steam Cloud']",dlc,CCYY,CCYY,NB Desktop - Music,0 .. 20 k,,"27 May, 2019"
2,1104810,"['Downloadable Content', 'Steam Workshop', 'Steam Cloud']",dlc,CCYY,CCYY,NB Desktop - Game Display 游戏展示,0 .. 20 k,,"14 Jun, 2019"
3,1892690,[],music,Remnants of mosaic,,Mysteria of the World: The forest of Death Soundtrack,0 .. 20 k,79,"23 Feb, 2022"
4,2063360,"['Single-player', 'Downloadable Content']",dlc,Remnants of mosaic,Remnants of mosaic,Mysteria of the World: The forest of Death Artbook,0 .. 20 k,159,"31 Oct, 2022"
5,1397250,"['Single-player', 'Downloadable Content', 'Steam Achievements']",dlc,Kochkin Dmitry,Kochkin Dmitry,My Train Arrives - City pack,0 .. 20 k,239,"14 Sep, 2020"
6,1457530,"['Single-player', 'Downloadable Content', 'Steam Achievements']",dlc,Kochkin Dmitry,Kochkin Dmitry,My Train Arrives - Neighbouring cities,0 .. 20 k,159,"16 Nov, 2020"
7,1572030,"['Single-player', 'Downloadable Content', 'Steam Achievements']",dlc,Kochkin Dmitry,Kochkin Dmitry,My Train Arrives - Big cities,0 .. 20 k,329,"30 Mar, 2021"
8,1862700,"['Single-player', 'Downloadable Content', 'Steam Achievements']",dlc,Kochkin Dmitry,Kochkin Dmitry,My Train Arrives - In ten years,0 .. 20 k,399,"1 Mar, 2022"
9,2051150,[],music,Pretty French Games,Pretty French Games,Pale Night Soundtrack,0 .. 20 k,299,"20 Jun, 2022"
10,1009970,"['Single-player', 'Downloadable Content']",dlc,liugao,,nezha,0 .. 20 k,79,"12 Apr, 2020"
11,488530,[],music,XenoAisam,Xenoaisam Studio,Banzai Escape Soundtrack,0 .. 20 k,199,"7 Jun, 2016"
12,833310,"['Single-player', 'Downloadable Content', 'Steam Achievements', 'Steam Cloud']",dlc,Apillo,Apillo,Fantasyland - All Heroes,0 .. 20 k,299,"23 Apr, 2018"
13,1882210,"['Single-player', 'Downloadable Content', 'Steam Achievements']",dlc,Anotherway,Vertigo Games,Unplugged - Riff Pack,0 .. 20 k,599,"14 Apr, 2022"
14,1882211,"['Single-player', 'Downloadable Content', 'Steam Achievements']",dlc,Anotherway,Vertigo Games,Unplugged - Pantera Pack,0 .. 20 k,599,"9 Jun, 2022"
15,698440,"['Single-player', 'Downloadable Content', 'Partial Controller Support']",dlc,Concrete Games,,Hyperun Deluxe DLC,0 .. 20 k,499,"22 Nov, 2017"
16,908970,"['Single-player', 'Downloadable Content']",dlc,FireVector,,Risky Wings - Soundtrack,0 .. 20 k,239,"31 Jul, 2018"
17,931020,"['Single-player', 'Downloadable Content', 'Steam Achievements', 'Full controller support', 'Steam Leaderboards']",dlc,FireVector,,Risky Wings - Techno Soundtrack,0 .. 20 k,,"3 Sep, 2018"
18,1047330,"['Single-player', 'Downloadable Content', 'Steam Achievements', 'Full controller support', 'Steam Leaderboards']",dlc,FireVector,,Risky Wings - 'Colibri' Character,0 .. 20 k,79,"18 Mar, 2019"
19,1056450,"['Single-player', 'Downloadable Content', 'Steam Achievements', 'Full controller support', 'Steam Leaderboards']",dlc,FireVector,,Risky Wings - 'Dizzy Kitten' Character,0 .. 20 k,79,"1 Apr, 2019"
20,399110,[],music,Cosmocat,Cosmocat,Operation Hardcore Soundtrack,0 .. 20 k,250,"26 Jul, 2016"
21,693510,"['Single-player', 'Downloadable Content']",dlc,14 Hours Productions,14 Hours Productions,Dead Horizon Extras,0 .. 20 k,399,"11 Aug, 2017"
22,2544250,"['Single-player', 'Downloadable Content']",dlc,Nukearts Studio,Nukearts Studio,Hidden Cats in Paris - Printable PDF Coloring Book and Poster,0 .. 20 k,199,"7 Aug, 2023"
23,983490,"['Single-player', 'Downloadable Content', 'Steam Achievements']",dlc,UniBit,8Floor,DayD: Through Time Soundtrack,0 .. 20 k,199,"29 Jan, 2019"
24,1302380,[],music,Manatea Entertainment,Manatea Entertainment,Q - Original Game Soundtrack,0 .. 20 k,499,"14 Jul, 2020"
25,1318160,['Additional High-Quality Audio'],music,Cosmic Void,,Cyber Seraph Soundtrack,0 .. 20 k,,"8 Jul, 2020"
26,836090,"['Single-player', 'Downloadable Content', 'Steam Achievements']",dlc,"Nikita ""Ghost_RUS""",Ghost_RUS Games,Anime girl Or Bottle? - New levels,0 .. 20 k,,"16 Apr, 2018"
27,972360,"['Single-player', 'Downloadable Content', 'Full controller support']",dlc,Connor O.R.T. Linning,Catalope Games,Skeletal Dance Party - Soundtrack,0 .. 20 k,,"29 Oct, 2018"
