,appid,category,data_type,main_developer,main_publisher,name,owners,price_eur,release_date
0,840520,"['Single-player', 'Downloadable Content']",dlc,Pixelz Games,,Cefore (Original Soundtrack),0 .. 20 k,329,"6 Apr, 2018"
1,909340,"['Single-player', 'Downloadable Content', 'Steam Cloud']",dlc,Circus,SakuraGame,Eternal Fantasy Cosplay Album,0 .. 20 k,,"18 Oct, 2018"
2,1727170,[],music,Petorio,Peter Hofbauer,Block in the Lock Soundtrack,0 .. 20 k,,"17 Aug, 2021"
3,1510260,[],music,The Binary Initiative,The Binary Initiative,Hero's Spirit Soundtrack,0 .. 20 k,239,"31 Dec, 2020"
4,976370,"['Single-player', 'Multi-player', 'Online PvP', 'Cross-Platform Multiplayer', 'Downloadable Content', 'Steam Achievements', 'Steam Workshop']",dlc,Strategy Mill,,Terminal Conflict: Supreme Commander Upgrade Pack,0 .. 20 k,499,"7 Dec, 2018"
5,976371,"['Single-player', 'Multi-player', 'Online PvP', 'Cross-Platform Multiplayer', 'Downloadable Content', 'Steam Achievements', 'Steam Workshop']",dlc,Strategy Mill,,Terminal Conflict: Flower Power Upgrade Pack,0 .. 20 k,975,"7 Dec, 2018"
6,1188360,"['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Cross-Platform Multiplayer', 'Downloadable Content', 'Steam Achievements', 'Steam Workshop']",dlc,Strategy Mill,,Terminal Conflict: Eyes Only Upgrade Pack,0 .. 20 k,975,"11 Jun, 2020"
7,1935040,['Additional High-Quality Audio'],music,Strategy Mill,Strategy Mill,Terminal Conflict Soundtrack,0 .. 20 k,499,"24 Mar, 2022"
8,1691410,[],music,Chupacabra Game Studios,,The Shadow Government Simulator Soundtrack,0 .. 20 k,239,"4 Nov, 2022"
9,1700750,"['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Shared/Split Screen PvP', 'Cross-Platform Multiplayer', 'Downloadable Content', 'Steam Achievements', 'Full controller support', 'In-App Purchases', 'Remote Play Together']",dlc,Komi Games Inc.,Forthright Entertainment,Mighty Fight Federation - Kunio & Riki Pack,0 .. 20 k,569,"4 Nov, 2021"
10,465730,"['Single-player', 'Downloadable Content', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Steam Leaderboards']",dlc,Anticto,,Steamroll - Original Soundtrack,0 .. 20 k,,"28 Apr, 2016"
11,473100,[],music,TRIANGLE SERVICE,KOMODO,Shmups Skill Test Original Soundtrack,0 .. 20 k,324,"9 Jun, 2016"
12,2510140,"['Single-player', 'Downloadable Content', 'Full controller support']",dlc,Cassius John-Adams,Cassius John-Adams,MiLE HiGH TAXi - Race Mode DLC,0 .. 20 k,,"18 Aug, 2023"
13,370370,"['Single-player', 'Multi-player', 'Shared/Split Screen', 'Downloadable Content', 'Full controller support', 'Steam Cloud', 'Stats', 'Steam Turn Notifications']",dlc,4-Panel Footprint,,Pulsen: Souleye,0 .. 20 k,399,"30 Nov, 2015"
14,370371,"['Single-player', 'Multi-player', 'Shared/Split Screen', 'Downloadable Content', 'Full controller support', 'Steam Cloud', 'Stats', 'Steam Turn Notifications']",dlc,4-Panel Footprint,4-Panel Footprint,Pulsen: Oscillator X,0 .. 20 k,399,"27 Apr, 2021"
15,1295100,[],music,Zetsubou,Zetsubou,Sable's Grimoire: Man And Elf Soundtrack,0 .. 20 k,,"19 Jun, 2020"
16,1336930,"['Single-player', 'Downloadable Content', 'Full controller support']",dlc,Zetsubou,Zetsubou,Sable's Grimoire: Man And Elf 18+ Patch,0 .. 20 k,,"19 Jun, 2020"
17,2189680,['Additional High-Quality Audio'],music,Graverobber Foundation,Graverobber Foundation,Ringlorn Saga Soundtrack,0 .. 20 k,499,"7 Nov, 2022"
18,1763820,['Additional High-Quality Audio'],music,Cato Hoeben,Ricpau Studios,Gunborg: Dark Matters Soundtrack,0 .. 20 k,779,"18 Jan, 2022"
19,1253420,['Additional High-Quality Audio'],music,Frontwing,Frontwing USA,Yukikoi Melt Original Soundtrack,0 .. 20 k,1249,"29 Apr, 2020"
