,appid,category,data_type,main_developer,main_publisher,name,owners,price_eur,release_date
0,2534540,['Additional High-Quality Audio'],music,二色幽紫蝶,,东方妖精武踏会 - OST原声音乐集,0 .. 20 k,360,"28 Jul, 2023"
1,1020320,"['Single-player', 'Downloadable Content', 'Steam Achievements']",dlc,Sonic-Alpha,NS,Zero spring Soundtrack,0 .. 20 k,,"14 Mar, 2019"
2,1060740,"['Single-player', 'Downloadable Content']",dlc,Sonic-Alpha,NS,Zero spring episode 1 director's cut,0 .. 20 k,,"29 May, 2019"
3,848850,"['Single-player', 'Downloadable Content', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Captions available', 'Steam Cloud', 'Stats', 'Steam Leaderboards']",dlc,Christopher Anselmo,Studio Eris,Don't Sink - OST,0 .. 20 k,399,"18 Apr, 2018"
4,1406380,['Additional High-Quality Audio'],music,ARVORE Immersive Games Inc.,ARVORE Immersive Games Inc.,Pixel Ripped 1989 - Original Soundtrack,0 .. 20 k,,"11 Sep, 2020"
5,371930,['Downloadable Content'],dlc,,,Pillar Original Soundtrack,0 .. 20 k,599,"29 May, 2015"
6,1192790,"['Single-player', 'Downloadable Content', 'Full controller support', 'Steam Cloud']",dlc,Nostatic Software,Nostatic Software,"The ""Quiet, Please!"" Collection - Turkey, Please!",0 .. 20 k,159,"19 Nov, 2019"
7,1278120,"['Single-player', 'Downloadable Content', 'Steam Achievements', 'Steam Cloud']",dlc,Taxincrease,Analog Chechen Dudes,Love with Kadyrov - Exclusive 18+ DLC,0 .. 20 k,,"1 Apr, 2020"
8,554360,"['Single-player', 'Downloadable Content', 'Steam Achievements']",dlc,Blue Giraffe,GameHouse,Delicious Emily's Christmas Carol - Soundtrack,0 .. 20 k,199,"15 Nov, 2016"
9,1804560,[],music,RetroSouls,RetroSouls,ARKOS Soundtrack,0 .. 20 k,0,"10 Nov, 2021"
10,842820,"['Single-player', 'Downloadable Content']",dlc,Phil Fortier,,Snail Trek 4 - Disco Donation DLC,0 .. 20 k,239,"11 Apr, 2018"
11,817100,"['Single-player', 'Downloadable Content', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud']",dlc,Sushee,Square Enix,Fear Effect Sedna Collector’s Upgrade,0 .. 20 k,,"6 Mar, 2018"
12,837570,"['Single-player', 'Multi-player', 'Online PvP', 'Shared/Split Screen PvP', 'Shared/Split Screen Co-op', 'Shared/Split Screen', 'Cross-Platform Multiplayer', 'Downloadable Content', 'Steam Achievements', 'Steam Cloud', 'Stats']",dlc,WISECAT,,Everyday Golf VR - Green Reading Package,0 .. 20 k,819,"28 May, 2018"
13,839550,"['Single-player', 'Multi-player', 'Online PvP', 'Shared/Split Screen PvP', 'Shared/Split Screen Co-op', 'Shared/Split Screen', 'Cross-Platform Multiplayer', 'Downloadable Content', 'Steam Achievements', 'Steam Cloud', 'Stats']",dlc,WISECAT,,Everyday Golf VR - Golden Wedge Set,0 .. 20 k,819,"28 May, 2018"
14,559890,['Downloadable Content'],dlc,Ismael Pozzo,Ismael Pozzo,Malavision®: The Beginning - Soundtrack,0 .. 20 k,99,"18 Nov, 2016"
15,1971390,"['Single-player', 'Downloadable Content']",dlc,Lovely Games,Lovely Games,Adorable Witch 3 - adult patch,0 .. 20 k,,"7 May, 2022"
16,1514320,"['Single-player', 'Downloadable Content']",dlc,PandaCat 熊喵独立游戏,PandaCat 熊喵独立游戏,DemonKeeper - More Demons,0 .. 20 k,79,"22 Jan, 2021"
17,1514790,"['Single-player', 'Downloadable Content']",dlc,PandaCatWorks,PandaCatWorks,DemonKeeper2+ - More Leaders,0 .. 20 k,159,"22 Jan, 2021"
18,1707420,['Additional High-Quality Audio'],music,Skinless Lizard,Eremo,CUCCCHI - Extended Soundtrack,0 .. 20 k,819,"30 Jul, 2021"
19,2471720,"['Single-player', 'Downloadable Content']",dlc,SilverForge,SilverForge,Five Nations - Renegades,0 .. 20 k,779,"25 Aug, 2023"
20,1208820,"['Single-player', 'Downloadable Content']",dlc,Sonic-Alpha,NS,Seraphic Destroyer - Soundtrack,0 .. 20 k,,"11 Dec, 2019"
21,1230950,"['Single-player', 'Downloadable Content', 'Steam Achievements', 'Steam Leaderboards']",dlc,Sonic-Alpha,NS,Seraphic Destroyer - Puzzles,0 .. 20 k,,"20 Jan, 2020"
22,1675980,[],music,埋月山枯,埋月山枯,爱人Lover - OST四季篇,0 .. 20 k,,"22 Jul, 2021"
23,2444870,"['Single-player', 'Downloadable Content']",dlc,Raptor Claw Games,Raptor Claw Games,Tower Walker - The Ancient Ones,0 .. 20 k,399,"5 Jun, 2023"
24,1786650,[],music,Andrés Borghi,Saibot Studios,The Black Heart Soundtrack,0 .. 20 k,299,"21 Oct, 2021"
25,1987320,[],music,3.5 Inch Team,Ankama Games,Super Nano Blaster Soundtrack,0 .. 20 k,,"6 May, 2022"
26,1944990,[],music,Firepunchd Games UG,,Tentacular Soundtrack,0 .. 20 k,975,"7 May, 2022"
27,1494020,[],music,Matias Ezequiel Weschenfeller,,"Understanding, The Game Soundtrack",0 .. 20 k,239,"12 Feb, 2021"
28,743270,"['Single-player', 'Downloadable Content', 'Steam Achievements', 'Partial Controller Support']",dlc,"KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD.","Nights of Azure 2 - Side story, The Foreigner in a Wonderland of Sweets",0 .. 20 k,,"17 Nov, 2017"
29,743280,"['Single-player', 'Downloadable Content', 'Steam Achievements', 'Partial Controller Support']",dlc,"KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD.","Nights of Azure 2 - Side story, Time Drifts Through the Moonlit Night",0 .. 20 k,449,"11 Dec, 2017"
