,appid,category,data_type,main_developer,main_publisher,name,owners,price_eur,release_date
0,2295310,['Additional High-Quality Audio'],music,Melonhead Games Pty Ltd,Melonhead Games Pty Ltd,Rooftop Renegade Original Soundtrack+,0 .. 20 k,589,"16 Feb, 2023"
1,2401360,"['Single-player', 'Downloadable Content', 'Full controller support']",dlc,Male Doll,Male Doll,Burning Secrets: NSFW Edition,0 .. 20 k,,"8 May, 2023"
2,817240,"['Single-player', 'Downloadable Content', 'Steam Achievements']",dlc,Hardcore Studio,Hardcore Studio,Crazzers - OST,0 .. 20 k,99,"7 Mar, 2018"
3,2370820,"['Single-player', 'Downloadable Content']",dlc,Hunny Bunny Studio,Hunny Bunny Studio,NSFW Content - Neko Office: Nightlife Adventures,0 .. 20 k,,"7 Apr, 2023"
4,604930,"['Single-player', 'Downloadable Content', 'Full controller support', 'Steam Cloud']",dlc,Threye Interactive,Threye Interactive,Switch - Or Die Trying Soundtrack,0 .. 20 k,,"7 Mar, 2017"
5,2272350,"['Single-player', 'Downloadable Content']",dlc,Monavista dev,Monavista pub,Russian Train Trip 2 - Donation DLC,0 .. 20 k,299,"7 Mar, 2023"
6,2402040,"['Single-player', 'Downloadable Content']",dlc,Monavista dev,Monavista pub,Russian Train Trip 2 - fast time,0 .. 20 k,299,"21 Apr, 2023"
7,2402150,"['Single-player', 'Downloadable Content']",dlc,Monavista dev,Monavista pub,Russian Train Trip 2 - VIP seat in the train car,0 .. 20 k,199,"20 Apr, 2023"
8,2402151,"['Single-player', 'Downloadable Content']",dlc,Monavista dev,Monavista pub,Russian Train Trip 2 - A beautiful girl in your place,0 .. 20 k,199,"20 Apr, 2023"
9,2402152,"['Single-player', 'Downloadable Content']",dlc,Monavista dev,Monavista pub,Russian Train Trip 2 - Putin's posters in the train car,0 .. 20 k,199,"20 Apr, 2023"
10,2254040,"['Single-player', 'Downloadable Content', 'Full controller support']",dlc,azucat,azucat,MilkGirl - adult patch,0 .. 20 k,,"20 Dec, 2022"
11,558120,"['Single-player', 'Multi-player', 'Shared/Split Screen Co-op', 'Downloadable Content']",dlc,Acid Cat,,Bicyclism EP (The Soundtrack),0 .. 20 k,239,"15 Nov, 2016"
12,1971270,['Additional High-Quality Audio'],music,manadream,manadream,Shell Out Showdown Soundtrack,0 .. 20 k,499,"25 Apr, 2022"
13,2367240,"['Single-player', 'Downloadable Content']",dlc,PanzerSoft,OTAKU Plan,Pricia Defense - R18 DLC,0 .. 20 k,,"24 Mar, 2023"
14,2246600,[],music,Bamya Games,The Pack Studios,Under The Moon Soundtrack,0 .. 20 k,199,"4 Jan, 2023"
15,721870,[],music,WINGED SAKURA GAMES,WINGED SAKURA GAMES,Winged Sakura: Endless Dream - Soundtrack,0 .. 20 k,199,"6 Oct, 2017"
16,721880,"['Single-player', 'Downloadable Content']",dlc,WINGED SAKURA GAMES,WINGED SAKURA GAMES,Winged Sakura: Endless Dream - Art Collection,0 .. 20 k,499,"6 Oct, 2017"
17,2205450,[],music,Simon Jones,The Nightmare Jar,ClayTown Horror OST,0 .. 20 k,,"12 Aug, 2023"
18,2228750,[],music,Save Sloth Studios,Save Sloth Studios,A Most Extraordinary Gnome Soundtrack,0 .. 20 k,200,"16 Dec, 2022"
19,1891360,"['Single-player', 'Downloadable Content', 'Steam Achievements']",dlc,BamSam Game Studio,BamSam Game Studio,GRADUATER Artbook,0 .. 20 k,399,"5 Mar, 2022"
20,2162420,['Additional High-Quality Audio'],music,Tymedust Games,Tymedust Games,Pitstop in Purgatory Soundtrack,0 .. 20 k,159,"13 Oct, 2022"
21,2142740,"['Single-player', 'Multi-player', 'Co-op', 'Online Co-op', 'Cross-Platform Multiplayer', 'Downloadable Content', 'Steam Achievements', 'Captions available']",dlc,PlayTogether Studio,PlayTogether Studio,Mad Experiments 2: Premium Pack,0 .. 20 k,499,"13 Oct, 2022"
22,643760,"['Single-player', 'Downloadable Content']",dlc,Sigma Games,No Gravity Games,Inner Voices Soundtrack,0 .. 20 k,299,"27 Dec, 2017"
23,2201610,[],music,Lucky Lion Studios,Shiny Dolphin Games LLC,Panic Porcupine Soundtrack,0 .. 20 k,99,"5 Nov, 2022"
24,2281960,[],music,IMaiIna,IMaiIna,異境迷走OST1 「已然消逝的詩篇」,0 .. 20 k,499,"30 Mar, 2023"
25,2242720,[],music,Luke Vincent,Luke Vincent,Automaton Lung ost,0 .. 20 k,975,"21 Dec, 2022"
26,938530,"['Single-player', 'Multi-player', 'Shared/Split Screen', 'Downloadable Content']",dlc,Softwaves Mini,HandMade Games,Color Guardian: Soundtrack,0 .. 20 k,49,"5 Oct, 2018"
27,1123760,"['Single-player', 'Downloadable Content', 'Steam Achievements', 'Full controller support', 'Steam Cloud']",dlc,NanningsGames,NanningsGames,Tricky Cow - Soundtrack,0 .. 20 k,,"29 Jul, 2019"
28,1442920,['Additional High-Quality Audio'],music,Matthew Bridgeman,,Retro Soundtrack,0 .. 20 k,79,"13 Oct, 2020"
29,722720,"['Single-player', 'Downloadable Content', 'Steam Achievements', 'Steam Trading Cards', 'Partial Controller Support', 'Steam Cloud', 'Steam Leaderboards']",dlc,Jonathan Stoffer,,Marty Thinks 4D Soundtrack,0 .. 20 k,399,"27 Sep, 2017"
30,1224620,"['Single-player', 'Additional High-Quality Audio', 'Steam Achievements']",music,Hangover Cat Purrroduction,Hangover Cat Purrroduction,Together - A Wish No One Remembers Soundtrack,0 .. 20 k,299,"4 Feb, 2020"
31,731540,"['Single-player', 'Downloadable Content', 'Steam Achievements']",dlc,Okinawa Sunrise,Okinawa Sunrise,I was here - Bonus Wallpapers,0 .. 20 k,,"11 Oct, 2017"
32,1285680,[],music,Laush Dmitriy Sergeevich,,Easy puzzle: Bridges Soundtrack,0 .. 20 k,99,"13 Apr, 2020"
33,679950,"['Single-player', 'Downloadable Content', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud']",dlc,Trapped Team,Trapped Team,Trapped Summoner - Taigren`s Secrets,0 .. 20 k,,"17 Jul, 2017"
34,1545300,[],music,Francis Hamzagic,Francis Hamzagic,U27RA R3Z0NANC3 Original Soundtrack,0 .. 20 k,239,"12 Mar, 2021"
35,1128250,['Single-player'],music,ZPink,PsychoFlux Music,Bouncing Hero Soundtrack,0 .. 20 k,71,"1 Sep, 2019"
36,1339320,[],music,Pinion Game Studio,Pinion Game Studio,Jumper Starman Soundtrack,0 .. 20 k,79,"17 Nov, 2020"
37,1133650,"['Single-player', 'Multi-player', 'PvP', 'Shared/Split Screen PvP', 'Co-op', 'Shared/Split Screen Co-op', 'Downloadable Content', 'Steam Achievements', 'Full controller support', 'Steam Cloud']",dlc,PhasePixel,,Resistance is Fruitile Soundtrack,0 .. 20 k,49,"2 Aug, 2019"
38,1425650,['Additional High-Quality Audio'],music,Ronald DeStefano,itb interactive LLC,iota soundtrack,0 .. 20 k,159,"1 Dec, 2020"
39,1635680,[],music,Various Artists,NLB project,Palladium: Adventure in Greece Soundtrack,0 .. 20 k,,"27 Jul, 2023"
40,829700,"['Single-player', 'Downloadable Content', 'Steam Achievements']",dlc,Hardcore Studio,Hardcore Studio,Bomber-un - OST,0 .. 20 k,99,"5 Apr, 2018"
