,appid,category,data_type,main_developer,main_publisher,name,owners,price_eur,release_date
0,1158440,"['Single-player', 'Downloadable Content', 'Full controller support']",dlc,Cheesemaster Games,,Fables of Talumos - Digital Art/Lore Book,0 .. 20 k,399,"11 Sep, 2019"
1,1158441,"['Single-player', 'Downloadable Content', 'Full controller support']",dlc,Cheesemaster Games,,Fables of Talumos - Digital Wallpapers Pack,0 .. 20 k,399,"11 Sep, 2019"
2,1059250,"['Single-player', 'Downloadable Content', 'Steam Achievements']",dlc,Rhys510,Rhys510,The Misadventure Of Melon - Party Mode,0 .. 20 k,,"25 Oct, 2019"
3,1884600,"['Single-player', 'Downloadable Content']",dlc,Dragon Emperors,,Lastone: Behind the Choice - Supporter Pack,0 .. 20 k,239,"26 Jan, 2022"
4,514690,"['Single-player', 'Downloadable Content']",dlc,Andrew Brady,Scorpius Games,TankYou! Soundtrack,0 .. 20 k,499,"16 Sep, 2016"
5,1221370,[],music,M5 Games,M5 Games,StretchBot - Official Soundtrack,0 .. 20 k,159,"6 Feb, 2020"
6,1024040,"['Single-player', 'Downloadable Content']",dlc,Space Fractal,,Spot Race: Donation DLC,0 .. 20 k,199,"31 Jan, 2019"
7,2090520,['Additional High-Quality Audio'],music,Lunacy Labs Ltd.,Lunacy Labs Ltd.,Tokyo Rogue Soundtrack,0 .. 20 k,159,"17 Sep, 2022"
8,1035000,"['Single-player', 'Downloadable Content', 'Steam Achievements', 'Partial Controller Support', 'Steam Leaderboards', 'Commentary available']",dlc,ZaxtorGameS,,Rock 'N Roll Gold Heart Hero Support ZaxtorGameS DLC,0 .. 20 k,499,"22 Feb, 2019"
9,1535440,[],music,Borealis,Borealis,Venus: Improbable Dream Soundtrack,0 .. 20 k,399,"19 Mar, 2021"
10,1121940,"['Single-player', 'Downloadable Content', 'Steam Achievements', 'Partial Controller Support', 'Steam Cloud', 'Steam Leaderboards']",dlc,Alper Tüccar,Alper Tüccar,Alpha & Beta: Choose Difficulty,0 .. 20 k,,"9 Aug, 2019"
11,1681680,[],music,Cleardot Games,Cleardot Games,Who Stole My Beard? Soundtrack,0 .. 20 k,,"2 Aug, 2021"
12,498400,"['Single-player', 'Downloadable Content']",dlc,Purin Productions,,Vision of Aurora Borealis - Fanbook and OST,0 .. 20 k,199,"6 Jul, 2016"
13,2066050,[],music,Michael Richard Lannon,,The Legend of Azarias Soundtrack,0 .. 20 k,499,"6 Jul, 2022"
14,645960,"['Single-player', 'Downloadable Content']",dlc,Indiecode Games,Indiecode Games,Streetball VR - Soundtrack,0 .. 20 k,,"31 May, 2017"
15,606210,"['Single-player', 'Downloadable Content', 'Full controller support']",dlc,DarkPolygon Games,,Biosupremacy - Original Soundtrack,0 .. 20 k,79,"9 Mar, 2017"
16,468790,"['Single-player', 'Downloadable Content', 'Steam Achievements']",dlc,Kitty Lambda Games Inc.,,The Real Texas - Cellpop Goes Out At Night,0 .. 20 k,399,"12 Jul, 2016"
17,1185200,"['Single-player', 'Steam Achievements', 'Steam Cloud', 'Steam Leaderboards']",music,Correcture Games AB,,Brink of Extinction OST,0 .. 20 k,329,"29 Oct, 2019"
18,1572160,[],music,Iwa Interactive,Iwa Interactive,Kazakh 'Jack Soundtrack,0 .. 20 k,79,"30 Mar, 2021"
19,1602270,['Additional High-Quality Audio'],music,Feel Good OPG,Feel Good OPG,Sketchbots: Original Soundtrack,0 .. 20 k,239,"26 Apr, 2021"
20,1251570,"['Single-player', 'Downloadable Content', 'Steam Achievements', 'Partial Controller Support']",dlc,Marginal act,WooFoo,Bloody trains - Faces Faces Choo Choo Choo,0 .. 20 k,,"23 Mar, 2020"
21,1136750,"['Single-player', 'Downloadable Content']",dlc,CoolHeartGame,CoolHeartGame,Hero Mage - DLC,0 .. 20 k,79,"12 Aug, 2019"
22,1136751,"['Single-player', 'Downloadable Content']",dlc,CoolHeartGame,CoolHeartGame,Hero WarLock - DLC,0 .. 20 k,79,"12 Aug, 2019"
23,1594770,[],music,Artur Plischke,Luca Dreiling,Neon GraVel Soundtrack,0 .. 20 k,159,"5 May, 2021"
24,1151480,"['Single-player', 'Downloadable Content', 'Steam Cloud']",dlc,朽木布可凋夜,JingtuStudio,Obligation - Donation,0 .. 20 k,79,"7 Oct, 2019"
25,1111000,"['Single-player', 'Downloadable Content']",dlc,Lindsay LaPlante,,Dots: Revamped! - Support the Dev!,0 .. 20 k,239,"23 Jul, 2019"
26,1558340,"['Single-player', 'Downloadable Content']",dlc,小小游戏,,Sky Goddess DLC-1,0 .. 20 k,79,"18 Mar, 2021"
27,1558341,"['Single-player', 'Downloadable Content']",dlc,小小游戏,,Sky Goddess DLC-2,0 .. 20 k,79,"18 Mar, 2021"
28,2064170,['Additional High-Quality Audio'],music,Bad Weather Studios,Bad Weather Studios,KAKUDO - Original Game Soundtrack,0 .. 20 k,,"14 Jun, 2023"
29,1909050,"['Single-player', 'Downloadable Content', 'Steam Achievements', 'Steam Leaderboards']",dlc,Advent RPG,,Moonbase Down: Invasion of Sol,0 .. 20 k,,Coming soon
30,2216480,[],music,Andrei Radu,Andrei Radu,Up & Away Soundtrack,0 .. 20 k,,"25 Jan, 2023"
31,1939000,['Additional High-Quality Audio'],music,Lucid LX LLC,Lucid LX LLC,Telestians Soundtrack,0 .. 20 k,739,"22 Mar, 2022"
32,1913860,"['Single-player', 'Downloadable Content']",dlc,okyakusama,okyakusama,Late photographer 3 Album,0 .. 20 k,159,"3 Mar, 2022"
33,1149240,"['Single-player', 'Partial Controller Support']",music,Shawn Perolis,Anarchy Softworks LLC,SUFFER Original Game Soundtrack,0 .. 20 k,79,"22 Oct, 2019"
34,897870,"['Single-player', 'Downloadable Content']",dlc,Softwaves Mini,HandMade Games,Total 15: Soundtrack,0 .. 20 k,49,"10 Aug, 2018"
35,1226220,"['Single-player', 'Downloadable Content', 'Full controller support', 'Steam Cloud']",dlc,The Killer Gin,The Killer Gin,Killer Gin Early Access DLC,0 .. 20 k,,"19 Jan, 2020"
36,1226222,"['Single-player', 'Downloadable Content', 'Full controller support', 'Steam Cloud']",dlc,The Killer Gin,,Killer Gin Cats and Dogs DLC,0 .. 20 k,,"12 Mar, 2020"
37,1501010,"['Single-player', 'Downloadable Content', 'Steam Achievements', 'Full controller support', 'Steam Cloud']",dlc,The Killer Gin,,Killer Gin Secrets Guide,0 .. 20 k,399,"17 Dec, 2020"
38,1501070,['Additional High-Quality Audio'],music,The Killer Gin,"The Killer Gin, Jack Alack",Killer Gin Soundtrack,0 .. 20 k,399,"19 Dec, 2020"
39,832950,"['Single-player', 'Downloadable Content']",dlc,Omniscience,,Donation,0 .. 20 k,299,"2 Apr, 2018"
40,440530,"['Single-player', 'Downloadable Content', 'Steam Achievements']",dlc,Subaltern Games,,No Pineapple Left Behind -  Soundtrack,0 .. 20 k,99,"18 Feb, 2016"
41,856001,"['Single-player', 'Downloadable Content']",dlc,时光咖啡机,,You Are The Apple Of My Eye 研磨时光 -- Soundtrack DLC,0 .. 20 k,79,"4 May, 2018"
42,856000,"['Single-player', 'Downloadable Content']",dlc,时光咖啡机,,You Are The Apple Of My Eye 研磨时光 -- Artbook DLC,0 .. 20 k,79,"4 May, 2018"
43,506720,"['Single-player', 'Downloadable Content', 'Partial Controller Support']",dlc,Flying Carpets Games,Flying Carpets Games,The Girl and the Robot - Music and Digital Art Book,0 .. 20 k,399,"12 Aug, 2016"
44,2087590,"['Single-player', 'Downloadable Content']",dlc,Boogygames Studios,,Classic Memory Game - Autumn,0 .. 20 k,99,"16 Jul, 2022"
45,2091950,"['Single-player', 'Downloadable Content']",dlc,Boogygames Studios,,Classic Memory Game - Winter,0 .. 20 k,99,"21 Jul, 2022"
